Interval=	0.01 s
ExcelDateTime=	3.9770646707634427e+004	18/11/2008 15:31:15.539614
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	1000.0 µV
0.0	-8.411	-10.678	-12.0
0.01	-8.419	-11.009	-42.8
0.02	-8.428	-11.670	-55.6
0.03	-8.436	-12.494	-53.3
0.04	-8.444	-13.352	-50.7
0.05	-8.451	-14.223	-57.2
0.06	-8.458	-15.006	-60.4
0.07	-8.466	-15.620	-56.8
0.08	-8.476	-16.050	-48.6
0.09	-8.484	-16.302	-45.8
0.1	-8.494	-16.464	-49.0
0.11	-8.504	-16.548	-50.9
0.12	-8.513	-16.533	-48.2
0.13	-8.523	-16.498	-48.2
0.14	-8.531	-16.448	-53.3
0.15	-8.539	-16.359	-52.8
0.16	-8.546	-16.284	-44.8
0.17	-8.552	-16.186	-35.1
0.18	-8.558	-15.986	-22.7
0.19	-8.562	-15.742	-11.1
0.2	-8.566	-15.566	-0.3
0.21	-8.571	-15.400	8.3
0.22	-8.576	-15.103	19.2
0.23	-8.581	-14.736	30.3
0.24	-8.585	-14.406	40.1
0.25	-8.589	-14.098	29.5
0.26	-8.591	-13.817	-13.9
0.27	-8.592	-13.609	-55.0
0.28	-8.594	-13.497	-70.3
0.29	-8.598	-13.486	-69.1
0.3	-8.606	-13.509	-69.2
0.31	-8.614	-13.492	-77.8
0.32	-8.613	-13.416	-79.2
0.33	-8.609	-13.311	-38.8
0.34	-8.608	-13.216	117.5
0.35	-8.612	-13.188	358.8
0.36	-8.619	-13.244	412.9
0.37	-8.634	-13.311	200.6
0.38	-8.661	-13.370	2.0
0.39	-8.691	-13.463	-72.8
0.4	-8.712	-13.603	-88.9
0.41	-8.727	-13.834	-82.1
0.42	-8.740	-14.152	-75.3
0.43	-8.756	-14.389	-72.8
0.44	-8.771	-14.409	-65.7
0.45	-8.784	-14.152	-59.1
0.46	-8.797	-13.230	-54.0
0.47	-8.813	-10.789	-50.4
0.48	-8.831	-5.986	-50.2
0.49	-8.851	1.030	-42.2
0.5	-8.873	8.713	-27.8
0.51	-8.897	15.109	-17.6
0.52	-8.922	18.989	-9.9
0.53	-8.949	19.997	-3.1
0.54	-8.977	18.342	4.2
0.55	-9.007	14.561	12.8
0.56	-9.038	9.423	32.0
0.57	-9.069	3.813	51.3
0.58	-9.098	-1.545	69.5
0.59	-9.126	-6.239	97.6
0.6	-9.152	-10.020	127.7
0.61	-9.178	-12.650	146.4
0.62	-9.203	-14.208	159.7
0.63	-9.228	-15.080	159.1
0.64	-9.255	-15.384	146.7
0.65	-9.282	-15.033	118.9
0.66	-9.310	-14.255	67.3
0.67	-9.339	-13.408	22.1
0.68	-9.367	-12.561	-9.4
0.69	-9.395	-11.691	-39.0
0.7	-9.423	-11.006	-54.4
0.71	-9.452	-10.798	-58.7
0.72	-9.480	-11.145	-60.4
0.73	-9.506	-11.934	-62.1
0.74	-9.529	-13.048	-64.7
0.75	-9.549	-14.234	-59.7
