Interval=	0.01 s
ExcelDateTime=	3.9770639425632457e+004	18/11/2008 15:20:46.374645
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	1000.0 µV
0.0	-8.332	-17.339	-14.9
0.01	-8.332	-17.655	-83.9
0.02	-8.332	-17.764	-123.8
0.03	-8.333	-17.800	-106.9
0.04	-8.333	-17.845	-89.6
0.05	-8.333	-17.683	-84.4
0.06	-8.332	-17.381	-84.8
0.07	-8.332	-17.262	-73.7
0.08	-8.331	-17.266	-44.2
0.09	-8.330	-17.220	-32.2
0.1	-8.328	-17.125	-36.7
0.11	-8.326	-16.938	-28.8
0.12	-8.322	-16.580	-43.7
0.13	-8.319	-16.178	-92.7
0.14	-8.314	-15.884	-118.4
0.15	-8.308	-15.597	-116.1
0.16	-8.304	-15.192	-124.1
0.17	-8.303	-14.741	-129.3
0.18	-8.301	-14.414	-115.9
0.19	-8.293	-14.280	-112.9
0.2	-8.280	-14.219	-80.6
0.21	-8.267	-14.216	86.6
0.22	-8.257	-14.505	298.0
0.23	-8.249	-14.992	284.5
0.24	-8.242	-15.119	74.2
0.25	-8.238	-14.863	-72.1
0.26	-8.232	-14.861	-114.6
0.27	-8.222	-15.350	-122.6
0.28	-8.208	-15.909	-115.7
0.29	-8.193	-16.180	-116.7
0.3	-8.178	-16.294	-124.2
0.31	-8.161	-16.281	-112.6
0.32	-8.144	-15.611	-94.9
0.33	-8.129	-13.617	-93.0
0.34	-8.117	-9.273	-94.7
0.35	-8.107	-1.269	-93.5
0.36	-8.100	9.917	-90.0
0.37	-8.092	20.970	-80.4
0.38	-8.086	28.500	-64.2
0.39	-8.081	31.688	-48.2
0.4	-8.078	31.402	-45.9
0.41	-8.074	28.292	-43.4
0.42	-8.071	22.605	-24.3
0.43	-8.068	15.084	-11.6
0.44	-8.065	7.263	-2.3
0.45	-8.063	0.409	12.8
0.46	-8.064	-5.309	35.8
0.47	-8.067	-9.919	60.0
0.48	-8.072	-13.025	78.7
0.49	-8.080	-14.748	94.3
0.5	-8.089	-15.698	97.0
0.51	-8.102	-15.995	90.9
0.52	-8.117	-15.522	60.4
0.53	-8.139	-14.556	0.8
0.54	-8.163	-13.530	-46.3
