Interval=	0.01 s
ExcelDateTime=	3.9770667386559027e+004	18/11/2008 16:01:02.1987
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	1000.0 µV
0.0	-8.758	-36.411	-4.9
0.01	-8.782	-38.283	-37.8
0.02	-8.811	-38.045	-64.0
0.03	-8.844	-35.448	-64.4
0.04	-8.883	-30.791	-61.9
0.05	-8.922	-24.944	-54.2
0.06	-8.961	-18.948	-52.6
0.07	-8.998	-13.548	-65.5
0.08	-9.034	-9.238	-60.7
0.09	-9.071	-6.388	-45.4
0.1	-9.106	-5.220	-50.8
0.11	-9.140	-5.886	-59.8
0.12	-9.175	-8.228	-53.6
0.13	-9.211	-11.755	-47.8
0.14	-9.249	-16.061	-58.0
0.15	-9.287	-20.808	-69.2
0.16	-9.325	-25.488	-70.8
0.17	-9.360	-29.689	-60.3
0.18	-9.392	-33.278	-48.8
0.19	-9.422	-36.192	-56.3
0.2	-9.453	-38.305	-62.1
0.21	-9.482	-39.564	-55.6
0.22	-9.511	-40.136	-57.1
0.23	-9.539	-40.244	-59.9
0.24	-9.566	-39.953	-57.7
0.25	-9.593	-39.247	-48.1
0.26	-9.619	-38.208	-26.8
0.27	-9.647	-36.991	-15.1
0.28	-9.674	-35.698	-11.8
0.29	-9.701	-34.409	10.4
0.3	-9.728	-33.206	29.2
0.31	-9.754	-32.123	30.1
0.32	-9.778	-31.091	16.1
0.33	-9.801	-30.058	-18.5
0.34	-9.824	-29.078	-51.0
0.35	-9.846	-28.173	-71.0
0.36	-9.866	-27.320	-78.2
0.37	-9.887	-26.439	-69.4
0.38	-9.908	-25.402	-69.4
0.39	-9.925	-24.275	-75.6
0.4	-9.939	-23.311	-49.4
0.41	-9.954	-22.619	57.2
0.42	-9.971	-22.166	265.6
0.43	-9.988	-21.928	380.2
0.44	-10.007	-21.844	224.7
0.45	-10.030	-21.855	6.2
0.46	-10.058	-22.056	-81.6
0.47	-10.082	-22.578	-86.3
0.48	-10.099	-23.433	-74.5
0.49	-10.111	-24.539	-69.9
0.5	-10.123	-25.769	-76.1
0.51	-10.134	-26.944	-75.4
0.52	-10.145	-27.723	-62.8
0.53	-10.155	-27.527	-55.2
0.54	-10.166	-25.122	-49.7
0.55	-10.180	-18.070	-42.9
0.56	-10.196	-3.297	-40.0
0.57	-10.214	19.297	-37.9
0.58	-10.233	40.280	-30.6
0.59	-10.251	49.734	-20.3
0.6	-10.268	51.116	-14.7
0.61	-10.284	51.136	-2.3
0.62	-10.300	51.139	14.9
