Interval=	0.01 s
ExcelDateTime=	3.9770658720273685e+004	18/11/2008 15:48:33.431647
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	1000.0 µV
0.0	-8.660	35.523	1.6
0.01	-8.685	34.183	25.4
0.02	-8.713	29.256	42.6
0.03	-8.744	22.484	46.1
0.04	-8.776	15.895	82.6
0.05	-8.808	9.588	113.8
0.06	-8.839	3.514	121.9
0.07	-8.870	-1.363	138.4
0.08	-8.901	-4.934	142.2
0.09	-8.931	-7.519	133.4
0.1	-8.961	-9.106	122.5
0.11	-8.990	-9.409	91.8
0.12	-9.021	-7.798	51.1
0.13	-9.053	-5.250	6.2
0.14	-9.084	-3.777	-24.6
0.15	-9.117	-3.869	-36.1
0.16	-9.150	-5.228	-47.3
0.17	-9.183	-7.578	-60.2
0.18	-9.215	-10.038	-53.9
0.19	-9.246	-11.891	-41.4
0.2	-9.275	-13.091	-47.3
0.21	-9.303	-13.833	-43.1
0.22	-9.331	-14.495	-34.6
0.23	-9.357	-14.852	-28.3
0.24	-9.383	-14.402	-22.3
0.25	-9.408	-13.758	-33.2
0.26	-9.435	-13.636	-36.7
0.27	-9.463	-13.552	-26.2
0.28	-9.491	-12.528	-28.2
0.29	-9.518	-10.352	-28.8
0.3	-9.545	-7.908	-20.8
0.31	-9.572	-6.377	-23.2
0.32	-9.599	-6.542	-32.4
0.33	-9.624	-7.911	-36.7
0.34	-9.650	-9.123	-31.3
0.35	-9.677	-10.109	-34.7
0.36	-9.704	-11.514	-41.1
0.37	-9.731	-13.133	-32.2
0.38	-9.756	-14.508	-16.5
0.39	-9.780	-15.378	-15.1
0.4	-9.805	-15.669	-29.0
0.41	-9.831	-16.100	-42.3
0.42	-9.859	-17.277	-46.7
0.43	-9.886	-18.380	-35.3
0.44	-9.913	-19.005	-25.5
0.45	-9.939	-19.633	-29.9
0.46	-9.964	-19.928	-24.2
0.47	-9.990	-19.248	-19.2
0.48	-10.014	-17.525	-29.1
0.49	-10.038	-15.211	-30.9
0.5	-10.061	-13.298	-24.1
0.51	-10.083	-12.869	-26.4
0.52	-10.104	-14.153	-18.3
0.53	-10.126	-16.134	-7.4
0.54	-10.147	-17.137	-11.0
0.55	-10.169	-16.594	-0.2
0.56	-10.192	-15.556	22.6
0.57	-10.215	-14.764	40.3
0.58	-10.238	-14.167	59.0
0.59	-10.262	-13.861	68.5
0.6	-10.284	-14.009	46.1
0.61	-10.306	-14.831	-2.6
0.62	-10.328	-16.361	-27.9
0.63	-10.349	-17.558	-35.5
0.64	-10.373	-16.936	-40.8
0.65	-10.399	-14.655	-39.9
0.66	-10.421	-12.888	-46.4
0.67	-10.440	-13.311	-3.1
0.68	-10.458	-14.784	154.2
0.69	-10.477	-14.991	345.4
0.7	-10.496	-13.472	359.8
0.71	-10.515	-11.678	172.6
0.72	-10.538	-11.045	8.8
0.73	-10.563	-11.842	-42.3
0.74	-10.584	-13.681	-47.2
0.75	-10.601	-15.716	-59.5
0.76	-10.614	-16.636	-65.4
0.77	-10.627	-16.214	-52.2
0.78	-10.641	-15.513	-50.7
0.79	-10.656	-15.353	-45.9
0.8	-10.672	-15.605	-31.7
0.81	-10.687	-15.444	-22.3
0.82	-10.702	-13.844	-20.0
0.83	-10.718	-9.992	-19.3
0.84	-10.735	-3.714	-7.6
0.85	-10.753	3.969	-4.1
0.86	-10.771	11.433	5.0
0.87	-10.791	18.369	15.7
0.88	-10.811	24.836	20.7
0.89	-10.830	28.944	34.7
0.9	-10.847	28.798	52.1
0.91	-10.861	25.003	72.9
0.92	-10.873	19.136	92.3
0.93	-10.884	12.052	107.0
0.94	-10.894	4.730	128.4
0.95	-10.906	-1.314	161.8
0.96	-10.919	-5.505	185.0
0.97	-10.932	-8.584	177.0
0.98	-10.944	-10.864	157.7
0.99	-10.959	-11.975	146.3
1.0	-10.978	-12.366	112.1
1.01	-10.998	-12.569	55.9
1.02	-11.017	-12.217	20.3
1.03	-11.035	-11.580	-10.5
1.04	-11.054	-11.434	-45.0
1.05	-11.071	-11.463	-62.1
1.06	-11.086	-11.045	-64.2
1.07	-11.098	-10.795	-59.6
1.08	-11.108	-11.628	-57.7
1.09	-11.119	-13.353	-56.4
1.1	-11.129	-14.881	-43.7
1.11	-11.137	-15.214	-32.3
1.12	-11.143	-14.556	-44.0
1.13	-11.149	-13.939	-52.3
1.14	-11.154	-13.623	-38.7
1.15	-11.161	-12.859	-28.6
1.16	-11.167	-11.148	-38.7
1.17	-11.174	-8.959	-49.5
1.18	-11.181	-7.436	-32.8
1.19	-11.186	-7.378	-28.9
1.2	-11.188	-8.405	-44.8
1.21	-11.188	-9.581	-42.8
1.22	-11.187	-10.553	-44.5
1.23	-11.185	-11.464	-53.5
1.24	-11.183	-12.519	-40.9
1.25	-11.179	-13.944	-34.8
1.26	-11.176	-15.472	-48.8
1.27	-11.172	-16.406	-51.4
1.28	-11.171	-16.541	-45.6
1.29	-11.169	-16.442	-43.6
1.3	-11.168	-16.980	-43.3
1.31	-11.166	-17.964	-47.6
1.32	-11.162	-17.928	-41.3
1.33	-11.155	-16.773	-31.1
1.34	-11.146	-16.073	-34.1
1.35	-11.137	-16.248	-31.8
1.36	-11.128	-16.555	-18.4
1.37	-11.118	-16.650	1.5
1.38	-11.110	-16.795	24.0
1.39	-11.101	-17.456	31.7
1.4	-11.089	-18.663	36.1
1.41	-11.076	-19.477	13.6
