Interval=	0.01 s
ExcelDateTime=	3.9770413102275597e+004	18/11/2008 9:54:52.036612
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	2.000 mV
0.0	-7.623	-14.927	-0.005
0.01	-7.598	-14.319	-0.030
0.02	-7.575	-13.616	-0.055
0.03	-7.553	-12.866	-0.046
0.04	-7.530	-12.120	-0.029
0.05	-7.508	-11.464	-0.022
0.06	-7.486	-10.959	-0.017
0.07	-7.464	-10.561	-0.005
0.08	-7.442	-10.217	0.009
0.09	-7.419	-9.984	0.009
0.1	-7.394	-9.955	-0.008
0.11	-7.371	-10.044	-0.035
0.12	-7.346	-10.081	-0.052
0.13	-7.322	-10.047	-0.055
0.14	-7.302	-9.975	-0.064
0.15	-7.286	-9.845	-0.077
0.16	-7.269	-9.667	-0.074
0.17	-7.251	-9.511	-0.059
0.18	-7.234	-9.477	0.046
0.19	-7.221	-9.650	0.254
0.2	-7.204	-9.995	0.373
0.21	-7.186	-10.372	0.263
0.22	-7.170	-10.702	0.002
0.23	-7.152	-10.995	-0.148
0.24	-7.128	-11.308	-0.135
0.25	-7.103	-11.703	-0.107
0.26	-7.081	-12.188	-0.098
0.27	-7.062	-12.597	-0.092
0.28	-7.044	-12.709	-0.078
0.29	-7.029	-12.233	-0.068
0.3	-7.014	-10.272	-0.067
0.31	-7.002	-5.297	-0.057
0.32	-6.991	3.341	-0.046
0.33	-6.981	14.139	-0.039
0.34	-6.970	24.253	-0.033
0.35	-6.960	31.136	-0.021
0.36	-6.951	33.533	0.003
0.37	-6.943	31.578	0.026
0.38	-6.935	26.313	0.045
0.39	-6.927	19.042	0.065
0.4	-6.921	10.911	0.082
0.41	-6.915	2.806	0.087
0.42	-6.906	-4.612	0.082
0.43	-6.898	-10.925	0.081
0.44	-6.890	-15.986	0.070
0.45	-6.885	-19.795	0.038
0.46	-6.880	-22.419	0.010
0.47	-6.876	-23.970	-0.006
0.48	-6.871	-24.602	-0.028
0.49	-6.867	-24.456	-0.055
0.5	-6.864	-23.661	-0.070
0.51	-6.862	-22.467	-0.070
