Interval=	0.01 s
ExcelDateTime=	3.9770407333108102e+004	18/11/2008 9:46:33.580539
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	2.000 mV
0.0	-8.315	-16.416	0.026
0.01	-8.325	-19.225	0.140
0.02	-8.334	-20.975	0.229
0.03	-8.342	-21.620	0.228
0.04	-8.351	-21.294	0.203
0.05	-8.359	-20.164	0.177
0.06	-8.368	-18.463	0.162
0.07	-8.376	-16.628	0.157
0.08	-8.383	-15.141	0.155
0.09	-8.389	-14.175	0.152
0.1	-8.396	-13.500	0.150
0.11	-8.402	-12.647	0.152
0.12	-8.409	-11.288	0.154
0.13	-8.416	-9.388	0.151
0.14	-8.423	-7.122	0.144
0.15	-8.430	-4.788	0.137
0.16	-8.436	-2.689	0.131
0.17	-8.442	-1.078	0.128
0.18	-8.448	-0.128	0.124
0.19	-8.453	0.130	0.112
0.2	-8.456	-0.264	0.091
0.21	-8.461	-1.280	0.069
0.22	-8.466	-2.838	0.057
0.23	-8.472	-4.763	0.054
0.24	-8.476	-6.825	0.049
0.25	-8.481	-8.841	0.042
0.26	-8.486	-10.719	0.036
0.27	-8.491	-12.395	0.041
0.28	-8.496	-13.811	0.050
0.29	-8.501	-14.914	0.052
0.3	-8.506	-15.695	0.052
0.31	-8.509	-16.195	0.051
0.32	-8.512	-16.478	0.053
0.33	-8.516	-16.627	0.061
0.34	-8.518	-16.688	0.069
0.35	-8.519	-16.667	0.083
0.36	-8.519	-16.566	0.101
0.37	-8.521	-16.372	0.113
0.38	-8.521	-16.075	0.114
0.39	-8.521	-15.673	0.098
0.4	-8.521	-15.161	0.065
0.41	-8.520	-14.484	0.032
0.42	-8.519	-13.594	0.018
0.43	-8.519	-12.522	0.014
0.44	-8.521	-11.391	0.012
0.45	-8.521	-10.341	0.015
0.46	-8.516	-9.489	0.016
0.47	-8.512	-8.930	0.070
0.48	-8.511	-8.700	0.258
0.49	-8.510	-8.725	0.443
0.5	-8.508	-8.883	0.424
0.51	-8.507	-9.088	0.180
0.52	-8.504	-9.327	-0.068
0.53	-8.493	-9.639	-0.104
0.54	-8.473	-10.055	-0.048
0.55	-8.450	-10.519	-0.023
0.56	-8.429	-10.819	-0.018
0.57	-8.409	-10.777	-0.024
0.58	-8.387	-10.475	-0.023
0.59	-8.364	-9.655	-0.015
0.6	-8.342	-7.148	-0.007
0.61	-8.321	-1.709	-0.005
0.62	-8.303	6.545	-0.005
0.63	-8.285	15.800	0.002
0.64	-8.269	23.650	0.020
0.65	-8.254	28.375	0.036
0.66	-8.239	29.395	0.052
0.67	-8.225	27.027	0.070
0.68	-8.211	22.033	0.088
0.69	-8.199	15.370	0.111
0.7	-8.188	7.984	0.124
0.71	-8.177	0.695	0.123
0.72	-8.167	-5.889	0.121
0.73	-8.157	-11.439	0.116
0.74	-8.148	-15.838	0.106
0.75	-8.142	-19.075	0.070
0.76	-8.136	-21.161	0.022
0.77	-8.131	-22.114	-0.013
0.78	-8.123	-22.016	-0.033
0.79	-8.116	-21.058	-0.038
0.8	-8.110	-19.542	-0.047
0.81	-8.106	-17.845	-0.060
0.82	-8.100	-16.367	-0.067
0.83	-8.094	-15.338	-0.067
0.84	-8.089	-14.619	-0.067
0.85	-8.086	-13.769	-0.064
0.86	-8.084	-12.356	-0.056
0.87	-8.082	-10.236	-0.049
0.88	-8.080	-7.628	-0.041
0.89	-8.079	-4.966	-0.040
0.9	-8.079	-2.645	-0.046
0.91	-8.088	-0.903	-0.046
0.92	-8.114	0.152	-0.046
0.93	-8.164	0.494	-0.052
0.94	-8.231	0.147	-0.054
0.95	-8.297	-0.861	-0.052
0.96	-8.359	-2.384	-0.051
0.97	-8.419	-4.108	-0.052
0.98	-8.475	-5.730	-0.057
0.99	-8.524	-7.100	-0.067
