Interval=	0.01 s
ExcelDateTime=	3.9770428408664571e+004	18/11/2008 10:16:54.508619
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	2.000 mV
0.0	-8.206	-9.358	-0.011
0.01	-8.208	-9.263	-0.044
0.02	-8.211	-9.273	-0.070
0.03	-8.211	-9.478	-0.074
0.04	-8.208	-9.795	-0.068
0.05	-8.207	-10.045	0.005
0.06	-8.209	-10.136	0.208
0.07	-8.213	-10.169	0.392
0.08	-8.217	-10.231	0.380
0.09	-8.226	-10.269	0.155
0.1	-8.238	-10.195	-0.085
0.11	-8.247	-10.044	-0.141
0.12	-8.252	-9.986	-0.107
0.13	-8.253	-10.117	-0.088
0.14	-8.253	-10.356	-0.077
0.15	-8.253	-10.541	-0.071
0.16	-8.255	-10.463	-0.062
0.17	-8.257	-9.928	-0.054
0.18	-8.262	-8.613	-0.055
0.19	-8.270	-5.883	-0.055
0.2	-8.282	-1.269	-0.048
0.21	-8.296	4.747	-0.037
0.22	-8.311	10.802	-0.018
0.23	-8.329	15.452	0.001
0.24	-8.348	17.755	0.014
0.25	-8.367	17.411	0.028
0.26	-8.387	14.680	0.051
0.27	-8.406	10.230	0.067
0.28	-8.423	4.942	0.081
0.29	-8.439	-0.370	0.096
0.3	-8.453	-5.177	0.106
0.31	-8.466	-9.197	0.101
0.32	-8.476	-12.255	0.073
0.33	-8.485	-14.338	0.037
0.34	-8.495	-15.647	0.009
0.35	-8.505	-16.438	-0.015
0.36	-8.514	-16.811	-0.044
0.37	-8.521	-16.702	-0.073
0.38	-8.525	-16.036	-0.090
0.39	-8.528	-14.863	-0.100
0.4	-8.531	-13.441	-0.105
0.41	-8.533	-12.198	-0.101
0.42	-8.534	-11.475	-0.094
0.43	-8.532	-11.270	-0.084
0.44	-8.529	-11.216	-0.077
0.45	-8.525	-10.875	-0.081
0.46	-8.520	-10.052	-0.084
0.47	-8.514	-8.811	-0.077
0.48	-8.508	-7.377	-0.068
0.49	-8.500	-5.997	-0.072
0.5	-8.491	-4.898	-0.076
0.51	-8.482	-4.277	-0.071
0.52	-8.473	-4.208	-0.065
0.53	-8.464	-4.598	-0.061
0.54	-8.454	-5.244	-0.057
0.55	-8.444	-5.916	-0.060
0.56	-8.435	-6.480	-0.064
0.57	-8.425	-6.983	-0.061
0.58	-8.416	-7.591	-0.058
0.59	-8.406	-8.447	-0.055
0.6	-8.397	-9.552	-0.053
0.61	-8.387	-10.700	-0.060
0.62	-8.379	-11.631	-0.068
0.63	-8.370	-12.203	-0.065
0.64	-8.362	-12.472	-0.065
0.65	-8.355	-12.591	-0.067
0.66	-8.349	-12.664	-0.059
0.67	-8.344	-12.686	-0.051
0.68	-8.340	-12.597	-0.048
0.69	-8.337	-12.383	-0.046
0.7	-8.334	-12.105	-0.045
0.71	-8.332	-11.867	-0.046
0.72	-8.331	-11.723	-0.052
0.73	-8.330	-11.636	-0.055
0.74	-8.329	-11.538	-0.046
0.75	-8.329	-11.322	-0.045
0.76	-8.330	-10.928	-0.047
0.77	-8.332	-10.405	-0.041
0.78	-8.334	-9.861	-0.041
0.79	-8.338	-9.473	-0.048
0.8	-8.342	-9.305	-0.046
0.81	-8.347	-9.223	-0.040
0.82	-8.353	-9.111	-0.028
0.83	-8.359	-8.961	-0.017
0.84	-8.366	-8.847	-0.007
0.85	-8.374	-8.811	0.011
0.86	-8.384	-8.852	0.023
0.87	-8.394	-8.984	0.028
0.88	-8.403	-9.227	0.023
0.89	-8.411	-9.525	-0.000
0.9	-8.419	-9.772	-0.031
0.91	-8.426	-9.927	-0.051
0.92	-8.436	-9.991	-0.057
0.93	-8.447	-9.980	-0.065
0.94	-8.456	-9.961	-0.067
0.95	-8.461	-10.034	-0.062
0.96	-8.467	-10.263	0.013
0.97	-8.476	-10.586	0.224
0.98	-8.488	-10.852	0.421
0.99	-8.502	-10.950	0.406
1.0	-8.519	-10.955	0.153
1.01	-8.536	-10.983	-0.105
1.02	-8.549	-11.038	-0.150
1.03	-8.559	-11.091	-0.104
1.04	-8.569	-11.108	-0.077
1.05	-8.578	-11.066	-0.062
1.06	-8.587	-10.933	-0.064
1.07	-8.595	-10.697	-0.064
1.08	-8.603	-10.302	-0.060
1.09	-8.611	-9.380	-0.051
1.1	-8.620	-7.102	-0.031
1.11	-8.629	-2.767	-0.014
1.12	-8.638	3.272	-0.004
1.13	-8.646	9.617	0.002
1.14	-8.657	14.642	0.012
1.15	-8.668	17.214	0.028
1.16	-8.679	16.992	0.047
1.17	-8.692	14.338	0.067
1.18	-8.705	10.020	0.096
1.19	-8.720	4.875	0.121
1.2	-8.736	-0.397	0.122
1.21	-8.754	-5.294	0.118
1.22	-8.774	-9.483	0.116
1.23	-8.798	-12.808	0.093
1.24	-8.824	-15.267	0.058
1.25	-8.856	-16.911	0.025
1.26	-8.891	-17.808	-0.014
1.27	-8.924	-18.038	-0.047
1.28	-8.956	-17.688	-0.063
1.29	-8.985	-16.887	-0.073
1.3	-9.011	-15.752	-0.081
1.31	-9.033	-14.428	-0.082
1.32	-9.053	-13.123	-0.085
1.33	-9.072	-12.066	-0.096
1.34	-9.092	-11.372	-0.095
1.35	-9.115	-10.928	-0.089
1.36	-9.141	-10.511	-0.083
1.37	-9.171	-9.895	-0.076
1.38	-9.203	-8.872	-0.069
1.39	-9.237	-7.356	-0.060
1.4	-9.271	-5.536	-0.058
1.41	-9.308	-3.770	-0.062
1.42	-9.349	-2.438	-0.062
1.43	-9.390	-1.811	-0.062
1.44	-9.424	-1.986	-0.066
1.45	-9.457	-2.880	-0.062
1.46	-9.491	-4.231	-0.056
1.47	-9.519	-5.663	-0.063
1.48	-9.542	-6.848	-0.073
1.49	-9.561	-7.664	-0.075
1.5	-9.577	-8.239	-0.070
1.51	-9.590	-8.878	-0.062
1.52	-9.603	-9.880	-0.063
1.53	-9.614	-11.322	-0.066
1.54	-9.626	-12.983	-0.063
1.55	-9.637	-14.506	-0.061
1.56	-9.645	-15.569	-0.058
1.57	-9.652	-15.938	-0.054
1.58	-9.660	-15.611	-0.052
1.59	-9.670	-14.859	-0.051
1.6	-9.682	-13.997	-0.056
1.61	-9.694	-13.269	-0.055
1.62	-9.703	-12.817	-0.053
1.63	-9.711	-12.661	-0.057
1.64	-9.719	-12.655	-0.053
1.65	-9.727	-12.597	-0.045
1.66	-9.734	-12.427	-0.037
1.67	-9.741	-12.208	-0.034
1.68	-9.749	-11.988	-0.035
1.69	-9.756	-11.727	-0.032
1.7	-9.762	-11.363	-0.021
1.71	-9.766	-10.925	-0.004
1.72	-9.768	-10.473	0.012
1.73	-9.770	-10.073	0.024
1.74	-9.771	-9.719	0.025
1.75	-9.772	-9.272	0.022
1.76	-9.771	-8.681	0.014
1.77	-9.769	-8.084	-0.015
1.78	-9.766	-7.728	-0.037
1.79	-9.764	-7.788	-0.047
1.8	-9.764	-8.230	-0.058
