Interval=	0.01 s
ExcelDateTime=	3.9770421847032521e+004	18/11/2008 10:07:27.58361
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	2.000 mV
0.0	-8.214	-9.847	-0.004
0.01	-8.227	-9.344	-0.013
0.02	-8.239	-8.936	-0.025
0.03	-8.250	-8.644	-0.028
0.04	-8.261	-8.459	-0.020
0.05	-8.272	-8.342	-0.006
0.06	-8.282	-8.252	0.013
0.07	-8.292	-8.173	0.032
0.08	-8.302	-8.158	0.051
0.09	-8.312	-8.313	0.054
0.1	-8.322	-8.694	0.038
0.11	-8.332	-9.252	0.010
0.12	-8.342	-9.878	-0.020
0.13	-8.351	-10.453	-0.037
0.14	-8.361	-10.866	-0.042
0.15	-8.373	-11.075	-0.046
0.16	-8.383	-11.177	-0.051
0.17	-8.391	-11.303	-0.051
0.18	-8.398	-11.516	-0.013
0.19	-8.406	-11.820	0.154
0.2	-8.415	-12.220	0.376
0.21	-8.425	-12.658	0.438
0.22	-8.435	-13.022	0.245
0.23	-8.446	-13.305	-0.042
0.24	-8.455	-13.527	-0.139
0.25	-8.461	-13.625	-0.089
0.26	-8.466	-13.561	-0.061
0.27	-8.472	-13.388	-0.057
0.28	-8.478	-13.208	-0.056
0.29	-8.482	-13.047	-0.050
0.3	-8.486	-12.594	-0.042
0.31	-8.490	-10.705	-0.031
0.32	-8.494	-5.288	-0.019
0.33	-8.498	5.119	-0.010
0.34	-8.502	19.353	-0.002
0.35	-8.507	33.859	0.006
0.36	-8.512	44.663	0.017
0.37	-8.518	49.470	0.029
0.38	-8.525	48.363	0.043
0.39	-8.533	42.397	0.062
0.4	-8.540	33.072	0.084
0.41	-8.547	22.123	0.101
0.42	-8.555	10.814	0.112
0.43	-8.563	0.016	0.119
0.44	-8.570	-9.633	0.118
0.45	-8.577	-17.720	0.107
0.46	-8.586	-24.041	0.085
0.47	-8.596	-28.473	0.055
0.48	-8.605	-30.936	0.023
0.49	-8.613	-31.552	-0.006
0.5	-8.621	-30.634	-0.033
0.51	-8.628	-28.508	-0.054
0.52	-8.635	-25.594	-0.069
0.53	-8.643	-22.488	-0.080
0.54	-8.650	-19.805	-0.080
0.55	-8.657	-17.952	-0.077
0.56	-8.663	-16.853	-0.078
0.57	-8.669	-15.892	-0.079
0.58	-8.677	-14.333	-0.077
0.59	-8.684	-11.830	-0.073
0.6	-8.693	-8.586	-0.069
0.61	-8.701	-5.164	-0.064
0.62	-8.708	-2.095	-0.063
0.63	-8.716	0.295	-0.062
0.64	-8.724	1.813	-0.060
0.65	-8.733	2.452	-0.058
0.66	-8.741	2.398	-0.060
0.67	-8.749	1.755	-0.061
0.68	-8.758	0.483	-0.060
0.69	-8.766	-1.383	-0.058
0.7	-8.773	-3.738	-0.056
0.71	-8.781	-6.436	-0.052
0.72	-8.787	-9.259	-0.048
0.73	-8.796	-11.959	-0.047
0.74	-8.804	-14.278	-0.049
0.75	-8.811	-16.081	-0.054
0.76	-8.819	-17.405	-0.058
0.77	-8.826	-18.364	-0.058
0.78	-8.834	-19.105	-0.056
0.79	-8.842	-19.627	-0.053
0.8	-8.851	-19.817	-0.053
0.81	-8.857	-19.689	-0.054
0.82	-8.866	-19.339	-0.052
0.83	-8.873	-18.823	-0.049
0.84	-8.880	-18.195	-0.049
0.85	-8.886	-17.483	-0.051
0.86	-8.893	-16.666	-0.049
0.87	-8.899	-15.734	-0.046
0.88	-8.906	-14.736	-0.047
