Interval=	0.01 s
ExcelDateTime=	3.9778666247484500e+004	26/11/2008 15:59:23.78266
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	20.000 mV	1000.0 µV
0.0	-9.328	13.914	9.4
0.01	-9.346	19.151	56.5
0.02	-9.366	20.397	112.9
0.03	-9.388	20.453	142.5
0.04	-9.410	20.454	164.3
0.05	-9.433	20.448	193.2
0.06	-9.457	19.934	209.3
0.07	-9.481	16.137	203.2
0.08	-9.505	6.938	177.8
0.09	-9.530	-4.543	132.8
0.1	-9.555	-13.878	66.7
0.11	-9.579	-18.944	-3.0
0.12	-9.600	-20.346	-51.2
0.13	-9.620	-20.452	-83.0
0.14	-9.643	-20.456	-106.7
0.15	-9.666	-20.456	-112.7
0.16	-9.689	-20.456	-108.0
0.17	-9.713	-20.456	-105.6
0.18	-9.738	-20.456	-101.4
0.19	-9.766	-20.456	-102.7
0.2	-9.793	-20.456	-98.3
0.21	-9.818	-20.456	-89.5
0.22	-9.841	-20.456	-96.2
0.23	-9.863	-20.456	-99.2
0.24	-9.884	-20.456	-96.6
0.25	-9.906	-20.456	-87.4
0.26	-9.928	-20.456	-72.1
0.27	-9.951	-20.446	-66.4
0.28	-9.978	-20.227	-71.7
0.29	-10.003	-19.339	-72.5
0.3	-10.027	-17.830	-68.8
0.31	-10.051	-16.316	-67.9
0.32	-10.074	-14.973	-70.0
0.33	-10.098	-13.768	-77.7
0.34	-10.122	-13.418	-77.4
0.35	-10.144	-14.110	-67.6
0.36	-10.164	-15.001	-58.8
0.37	-10.183	-15.723	-55.1
0.38	-10.202	-16.383	-52.5
0.39	-10.219	-17.076	-53.9
0.4	-10.237	-17.793	-53.0
0.41	-10.254	-18.436	-43.7
0.42	-10.271	-18.903	-32.4
0.43	-10.288	-19.139	-14.3
0.44	-10.305	-19.114	-0.4
0.45	-10.321	-18.451	1.6
0.46	-10.338	-16.394	-11.3
0.47	-10.353	-14.539	-34.6
0.48	-10.366	-14.963	-47.5
0.49	-10.377	-16.111	-48.4
0.5	-10.390	-16.389	-45.0
0.51	-10.403	-16.134	-41.5
0.52	-10.416	-15.855	-47.5
0.53	-10.429	-15.663	-53.9
0.54	-10.443	-15.407	-58.5
0.55	-10.453	-15.025	-75.0
0.56	-10.463	-14.338	-15.7
0.57	-10.475	-12.913	287.3
0.58	-10.490	-11.251	658.5
0.59	-10.504	-10.893	609.3
0.6	-10.515	-11.789	257.0
0.61	-10.525	-12.594	67.7
0.62	-10.533	-12.881	25.5
0.63	-10.535	-13.013	4.4
0.64	-10.532	-13.230	-6.9
0.65	-10.525	-13.429	-19.0
0.66	-10.519	-13.546	-15.8
0.67	-10.518	-13.549	1.8
0.68	-10.521	-13.231	12.3
0.69	-10.526	-12.200	13.3
0.7	-10.530	-9.906	26.2
0.71	-10.536	-5.631	52.5
0.72	-10.543	1.415	72.2
0.73	-10.549	10.519	88.2
0.74	-10.556	17.623	110.2
0.75	-10.563	20.188	140.3
0.76	-10.571	20.448	166.6
0.77	-10.581	20.456	192.3
0.78	-10.592	20.455	224.8
0.79	-10.603	20.450	232.0
0.8	-10.612	19.989	222.4
0.81	-10.620	16.310	206.1
0.82	-10.629	7.093	156.8
0.83	-10.638	-4.490	86.5
0.84	-10.648	-13.887	21.2
0.85	-10.656	-18.991	-31.9
0.86	-10.665	-20.366	-68.6
0.87	-10.678	-20.453	-87.0
0.88	-10.695	-20.456	-91.3
0.89	-10.709	-20.456	-92.4
0.9	-10.719	-20.456	-102.2
0.91	-10.730	-20.456	-108.5
0.92	-10.742	-20.456	-103.7
0.93	-10.754	-20.456	-93.6
0.94	-10.763	-20.456	-83.8
0.95	-10.771	-20.456	-83.8
0.96	-10.779	-20.456	-86.9
0.97	-10.788	-20.456	-77.7
0.98	-10.796	-20.456	-67.2
0.99	-10.808	-20.456	-68.0
1.0	-10.819	-20.449	-65.3
1.01	-10.832	-20.242	-59.1
1.02	-10.845	-19.170	-56.7
1.03	-10.860	-17.096	-60.2
1.04	-10.876	-14.916	-63.9
1.05	-10.892	-13.146	-57.9
1.06	-10.906	-10.993	-52.6
1.07	-10.919	-8.509	-57.0
1.08	-10.933	-7.744	-65.6
1.09	-10.945	-9.339	-61.1
1.1	-10.958	-11.952	-47.1
1.11	-10.969	-14.257	-42.6
1.12	-10.979	-15.838	-50.0
1.13	-10.989	-17.056	-54.7
1.14	-10.998	-18.094	-46.2
1.15	-11.006	-18.929	-30.3
1.16	-11.013	-19.431	-9.9
