Interval=	0.01 s
ExcelDateTime=	3.9778663073826996e+004	26/11/2008 15:54:49.578652
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	20.000 mV	1000.0 µV
0.0	-10.393	-16.244	-11.5
0.01	-10.368	-15.794	-52.5
0.02	-10.345	-15.438	-86.6
0.03	-10.323	-15.218	-88.9
0.04	-10.302	-15.089	-90.6
0.05	-10.281	-15.031	-94.4
0.06	-10.263	-14.953	-91.2
0.07	-10.244	-14.743	-105.8
0.08	-10.223	-14.362	-113.0
0.09	-10.201	-13.868	75.2
0.1	-10.181	-13.419	476.3
0.11	-10.164	-13.118	636.9
0.12	-10.147	-12.992	359.4
0.13	-10.129	-13.096	79.0
0.14	-10.111	-13.319	-6.5
0.15	-10.089	-13.384	-40.9
0.16	-10.065	-13.257	-48.5
0.17	-10.038	-13.139	-48.7
0.18	-10.013	-13.093	-59.3
0.19	-9.992	-13.034	-53.3
0.2	-9.973	-12.868	-39.4
0.21	-9.956	-12.285	-27.1
0.22	-9.939	-10.693	-20.1
0.23	-9.922	-7.399	-7.7
0.24	-9.907	-1.710	4.1
0.25	-9.891	6.585	17.8
0.26	-9.876	14.971	54.9
0.27	-9.861	19.493	79.4
0.28	-9.847	20.421	95.5
0.29	-9.833	20.453	130.8
0.3	-9.819	20.453	164.4
0.31	-9.804	20.388	177.7
0.32	-9.788	18.923	170.8
0.33	-9.772	12.607	149.1
0.34	-9.758	1.104	114.4
0.35	-9.742	-10.671	54.7
0.36	-9.726	-17.933	-18.3
0.37	-9.709	-20.232	-73.8
0.38	-9.691	-20.451	-103.4
0.39	-9.676	-20.456	-121.1
0.4	-9.662	-20.456	-143.8
0.41	-9.651	-20.456	-160.9
0.42	-9.639	-20.456	-153.6
0.43	-9.626	-20.456	-136.6
0.44	-9.612	-20.456	-137.0
0.45	-9.598	-20.456	-134.6
0.46	-9.585	-20.456	-128.9
0.47	-9.572	-20.456	-128.9
0.48	-9.559	-20.456	-135.2
0.49	-9.545	-20.456	-141.3
0.5	-9.531	-20.456	-124.3
0.51	-9.517	-20.439	-111.1
0.52	-9.503	-20.105	-105.3
0.53	-9.491	-18.807	-102.5
0.54	-9.478	-16.684	-116.6
0.55	-9.466	-14.679	-120.3
0.56	-9.455	-13.141	-112.8
0.57	-9.444	-12.018	-114.5
0.58	-9.435	-11.472	-106.5
0.59	-9.426	-11.633	-99.3
0.6	-9.416	-12.049	-116.6
0.61	-9.407	-12.485	-119.9
0.62	-9.396	-13.620	-106.1
0.63	-9.385	-15.060	-107.7
0.64	-9.374	-15.858	-101.7
0.65	-9.364	-16.079	-88.1
0.66	-9.354	-16.053	-96.5
0.67	-9.345	-16.150	-111.8
0.68	-9.338	-16.379	-108.7
0.69	-9.329	-16.553	-96.3
0.7	-9.321	-16.672	-93.7
0.71	-9.313	-16.686	-88.7
0.72	-9.306	-16.485	-66.6
0.73	-9.299	-16.016	-43.0
0.74	-9.293	-15.398	-44.5
0.75	-9.286	-14.951	-60.2
0.76	-9.280	-14.818	-65.3
0.77	-9.274	-14.871	-69.2
0.78	-9.270	-14.919	-79.5
0.79	-9.265	-14.748	-86.1
0.8	-9.260	-14.323	-96.1
0.81	-9.255	-13.873	-97.8
0.82	-9.251	-13.590	-90.7
0.83	-9.248	-13.431	-93.8
0.84	-9.246	-13.306	-102.0
0.85	-9.241	-13.252	-107.7
0.86	-9.237	-13.186	-2.3
0.87	-9.232	-12.940	358.3
0.88	-9.228	-12.621	684.8
0.89	-9.223	-12.487	548.9
0.9	-9.220	-12.641	194.6
0.91	-9.217	-12.984	13.1
0.92	-9.213	-13.303	-31.0
0.93	-9.205	-13.346	-42.5
0.94	-9.196	-13.093	-61.7
0.95	-9.186	-12.885	-79.8
0.96	-9.178	-12.910	-71.9
0.97	-9.169	-12.895	-62.8
0.98	-9.160	-12.464	-52.8
0.99	-9.151	-11.201	-38.5
1.0	-9.142	-8.337	-27.0
1.01	-9.134	-3.033	-11.0
1.02	-9.127	4.986	6.8
1.03	-9.122	13.696	32.1
1.04	-9.116	19.028	49.3
1.05	-9.109	20.386	62.3
1.06	-9.105	20.452	91.0
1.07	-9.103	20.453	126.0
1.08	-9.099	20.422	139.1
1.09	-9.095	19.453	139.8
1.1	-9.091	14.291	140.2
1.11	-9.086	3.649	111.7
1.12	-9.082	-8.374	72.8
1.13	-9.079	-16.774	18.3
1.14	-9.077	-20.011	-57.8
1.15	-9.074	-20.449	-112.1
1.16	-9.074	-20.455	-139.9
1.17	-9.075	-20.456	-161.2
1.18	-9.076	-20.456	-165.6
1.19	-9.076	-20.456	-151.2
1.2	-9.075	-20.456	-150.5
1.21	-9.077	-20.456	-158.6
1.22	-9.079	-20.456	-150.8
1.23	-9.081	-20.456	-138.0
1.24	-9.082	-20.456	-138.4
1.25	-9.082	-20.456	-142.5
1.26	-9.083	-20.456	-140.1
1.27	-9.084	-20.456	-135.4
1.28	-9.086	-20.451	-134.3
1.29	-9.087	-20.286	-131.1
1.3	-9.088	-19.409	-130.4
1.31	-9.089	-17.658	-127.3
1.32	-9.089	-15.651	-119.2
1.33	-9.092	-13.844	-122.7
1.34	-9.096	-12.483	-128.5
1.35	-9.100	-11.819	-127.6
1.36	-9.106	-11.785	-120.1
1.37	-9.113	-12.124	-108.1
1.38	-9.119	-12.687	-101.7
1.39	-9.124	-13.394	-109.4
1.4	-9.129	-14.103	-116.9
1.41	-9.133	-14.697	-116.8
1.42	-9.136	-15.220	-107.9
1.43	-9.139	-15.779	-102.4
1.44	-9.143	-16.313	-111.9
1.45	-9.147	-16.614	-108.3
1.46	-9.150	-16.638	-95.3
1.47	-9.153	-16.518	-83.9
1.48	-9.155	-16.293	-82.8
1.49	-9.156	-15.991	-84.6
1.5	-9.156	-15.713	-70.5
1.51	-9.157	-15.486	-64.1
1.52	-9.159	-15.319	-58.1
1.53	-9.161	-15.192	-50.2
1.54	-9.164	-14.931	-44.8
1.55	-9.165	-14.500	-42.3
1.56	-9.165	-14.155	-62.5
1.57	-9.166	-14.031	-82.8
1.58	-9.166	-13.953	-79.1
1.59	-9.166	-13.815	-82.3
1.6	-9.166	-13.711	-94.3
1.61	-9.167	-13.620	-88.8
1.62	-9.170	-13.445	-81.2
1.63	-9.174	-13.212	-93.6
1.64	-9.178	-13.002	-94.8
1.65	-9.179	-12.829	85.3
1.66	-9.181	-12.671	487.6
1.67	-9.185	-12.621	704.8
1.68	-9.191	-12.748	489.5
1.69	-9.203	-12.966	165.1
1.7	-9.216	-13.172	6.4
1.71	-9.223	-13.296	-27.7
1.72	-9.219	-13.316	-41.5
1.73	-9.206	-13.281	-61.3
1.74	-9.189	-13.203	-62.4
1.75	-9.175	-13.105	-56.6
1.76	-9.164	-12.985	-47.2
1.77	-9.158	-12.456	-27.3
1.78	-9.158	-10.805	-15.6
1.79	-9.159	-7.404	-6.0
1.8	-9.156	-1.754	4.8
1.81	-9.151	6.350	10.6
1.82	-9.148	14.681	37.7
1.83	-9.147	19.369	77.8
1.84	-9.148	20.413	104.7
1.85	-9.149	20.454	129.7
1.86	-9.150	20.451	152.3
1.87	-9.151	20.363	155.9
1.88	-9.152	18.602	151.5
1.89	-9.154	11.794	150.3
1.9	-9.156	0.171	118.5
1.91	-9.157	-11.299	59.8
1.92	-9.156	-18.184	3.1
1.93	-9.155	-20.269	-39.5
1.94	-9.153	-20.451	-74.4
1.95	-9.154	-20.456	-119.0
1.96	-9.159	-20.456	-140.1
1.97	-9.162	-20.456	-135.0
1.98	-9.163	-20.456	-133.6
1.99	-9.164	-20.456	-138.1
2.0	-9.168	-20.456	-130.4
2.01	-9.171	-20.456	-106.5
2.02	-9.172	-20.456	-104.9
2.03	-9.173	-20.456	-118.9
2.04	-9.174	-20.456	-124.0
2.05	-9.175	-20.456	-116.4
2.06	-9.177	-20.455	-102.3
2.07	-9.181	-20.411	-101.9
2.08	-9.185	-19.962	-104.8
2.09	-9.189	-18.644	-92.9
2.1	-9.192	-16.766	-81.3
2.11	-9.195	-14.981	-91.8
2.12	-9.201	-13.481	-107.8
2.13	-9.209	-12.386	-109.7
2.14	-9.219	-11.893	-99.7
2.15	-9.232	-11.993	-94.5
2.16	-9.244	-12.393	-98.9
2.17	-9.254	-12.898	-89.6
2.18	-9.262	-13.541	-84.3
2.19	-9.268	-14.198	-87.3
2.2	-9.273	-14.653	-84.6
2.21	-9.277	-14.994	-92.0
2.22	-9.282	-15.415	-87.5
2.23	-9.287	-15.906	-72.6
2.24	-9.293	-16.308	-77.3
2.25	-9.299	-16.446	-81.6
2.26	-9.305	-16.317	-74.1
2.27	-9.311	-16.089	-74.4
2.28	-9.317	-15.852	-74.2
2.29	-9.322	-15.578	-70.2
2.3	-9.328	-15.296	-72.4
2.31	-9.332	-15.090	-69.1
2.32	-9.338	-14.948	-53.2
2.33	-9.343	-14.729	-42.1
2.34	-9.349	-14.353	-33.4
2.35	-9.354	-13.998	-17.9
2.36	-9.359	-13.855	-12.5
2.37	-9.362	-13.829	-32.7
2.38	-9.364	-13.767	-55.4
2.39	-9.367	-13.659	-52.7
2.4	-9.372	-13.462	-57.4
2.41	-9.377	-13.184	-75.5
2.42	-9.382	-12.974	-73.2
2.43	-9.388	-12.838	-60.1
2.44	-9.395	-12.730	-56.6
2.45	-9.400	-12.749	-82.9
2.46	-9.403	-12.894	-47.3
2.47	-9.406	-13.019	241.3
2.48	-9.410	-13.051	647.5
2.49	-9.416	-13.048	692.9
2.5	-9.426	-13.103	373.5
2.51	-9.436	-13.141	111.4
2.52	-9.445	-13.032	14.8
2.53	-9.446	-12.881	-10.3
2.54	-9.441	-12.891	-13.2
2.55	-9.429	-13.063	-24.1
2.56	-9.415	-13.251	-40.3
2.57	-9.402	-13.329	-29.3
2.58	-9.390	-13.161	-12.6
2.59	-9.379	-12.386	-15.1
2.6	-9.366	-10.492	-5.6
2.61	-9.353	-6.949	25.8
2.62	-9.341	-1.148	51.4
2.63	-9.331	6.987	63.9
2.64	-9.321	15.047	75.6
2.65	-9.313	19.454	90.8
2.66	-9.306	20.416	121.8
2.67	-9.303	20.453	151.4
2.68	-9.302	20.448	166.6
2.69	-9.301	20.067	185.9
2.7	-9.301	16.834	200.9
2.71	-9.301	8.196	193.5
2.72	-9.299	-3.534	149.2
2.73	-9.297	-13.591	87.3
2.74	-9.294	-19.005	19.8
2.75	-9.290	-20.379	-38.3
2.76	-9.286	-20.453	-63.0
2.77	-9.284	-20.456	-82.3
2.78	-9.286	-20.456	-102.4
2.79	-9.285	-20.456	-110.9
2.8	-9.284	-20.456	-97.6
2.81	-9.284	-20.456	-87.3
2.82	-9.287	-20.456	-101.7
2.83	-9.290	-20.456	-105.3
2.84	-9.291	-20.456	-90.9
2.85	-9.291	-20.456	-75.6
2.86	-9.289	-20.456	-70.0
2.87	-9.287	-20.455	-77.4
2.88	-9.287	-20.411	-76.2
2.89	-9.288	-19.974	-72.7
2.9	-9.290	-18.703	-73.5
2.91	-9.292	-16.849	-68.8
2.92	-9.294	-15.086	-67.8
2.93	-9.295	-13.731	-60.7
2.94	-9.298	-12.696	-50.2
2.95	-9.303	-11.915	-51.8
2.96	-9.309	-11.508	-66.1
2.97	-9.317	-11.514	-71.2
2.98	-9.324	-11.788	-69.2
2.99	-9.331	-12.247	-70.8
3.0	-9.335	-12.937	-59.7
3.01	-9.338	-13.792	-49.4
3.02	-9.339	-14.603	-42.4
3.03	-9.339	-15.196	-31.3
3.04	-9.341	-15.559	-45.3
3.05	-9.341	-15.754	-63.7
3.06	-9.344	-15.752	-63.3
3.07	-9.347	-15.558	-53.3
3.08	-9.350	-15.392	-41.6
3.09	-9.353	-15.386	-36.9
3.1	-9.355	-15.385	-28.6
3.11	-9.357	-15.225	-32.6
3.12	-9.359	-14.953	-42.2
3.13	-9.361	-14.755	-22.8
3.14	-9.362	-14.648	6.7
3.15	-9.362	-14.438	8.8
3.16	-9.362	-14.163	10.3
3.17	-9.361	-14.013	11.8
3.18	-9.359	-13.930	-21.0
3.19	-9.357	-13.759	-41.8
3.2	-9.355	-13.498	-41.0
3.21	-9.353	-13.245	-49.3
3.22	-9.351	-13.078	-48.8
3.23	-9.350	-12.969	-31.9
3.24	-9.351	-12.893	-21.7
3.25	-9.353	-12.924	-41.0
3.26	-9.354	-13.024	-61.1
3.27	-9.354	-13.021	86.6
3.28	-9.355	-12.883	490.4
3.29	-9.357	-12.678	742.8
3.3	-9.361	-12.491	526.5
3.31	-9.368	-12.489	206.3
3.32	-9.376	-12.696	73.3
3.33	-9.379	-12.921	22.0
3.34	-9.373	-13.055	-1.2
3.35	-9.359	-13.128	2.4
3.36	-9.342	-13.150	-4.5
3.37	-9.325	-13.051	-13.0
3.38	-9.311	-12.763	-8.7
3.39	-9.300	-12.273	-4.8
3.4	-9.290	-11.393	13.6
3.41	-9.285	-9.519	52.8
3.42	-9.285	-5.788	73.1
3.43	-9.286	0.329	74.2
3.44	-9.284	8.454	96.3
3.45	-9.281	15.964	122.2
3.46	-9.279	19.718	131.2
3.47	-9.279	20.431	147.7
3.48	-9.277	20.450	179.4
3.49	-9.277	20.376	211.3
3.5	-9.277	18.833	215.8
3.51	-9.276	12.786	206.8
3.52	-9.276	2.337	185.4
3.53	-9.276	-8.649	130.3
3.54	-9.274	-16.561	60.2
3.55	-9.273	-19.896	-6.0
3.56	-9.272	-20.441	-45.3
3.57	-9.272	-20.455	-63.2
3.58	-9.275	-20.456	-84.0
3.59	-9.276	-20.456	-98.7
3.6	-9.274	-20.456	-93.7
3.61	-9.274	-20.456	-89.8
3.62	-9.277	-20.456	-92.9
3.63	-9.283	-20.456	-88.9
3.64	-9.287	-20.456	-80.9
3.65	-9.290	-20.456	-68.0
3.66	-9.291	-20.456	-73.5
3.67	-9.292	-20.453	-83.6
3.68	-9.293	-20.328	-75.6
3.69	-9.295	-19.599	-67.6
3.7	-9.298	-18.083	-57.3
3.71	-9.301	-16.366	-52.8
3.72	-9.306	-14.855	-61.1
3.73	-9.310	-13.579	-63.0
3.74	-9.315	-12.547	-49.8
3.75	-9.320	-11.748	-49.8
3.76	-9.327	-11.271	-66.3
3.77	-9.334	-11.248	-69.5
3.78	-9.342	-11.599	-52.0
3.79	-9.349	-12.055	-36.8
3.8	-9.354	-12.506	-42.8
3.81	-9.359	-13.093	-46.3
3.82	-9.363	-13.822	-43.7
3.83	-9.367	-14.457	-51.4
3.84	-9.371	-14.885	-52.6
3.85	-9.376	-15.211	-48.6
3.86	-9.381	-15.480	-47.6
3.87	-9.385	-15.627	-37.0
3.88	-9.390	-15.572	-27.1
3.89	-9.394	-15.346	-25.0
3.9	-9.399	-15.088	-26.3
3.91	-9.403	-14.827	-34.2
3.92	-9.406	-14.591	-48.2
3.93	-9.409	-14.519	-46.7
3.94	-9.414	-14.509	-26.5
3.95	-9.419	-14.363	-13.3
3.96	-9.426	-14.213	2.3
3.97	-9.431	-14.142	22.3
3.98	-9.438	-13.976	27.7
3.99	-9.444	-13.696	12.6
4.0	-9.450	-13.396	-11.0
4.01	-9.454	-13.191	-23.7
4.02	-9.457	-13.155	-28.8
4.03	-9.460	-13.112	-28.2
4.04	-9.464	-12.968	-22.8
4.05	-9.470	-12.904	-23.0
4.06	-9.477	-12.983	-25.0
4.07	-9.484	-13.096	-38.7
4.08	-9.492	-13.105	-64.1
4.09	-9.498	-12.961	-33.8
4.1	-9.501	-12.786	199.8
4.11	-9.506	-12.651	596.5
4.12	-9.511	-12.598	724.3
4.13	-9.518	-12.706	448.7
4.14	-9.529	-12.875	162.3
4.15	-9.539	-12.920	43.9
4.16	-9.544	-12.836	11.2
4.17	-9.541	-12.734	2.6
4.18	-9.533	-12.682	-5.8
4.19	-9.523	-12.654	-10.7
4.2	-9.512	-12.641	-0.6
4.21	-9.502	-12.597	18.6
4.22	-9.494	-12.261	24.5
4.23	-9.487	-11.228	28.2
4.24	-9.479	-8.998	39.1
4.25	-9.473	-4.937	61.5
4.26	-9.466	1.428	88.5
4.27	-9.460	9.543	98.6
4.28	-9.456	16.598	116.1
4.29	-9.454	19.881	157.4
4.3	-9.456	20.440	181.9
4.31	-9.461	20.448	193.2
4.32	-9.467	20.164	214.3
4.33	-9.476	17.471	211.1
4.34	-9.485	9.780	192.0
4.35	-9.493	-1.252	169.0
4.36	-9.501	-11.520	115.1
4.37	-9.508	-17.999	40.5
4.38	-9.514	-20.207	-10.9
4.39	-9.521	-20.451	-29.2
4.4	-9.529	-20.456	-53.6
4.41	-9.541	-20.456	-81.0
4.42	-9.551	-20.456	-94.9
4.43	-9.558	-20.456	-101.2
4.44	-9.564	-20.456	-102.0
4.45	-9.571	-20.456	-102.3
4.46	-9.579	-20.456	-91.9
4.47	-9.587	-20.456	-76.9
4.48	-9.594	-20.456	-75.4
4.49	-9.599	-20.455	-76.1
4.5	-9.605	-20.399	-68.1
4.51	-9.611	-19.922	-78.0
4.52	-9.617	-18.653	-86.0
4.53	-9.623	-16.867	-69.9
4.54	-9.627	-15.093	-74.7
4.55	-9.632	-13.611	-76.7
4.56	-9.638	-12.449	-50.5
4.57	-9.645	-11.634	-44.0
4.58	-9.654	-11.274	-57.9
4.59	-9.662	-11.288	-77.1
4.6	-9.671	-11.491	-83.0
4.61	-9.679	-11.751	-65.5
4.62	-9.686	-11.992	-58.6
4.63	-9.691	-12.317	-64.5
4.64	-9.697	-12.852	-69.5
4.65	-9.703	-13.577	-70.6
4.66	-9.708	-14.308	-61.6
4.67	-9.714	-14.767	-55.4
4.68	-9.721	-14.926	-59.3
4.69	-9.726	-14.963	-59.9
4.7	-9.732	-14.973	-60.5
4.71	-9.737	-15.004	-60.4
4.72	-9.742	-15.011	-55.6
4.73	-9.746	-14.919	-46.4
4.74	-9.750	-14.820	-55.4
4.75	-9.753	-14.745	-69.0
4.76	-9.756	-14.588	-46.7
4.77	-9.758	-14.354	-20.3
4.78	-9.759	-14.105	-15.1
4.79	-9.762	-13.941	-15.8
4.8	-9.764	-13.898	-2.0
4.81	-9.767	-13.784	-1.1
4.82	-9.769	-13.528	-30.2
4.83	-9.771	-13.311	-56.5
4.84	-9.773	-13.218	-57.8
4.85	-9.774	-13.096	-42.8
4.86	-9.777	-12.843	-36.5
4.87	-9.780	-12.621	-44.2
4.88	-9.782	-12.608	-59.6
4.89	-9.784	-12.712	-71.9
4.9	-9.783	-12.725	-85.5
4.91	-9.780	-12.633	-28.2
4.92	-9.777	-12.501	259.3
4.93	-9.777	-12.374	640.5
4.94	-9.780	-12.351	646.5
4.95	-9.784	-12.461	309.8
4.96	-9.789	-12.566	83.4
4.97	-9.791	-12.589	21.8
4.98	-9.786	-12.619	2.9
4.99	-9.772	-12.726	-12.4
5.0	-9.752	-12.799	-31.1
5.01	-9.731	-12.726	-33.4
5.02	-9.712	-12.632	-29.0
5.03	-9.694	-12.543	-18.8
5.04	-9.679	-12.178	-3.1
5.05	-9.663	-11.146	9.4
5.06	-9.648	-8.891	31.6
5.07	-9.634	-4.777	50.9
5.08	-9.620	1.485	63.3
5.09	-9.607	9.387	76.6
5.1	-9.594	16.403	105.0
5.11	-9.583	19.806	139.7
5.12	-9.574	20.434	158.0
5.13	-9.566	20.447	178.8
5.14	-9.560	20.071	202.9
5.15	-9.554	17.028	202.0
5.16	-9.548	9.045	169.7
5.17	-9.541	-1.901	126.1
5.18	-9.534	-11.930	69.2
5.19	-9.526	-18.178	11.7
5.2	-9.516	-20.239	-39.4
5.21	-9.507	-20.452	-77.1
5.22	-9.501	-20.456	-93.8
5.23	-9.498	-20.456	-104.7
5.24	-9.492	-20.456	-120.1
5.25	-9.485	-20.456	-135.5
5.26	-9.480	-20.456	-133.3
5.27	-9.476	-20.456	-126.8
5.28	-9.474	-20.456	-108.1
5.29	-9.470	-20.456	-92.8
5.3	-9.466	-20.456	-102.9
5.31	-9.461	-20.451	-105.2
5.32	-9.456	-20.308	-103.5
5.33	-9.453	-19.589	-109.3
5.34	-9.449	-18.118	-108.4
5.35	-9.447	-16.323	-89.7
5.36	-9.444	-14.568	-70.9
5.37	-9.443	-13.023	-75.4
5.38	-9.442	-11.773	-90.0
5.39	-9.442	-10.907	-87.0
5.4	-9.442	-10.628	-89.0
5.41	-9.444	-10.864	-99.1
5.42	-9.446	-11.239	-90.0
5.43	-9.448	-11.591	-85.1
5.44	-9.448	-12.017	-75.1
5.45	-9.447	-12.557	-69.5
5.46	-9.446	-13.128	-80.1
5.47	-9.444	-13.687	-86.2
5.48	-9.442	-14.259	-84.7
5.49	-9.441	-14.725	-71.3
5.5	-9.441	-14.945	-72.9
5.51	-9.442	-14.998	-88.0
5.52	-9.443	-15.010	-75.6
5.53	-9.444	-14.971	-61.2
5.54	-9.443	-14.863	-62.9
5.55	-9.441	-14.707	-62.7
5.56	-9.439	-14.524	-74.6
5.57	-9.438	-14.364	-83.4
5.58	-9.437	-14.258	-68.6
5.59	-9.435	-14.151	-59.7
5.6	-9.434	-13.996	-56.2
5.61	-9.435	-13.816	-36.7
5.62	-9.436	-13.624	-20.6
5.63	-9.437	-13.404	-15.2
5.64	-9.438	-13.245	-13.9
5.65	-9.438	-13.304	-27.8
5.66	-9.439	-13.475	-52.1
5.67	-9.441	-13.400	-71.2
5.68	-9.444	-12.944	-76.8
5.69	-9.449	-12.436	-65.3
5.7	-9.455	-12.291	-58.8
5.71	-9.462	-12.525	-58.0
5.72	-9.469	-12.824	-54.3
5.73	-9.478	-12.938	-74.7
5.74	-9.484	-12.837	-87.6
5.75	-9.490	-12.544	73.3
5.76	-9.496	-12.179	475.1
5.77	-9.506	-12.073	716.1
5.78	-9.519	-12.342	489.1
5.79	-9.534	-12.751	155.1
5.8	-9.549	-13.107	21.4
5.81	-9.559	-13.261	-5.4
5.82	-9.561	-13.064	-17.6
5.83	-9.554	-12.651	-30.6
5.84	-9.543	-12.393	-47.9
5.85	-9.531	-12.422	-41.5
5.86	-9.523	-12.537	-23.4
5.87	-9.516	-12.497	-15.3
5.88	-9.509	-11.921	3.2
5.89	-9.504	-10.238	9.9
5.9	-9.499	-6.917	6.5
5.91	-9.494	-1.528	28.6
5.92	-9.490	5.869	69.3
5.93	-9.487	13.693	101.4
5.94	-9.486	18.803	124.0
5.95	-9.486	20.338	140.2
5.96	-9.489	20.447	153.2
5.97	-9.493	20.382	161.3
5.98	-9.499	18.950	169.8
5.99	-9.505	13.276	172.4
6.0	-9.511	3.353	154.3
6.01	-9.517	-7.379	103.3
6.02	-9.521	-15.666	31.3
6.03	-9.524	-19.616	-31.8
6.04	-9.526	-20.424	-78.9
6.05	-9.531	-20.455	-108.9
6.06	-9.541	-20.456	-130.3
6.07	-9.552	-20.456	-140.4
6.08	-9.559	-20.456	-122.7
6.09	-9.566	-20.456	-110.8
6.1	-9.575	-20.456	-123.1
6.11	-9.586	-20.456	-128.7
6.12	-9.596	-20.456	-133.6
6.13	-9.604	-20.456	-132.6
6.14	-9.609	-20.455	-124.3
6.15	-9.614	-20.398	-121.6
6.16	-9.619	-19.965	-116.3
6.17	-9.626	-18.841	-106.8
6.18	-9.634	-17.238	-103.3
6.19	-9.643	-15.562	-100.8
6.2	-9.651	-14.070	-89.7
6.21	-9.661	-12.919	-86.9
6.22	-9.669	-12.043	-103.8
6.23	-9.678	-11.363	-104.2
