Interval=	0.01 s
ExcelDateTime=	3.9778683451732140e+004	26/11/2008 16:24:10.229657
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	20.000 mV	1000.0 µV
0.0	-9.223	-20.446	-8.8
0.01	-9.258	-20.317	-26.4
0.02	-9.293	-19.865	-34.5
0.03	-9.327	-19.141	-43.3
0.04	-9.360	-18.475	-42.1
0.05	-9.393	-18.013	-28.5
0.06	-9.424	-17.595	-32.8
0.07	-9.454	-17.178	-51.7
0.08	-9.484	-16.771	-65.3
0.09	-9.514	-16.261	-70.9
0.1	-9.545	-15.775	-81.3
0.11	-9.578	-15.557	-88.1
0.12	-9.610	-15.583	-81.0
0.13	-9.642	-15.631	-76.8
0.14	-9.672	-15.593	-75.9
0.15	-9.703	-15.581	-94.1
0.16	-9.730	-15.676	-93.5
0.17	-9.758	-15.769	102.1
0.18	-9.787	-15.733	523.9
0.19	-9.818	-15.658	726.1
0.2	-9.848	-15.704	460.0
0.21	-9.877	-15.867	141.8
0.22	-9.907	-16.123	11.9
0.23	-9.936	-16.453	-33.7
0.24	-9.963	-16.731	-49.3
0.25	-9.985	-16.841	-44.8
0.26	-10.006	-16.712	-49.4
0.27	-10.025	-16.334	-56.9
0.28	-10.046	-16.079	-36.2
0.29	-10.068	-16.027	-25.4
0.3	-10.091	-15.168	-29.0
0.31	-10.114	-11.831	-17.4
0.32	-10.137	-4.304	8.5
0.33	-10.162	6.920	39.8
0.34	-10.187	16.378	57.6
0.35	-10.212	20.033	68.0
0.36	-10.236	20.446	87.3
0.37	-10.262	20.456	127.4
0.38	-10.289	20.456	173.5
0.39	-10.315	20.456	194.8
0.4	-10.342	20.456	217.5
0.41	-10.369	20.448	223.3
0.42	-10.397	20.281	190.9
0.43	-10.424	18.147	130.7
0.44	-10.450	11.288	45.0
0.45	-10.477	1.212	-14.3
0.46	-10.503	-7.830	-55.4
0.47	-10.528	-14.174	-104.1
0.48	-10.551	-18.008	-127.0
0.49	-10.574	-19.808	-124.8
0.5	-10.599	-20.038	-117.4
0.51	-10.623	-19.064	-124.9
0.52	-10.644	-17.509	-137.3
0.53	-10.664	-16.415	-140.3
0.54	-10.684	-16.799	-143.0
0.55	-10.704	-18.534	-130.6
