Interval=	0.01 s
ExcelDateTime=	3.9778677043097770e+004	26/11/2008 16:14:56.523647
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	20.000 mV	1000.0 µV
0.0	-10.119	-20.081	-5.0
0.01	-10.117	-18.522	-33.8
0.02	-10.113	-15.842	-64.8
0.03	-10.108	-13.500	-79.9
0.04	-10.101	-12.167	-79.8
0.05	-10.092	-11.471	-71.0
0.06	-10.083	-11.316	-63.7
0.07	-10.071	-11.850	-61.9
0.08	-10.061	-13.063	-65.2
0.09	-10.050	-14.673	-72.9
0.1	-10.040	-16.331	-72.3
0.11	-10.031	-17.948	-62.8
0.12	-10.021	-19.367	-66.9
0.13	-10.013	-20.204	-72.5
0.14	-10.003	-20.439	-65.8
0.15	-9.994	-20.456	-52.4
0.16	-9.985	-20.456	-37.1
0.17	-9.975	-20.456	-51.7
0.18	-9.965	-20.456	-79.0
0.19	-9.954	-20.456	-72.6
0.2	-9.943	-20.456	-46.5
0.21	-9.930	-20.453	-34.9
0.22	-9.917	-20.388	-44.0
0.23	-9.904	-20.122	-37.0
0.24	-9.891	-19.607	-28.7
0.25	-9.878	-18.948	-39.9
0.26	-9.866	-18.266	-26.6
0.27	-9.855	-17.634	-8.4
0.28	-9.844	-17.083	-0.9
0.29	-9.832	-16.626	9.3
0.3	-9.819	-16.258	-8.0
0.31	-9.806	-15.950	-42.0
0.32	-9.794	-15.694	-56.1
0.33	-9.781	-15.479	-56.4
0.34	-9.769	-15.303	-52.4
0.35	-9.758	-15.178	-39.9
0.36	-9.745	-15.136	-32.0
0.37	-9.732	-15.194	-42.2
0.38	-9.717	-15.274	-73.2
0.39	-9.699	-15.274	-62.8
0.4	-9.679	-15.214	179.1
0.41	-9.662	-15.206	579.3
0.42	-9.646	-15.269	671.1
0.43	-9.630	-15.387	380.9
0.44	-9.611	-15.579	115.2
0.45	-9.592	-15.806	28.4
0.46	-9.572	-15.959	2.8
0.47	-9.549	-15.946	-19.2
0.48	-9.523	-15.796	-21.3
0.49	-9.496	-15.630	-21.8
0.5	-9.469	-15.531	-27.1
0.51	-9.444	-15.407	-18.5
0.52	-9.420	-14.897	-6.8
0.53	-9.397	-13.359	3.3
0.54	-9.374	-9.869	22.7
0.55	-9.353	-3.297	40.0
0.56	-9.334	6.483	49.5
0.57	-9.316	15.623	82.6
0.58	-9.299	19.816	105.5
0.59	-9.283	20.444	106.5
0.6	-9.269	20.454	134.1
0.61	-9.256	20.456	170.6
