Interval=	0.01 s
ExcelDateTime=	3.9769602194115920e+004	17/11/2008 14:27:09.571615
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	500.0 µV
0.0	-8.918	4.184	0.3
0.01	-8.915	10.725	-11.9
0.02	-8.914	15.147	-13.5
0.03	-8.914	17.016	-1.7
0.04	-8.914	16.578	10.4
0.05	-8.914	14.442	25.4
0.06	-8.914	11.142	43.5
0.07	-8.915	6.945	65.5
0.08	-8.916	2.091	92.3
0.09	-8.918	-2.902	124.0
0.1	-8.920	-7.369	154.3
0.11	-8.924	-10.848	177.1
0.12	-8.928	-13.111	187.0
0.13	-8.932	-14.073	174.5
0.14	-8.937	-13.838	130.1
0.15	-8.942	-12.859	65.6
0.16	-8.948	-11.761	5.2
0.17	-8.956	-10.831	-37.7
0.18	-8.967	-10.023	-62.9
0.19	-8.985	-9.222	-74.1
0.2	-9.006	-8.456	-76.8
0.21	-9.029	-8.231	-76.7
0.22	-9.054	-9.116	-74.6
0.23	-9.080	-10.891	-71.3
0.24	-9.106	-12.816	-69.8
0.25	-9.132	-14.455	-68.2
0.26	-9.155	-15.839	-68.3
0.27	-9.178	-16.952	-68.4
0.28	-9.200	-17.438	-65.7
0.29	-9.224	-17.027	-63.4
0.3	-9.248	-15.950	-62.6
0.31	-9.275	-14.833	-63.5
0.32	-9.304	-14.161	-66.0
0.33	-9.334	-13.844	-64.3
0.34	-9.366	-13.456	-60.4
0.35	-9.398	-12.869	-59.2
0.36	-9.429	-12.380	-59.9
0.37	-9.459	-12.247	-60.5
0.38	-9.488	-12.375	-59.9
0.39	-9.516	-12.563	-57.8
0.4	-9.544	-12.769	-56.2
0.41	-9.571	-13.014	-55.0
0.42	-9.599	-13.288	-53.9
0.43	-9.626	-13.653	-53.8
0.44	-9.653	-14.186	-53.3
0.45	-9.679	-14.670	-52.3
0.46	-9.705	-14.875	-52.1
0.47	-9.730	-14.988	-50.2
0.48	-9.754	-15.163	-48.1
0.49	-9.777	-15.117	-47.5
0.5	-9.799	-14.669	-47.4
0.51	-9.820	-14.125	-46.0
0.52	-9.841	-13.791	-45.6
0.53	-9.862	-13.694	-42.7
0.54	-9.883	-13.916	-32.5
0.55	-9.904	-14.473	-13.5
0.56	-9.926	-15.056	17.2
0.57	-9.947	-15.413	38.3
0.58	-9.967	-15.581	31.2
0.59	-9.987	-15.589	22.5
0.6	-10.005	-15.373	13.5
0.61	-10.023	-15.017	-15.4
0.62	-10.038	-14.781	-45.3
0.63	-10.052	-14.827	-55.5
0.64	-10.064	-15.016	-53.5
0.65	-10.076	-15.020	-52.6
0.66	-10.091	-14.720	-53.3
0.67	-10.111	-14.344	-49.8
0.68	-10.136	-14.120	54.7
0.69	-10.156	-13.969	274.4
0.7	-10.169	-13.567	309.4
0.71	-10.177	-12.733	75.1
0.72	-10.183	-11.720	-139.3
0.73	-10.189	-11.041	-165.8
0.74	-10.193	-11.002	-95.9
0.75	-10.197	-11.422	-53.5
0.76	-10.203	-11.838	-44.8
0.77	-10.211	-12.038	-43.9
0.78	-10.219	-11.923	-41.3
0.79	-10.224	-11.092	-36.2
0.8	-10.227	-9.061	-32.0
0.81	-10.226	-5.353	-27.4
0.82	-10.223	0.366	-23.0
0.83	-10.221	7.347	-16.7
0.84	-10.220	13.686	-8.7
0.85	-10.223	17.822	0.1
0.86	-10.226	19.453	11.2
0.87	-10.229	19.048	24.8
0.88	-10.231	17.009	40.3
0.89	-10.232	13.539	59.9
0.9	-10.233	8.947	84.6
0.91	-10.234	3.714	114.2
0.92	-10.236	-1.509	144.9
0.93	-10.238	-6.033	171.9
0.94	-10.241	-9.336	189.7
0.95	-10.245	-11.277	190.0
0.96	-10.250	-12.122	159.8
0.97	-10.255	-12.103	100.4
0.98	-10.260	-11.381	35.3
0.99	-10.264	-10.438	-15.8
1.0	-10.269	-9.741	-51.6
1.01	-10.274	-9.295	-71.1
1.02	-10.278	-9.022	-78.0
1.03	-10.283	-9.242	-79.2
1.04	-10.287	-10.373	-80.3
1.05	-10.289	-12.239	-82.6
1.06	-10.288	-14.275	-80.1
1.07	-10.284	-16.181	-76.0
1.08	-10.278	-17.944	-75.5
1.09	-10.267	-19.434	-73.6
1.1	-10.253	-20.286	-72.1
1.11	-10.234	-20.244	-71.0
1.12	-10.213	-19.442	-67.4
1.13	-10.188	-18.372	-64.6
1.14	-10.161	-17.492	-64.6
1.15	-10.131	-16.819	-63.8
1.16	-10.097	-16.137	-63.3
1.17	-10.060	-15.373	-62.7
