Interval=	0.01 s
ExcelDateTime=	3.9769597904266891e+004	17/11/2008 14:20:58.928659
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	500.0 µV
0.0	-9.571	-12.534	0.0
0.01	-9.575	-11.423	-18.0
0.02	-9.578	-9.644	-35.6
0.03	-9.579	-5.784	-34.5
0.04	-9.582	1.825	-29.7
0.05	-9.586	12.714	-22.4
0.06	-9.591	23.797	-14.7
0.07	-9.598	31.736	-5.8
0.08	-9.606	34.969	4.5
0.09	-9.614	33.748	16.5
0.1	-9.624	29.323	31.9
0.11	-9.633	23.023	53.5
0.12	-9.643	15.827	79.1
0.13	-9.654	8.541	109.5
0.14	-9.665	1.958	139.4
0.15	-9.676	-3.305	161.5
0.16	-9.688	-7.002	172.4
0.17	-9.699	-9.306	163.6
0.18	-9.709	-10.705	125.7
0.19	-9.717	-11.686	67.6
0.2	-9.726	-12.450	11.1
0.21	-9.736	-12.850	-31.3
0.22	-9.745	-12.681	-59.0
0.23	-9.755	-11.942	-70.2
0.24	-9.766	-10.878	-73.5
0.25	-9.780	-10.073	-74.3
0.26	-9.794	-10.141	-72.8
0.27	-9.808	-11.277	-71.0
0.28	-9.819	-13.209	-70.0
0.29	-9.829	-15.558	-70.2
0.3	-9.837	-18.067	-70.9
0.31	-9.846	-20.328	-69.5
0.32	-9.854	-21.652	-69.3
0.33	-9.863	-21.502	-68.6
0.34	-9.872	-19.998	-66.3
0.35	-9.880	-17.900	-63.5
0.36	-9.888	-16.002	-62.2
0.37	-9.897	-14.653	-63.2
0.38	-9.906	-13.753	-62.2
0.39	-9.915	-13.033	-59.5
0.4	-9.924	-12.380	-59.9
0.41	-9.933	-11.888	-59.1
0.42	-9.941	-11.577	-55.1
0.43	-9.949	-11.350	-51.4
0.44	-9.959	-11.258	-50.9
0.45	-9.968	-11.570	-51.7
0.46	-9.978	-12.442	-53.3
0.47	-9.987	-13.795	-53.5
0.48	-9.996	-15.448	-51.7
0.49	-10.005	-17.078	-48.6
0.5	-10.014	-18.409	-47.0
0.51	-10.022	-19.350	-47.0
0.52	-10.029	-19.845	-45.7
0.53	-10.037	-19.866	-44.7
0.54	-10.045	-19.502	-45.3
0.55	-10.053	-18.930	-45.0
0.56	-10.061	-18.317	-46.3
0.57	-10.068	-17.769	-46.0
0.58	-10.074	-17.302	-43.2
0.59	-10.080	-16.817	-37.8
0.6	-10.086	-16.250	-24.0
0.61	-10.092	-15.695	7.3
0.62	-10.099	-15.317	34.4
0.63	-10.105	-15.217	35.7
0.64	-10.111	-15.428	29.1
0.65	-10.118	-15.842	27.5
0.66	-10.124	-16.262	11.6
0.67	-10.130	-16.617	-20.6
0.68	-10.134	-16.961	-42.1
0.69	-10.138	-17.273	-45.5
0.7	-10.138	-17.495	-46.4
0.71	-10.138	-17.647	-46.2
0.72	-10.140	-17.738	-44.5
0.73	-10.146	-17.627	26.3
0.74	-10.153	-17.034	217.1
0.75	-10.156	-15.836	282.6
0.76	-10.154	-14.239	70.5
0.77	-10.148	-12.800	-157.3
