Interval=	0.01 s
ExcelDateTime=	3.9769618170215508e+004	17/11/2008 14:50:09.90662
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	500.0 µV
0.0	-8.309	-14.313	-2.9
0.01	-8.319	-13.759	-18.8
0.02	-8.328	-13.345	-44.5
0.03	-8.338	-13.005	-58.5
0.04	-8.348	-13.373	-58.9
0.05	-8.357	-14.314	-52.6
0.06	-8.366	-15.230	-46.7
0.07	-8.376	-16.161	-47.0
0.08	-8.385	-17.241	-54.2
0.09	-8.394	-18.269	-56.3
0.1	-8.402	-19.220	-53.1
0.11	-8.411	-19.980	-46.9
0.12	-8.419	-20.375	-42.1
0.13	-8.427	-20.622	-39.5
0.14	-8.434	-20.928	-37.3
0.15	-8.443	-21.278	-45.5
0.16	-8.449	-21.622	-57.6
0.17	-8.456	-21.870	-47.9
0.18	-8.462	-21.898	-40.7
0.19	-8.468	-21.645	-44.8
0.2	-8.474	-21.270	-41.1
0.21	-8.480	-20.998	-34.4
0.22	-8.487	-20.752	-33.0
0.23	-8.494	-20.213	-33.5
0.24	-8.500	-19.406	-24.8
0.25	-8.507	-18.814	3.9
0.26	-8.513	-18.605	37.9
0.27	-8.519	-18.323	46.0
0.28	-8.526	-17.788	32.3
0.29	-8.534	-17.402	31.3
0.3	-8.542	-17.297	22.8
0.31	-8.551	-17.239	-20.3
0.32	-8.560	-17.050	-52.5
0.33	-8.570	-16.709	-52.5
0.34	-8.581	-16.484	-48.6
0.35	-8.596	-16.637	-50.0
0.36	-8.611	-16.845	-53.2
0.37	-8.631	-16.783	29.5
0.38	-8.651	-16.681	256.5
0.39	-8.672	-16.634	371.8
0.4	-8.694	-16.517	168.0
0.41	-8.715	-16.444	-104.2
0.42	-8.735	-16.464	-173.0
0.43	-8.752	-16.391	-114.0
0.44	-8.766	-16.252	-72.6
0.45	-8.777	-16.205	-52.0
0.46	-8.787	-16.184	-36.7
0.47	-8.797	-16.005	-38.3
0.48	-8.805	-15.567	-48.1
0.49	-8.809	-14.620	-41.2
0.5	-8.813	-12.159	-30.0
0.51	-8.816	-6.450	-27.7
0.52	-8.818	3.569	-24.2
0.53	-8.822	16.780	-17.1
0.54	-8.829	30.430	-6.3
0.55	-8.841	41.697	7.7
0.56	-8.854	48.466	27.0
0.57	-8.869	50.694	53.7
0.58	-8.883	49.752	71.1
0.59	-8.897	45.639	90.3
0.6	-8.910	38.309	125.9
0.61	-8.923	29.138	157.4
0.62	-8.937	19.448	177.9
0.63	-8.950	10.048	193.2
0.64	-8.963	1.872	190.2
0.65	-8.976	-4.420	156.8
0.66	-8.989	-9.172	94.2
0.67	-9.002	-12.881	27.7
0.68	-9.014	-15.513	-22.3
0.69	-9.026	-16.984	-61.1
0.7	-9.037	-17.478	-85.4
0.71	-9.049	-17.202	-87.0
0.72	-9.061	-16.444	-88.8
0.73	-9.074	-15.706	-90.3
0.74	-9.086	-15.364	-84.9
0.75	-9.098	-15.633	-84.9
0.76	-9.109	-16.853	-79.2
0.77	-9.120	-19.156	-68.8
0.78	-9.131	-22.005	-70.6
0.79	-9.141	-24.488	-78.9
0.8	-9.149	-25.903	-87.1
0.81	-9.159	-26.000	-90.1
0.82	-9.168	-25.041	-81.7
0.83	-9.178	-23.659	-68.5
0.84	-9.189	-22.142	-60.4
0.85	-9.202	-20.416	-58.9
0.86	-9.216	-18.927	-63.8
0.87	-9.230	-18.144	-65.3
0.88	-9.244	-17.741	-59.5
