Interval=	0.01 s
ExcelDateTime=	3.9769612567599666e+004	17/11/2008 14:42:05.840611
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	500.0 µV
0.0	-10.056	33.350	18.7
0.01	-10.058	21.136	100.1
0.02	-10.060	9.159	175.6
0.03	-10.063	-1.467	197.7
0.04	-10.067	-9.927	180.1
0.05	-10.070	-16.080	129.5
0.06	-10.074	-20.252	59.7
0.07	-10.078	-22.847	-1.5
0.08	-10.081	-24.083	-42.7
0.09	-10.084	-23.991	-67.0
0.1	-10.087	-22.789	-78.1
0.11	-10.091	-21.141	-83.2
0.12	-10.096	-19.930	-82.1
0.13	-10.104	-19.742	-83.2
0.14	-10.110	-20.802	-87.9
0.15	-10.114	-23.252	-82.1
0.16	-10.118	-26.698	-76.8
0.17	-10.120	-30.005	-79.2
0.18	-10.122	-32.366	-77.0
0.19	-10.123	-33.631	-73.0
0.2	-10.123	-33.628	-72.4
0.21	-10.124	-32.309	-70.3
0.22	-10.127	-30.108	-69.2
0.23	-10.131	-27.559	-64.5
0.24	-10.134	-25.086	-58.2
0.25	-10.139	-22.988	-59.0
0.26	-10.146	-21.414	-58.9
0.27	-10.152	-20.511	-58.9
0.28	-10.158	-20.306	-61.8
0.29	-10.165	-20.481	-60.0
0.3	-10.172	-20.723	-56.7
0.31	-10.179	-20.984	-54.3
0.32	-10.185	-21.356	-54.2
0.33	-10.191	-21.806	-53.6
0.34	-10.196	-21.942	-52.9
0.35	-10.201	-21.688	-57.4
0.36	-10.206	-21.469	-58.8
0.37	-10.212	-21.361	-54.7
0.38	-10.216	-21.170	-55.0
0.39	-10.219	-20.877	-55.0
0.4	-10.219	-20.605	-51.3
0.41	-10.216	-20.506	-49.1
0.42	-10.211	-20.603	-49.0
0.43	-10.203	-20.705	-36.6
0.44	-10.189	-20.630	-6.1
0.45	-10.169	-20.423	17.7
0.46	-10.144	-20.167	20.0
0.47	-10.113	-19.925	16.4
0.48	-10.079	-19.661	7.0
0.49	-10.043	-19.266	-16.8
0.5	-10.006	-18.791	-43.7
0.51	-9.968	-18.264	-57.4
0.52	-9.931	-17.722	-57.8
0.53	-9.894	-17.291	-58.4
0.54	-9.860	-16.956	-59.7
0.55	-9.831	-16.528	-37.1
0.56	-9.807	-15.897	100.8
0.57	-9.784	-15.247	278.7
0.58	-9.758	-14.645	213.2
0.59	-9.727	-13.852	-49.2
0.6	-9.696	-13.098	-204.9
0.61	-9.666	-13.047	-170.3
0.62	-9.636	-13.761	-88.5
0.63	-9.607	-14.806	-51.1
0.64	-9.581	-15.908	-43.5
0.65	-9.559	-16.889	-44.7
0.66	-9.539	-17.406	-43.3
0.67	-9.520	-17.208	-43.8
0.68	-9.500	-16.223	-40.3
0.69	-9.478	-13.764	-33.6
0.7	-9.455	-8.048	-28.8
0.71	-9.433	2.188	-18.6
0.72	-9.411	15.458	-7.8
0.73	-9.391	28.381	2.5
0.74	-9.372	38.134	12.5
0.75	-9.354	43.258	25.7
0.76	-9.337	43.650	45.3
0.77	-9.321	39.895	68.4
0.78	-9.306	32.923	99.6
0.79	-9.293	24.214	134.1
0.8	-9.280	14.870	162.5
0.81	-9.268	5.773	188.8
0.82	-9.257	-2.492	202.8
0.83	-9.246	-10.086	186.0
0.84	-9.236	-16.605	139.0
0.85	-9.227	-21.073	74.2
0.86	-9.220	-23.339	6.2
0.87	-9.214	-24.205	-47.6
0.88	-9.209	-24.255	-77.7
0.89	-9.203	-23.609	-93.9
0.9	-9.197	-22.648	-101.7
0.91	-9.193	-21.953	-101.4
0.92	-9.191	-21.839	-99.4
0.93	-9.190	-22.411	-95.7
0.94	-9.189	-23.731	-95.4
0.95	-9.187	-25.703	-97.3
0.96	-9.183	-27.847	-96.5
0.97	-9.178	-29.291	-94.3
0.98	-9.171	-29.391	-90.5
0.99	-9.164	-28.142	-84.6
1.0	-9.157	-26.008	-77.9
1.01	-9.150	-23.648	-75.0
1.02	-9.146	-21.431	-74.1
1.03	-9.143	-19.348	-71.1
1.04	-9.140	-17.450	-70.0
1.05	-9.138	-16.069	-73.7
1.06	-9.136	-15.453	-74.8
1.07	-9.133	-15.531	-71.8
1.08	-9.131	-16.247	-67.5
1.09	-9.129	-17.545	-63.0
1.1	-9.128	-19.005	-64.9
1.11	-9.128	-20.063	-66.3
1.12	-9.128	-20.697	-70.3
1.13	-9.129	-21.317	-71.1
1.14	-9.131	-21.980	-63.2
1.15	-9.132	-22.491	-62.1
1.16	-9.133	-22.713	-66.5
1.17	-9.133	-22.431	-63.0
1.18	-9.133	-21.853	-57.9
1.19	-9.133	-21.441	-58.3
1.2	-9.133	-21.172	-61.3
1.21	-9.133	-20.864	-62.0
1.22	-9.134	-20.480	-55.8
1.23	-9.134	-20.019	-51.9
