Interval=	0.01 s
ExcelDateTime=	3.9769649585643783e+004	17/11/2008 15:35:24.199623
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	500.0 µV
0.0	-8.576	-50.898	2.8
0.01	-8.562	-49.881	15.3
0.02	-8.545	-47.942	25.3
0.03	-8.526	-45.611	26.2
0.04	-8.504	-43.275	16.5
0.05	-8.480	-41.094	-10.7
0.06	-8.456	-39.148	-38.1
0.07	-8.431	-37.448	-48.8
0.08	-8.408	-35.945	-50.1
0.09	-8.385	-34.611	-50.2
0.1	-8.361	-33.436	-53.5
0.11	-8.334	-32.386	-53.7
0.12	-8.309	-31.458	-26.7
0.13	-8.287	-30.698	124.0
0.14	-8.272	-30.189	291.6
0.15	-8.259	-29.978	182.2
0.16	-8.248	-30.081	-94.1
0.17	-8.236	-30.550	-221.3
0.18	-8.223	-31.464	-162.9
0.19	-8.206	-32.794	-72.7
0.2	-8.186	-34.403	-38.7
0.21	-8.164	-36.184	-33.3
0.22	-8.143	-38.009	-30.8
0.23	-8.126	-39.602	-28.9
0.24	-8.113	-40.653	-24.0
0.25	-8.101	-40.852	-18.8
0.26	-8.091	-39.158	-15.1
0.27	-8.077	-32.223	-9.8
0.28	-8.061	-13.706	-3.1
0.29	-8.043	16.561	5.1
0.3	-8.025	41.705	13.4
0.31	-8.009	50.391	22.1
0.32	-7.995	51.103	34.4
0.33	-7.984	51.139	51.0
0.34	-7.975	51.139	71.1
0.35	-7.968	51.139	96.5
0.36	-7.961	51.139	129.1
0.37	-7.954	51.138	163.5
0.38	-7.949	51.123	197.3
0.39	-7.945	50.386	228.2
0.4	-7.942	44.506	243.8
0.41	-7.939	29.784	229.8
0.42	-7.937	11.395	178.5
0.43	-7.934	-3.825	101.3
0.44	-7.931	-14.255	24.9
0.45	-7.931	-20.142	-31.2
0.46	-7.929	-22.136	-64.5
0.47	-7.925	-21.320	-81.0
0.48	-7.921	-19.175	-87.9
0.49	-7.919	-17.467	-91.9
0.5	-7.921	-17.998	-93.8
0.51	-7.923	-22.216	-92.1
0.52	-7.925	-30.675	-90.2
0.53	-7.925	-41.263	-88.8
0.54	-7.924	-48.688	-87.7
0.55	-7.921	-50.967	-86.9
0.56	-7.917	-51.133	-83.6
0.57	-7.914	-51.134	-78.6
0.58	-7.911	-50.842	-76.3
0.59	-7.907	-48.109	-74.2
0.6	-7.904	-40.458	-71.7
0.61	-7.902	-29.925	-69.8
0.62	-7.901	-20.577	-68.6
0.63	-7.899	-14.097	-66.7
0.64	-7.898	-10.709	-64.3
0.65	-7.898	-10.138	-64.7
0.66	-7.898	-11.822	-64.8
0.67	-7.898	-15.120	-63.1
0.68	-7.899	-19.430	-61.3
