Interval=	0.01 s
ExcelDateTime=	3.9778413029209201e+004	26/11/2008 9:54:45.723675
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	1000.0 µV
0.0	-9.696	-14.888	-6.9
0.01	-9.684	-14.780	-26.1
0.02	-9.670	-14.747	-40.1
0.03	-9.653	-14.725	-40.1
0.04	-9.633	-14.680	-34.5
0.05	-9.612	-14.581	-26.7
0.06	-9.589	-14.402	-18.2
0.07	-9.568	-14.131	3.3
0.08	-9.546	-13.684	25.1
0.09	-9.525	-12.802	33.0
0.1	-9.504	-11.102	53.3
0.11	-9.485	-8.284	83.9
0.12	-9.466	-4.272	108.7
0.13	-9.449	0.816	145.5
0.14	-9.432	7.783	188.7
0.15	-9.415	18.831	217.9
0.16	-9.398	33.414	233.8
0.17	-9.382	45.388	240.5
0.18	-9.367	50.383	228.9
0.19	-9.353	51.080	189.5
0.2	-9.341	50.159	124.4
0.21	-9.330	46.066	42.2
0.22	-9.320	37.917	-26.6
0.23	-9.311	27.536	-72.8
0.24	-9.306	16.852	-104.6
0.25	-9.303	6.989	-116.5
0.26	-9.300	-1.447	-127.5
0.27	-9.293	-8.450	-134.6
0.28	-9.284	-14.417	-131.2
0.29	-9.273	-19.888	-134.8
0.3	-9.263	-25.300	-137.4
0.31	-9.253	-30.650	-135.4
0.32	-9.244	-35.447	-127.2
0.33	-9.236	-39.008	-119.5
0.34	-9.226	-40.909	-122.2
0.35	-9.218	-41.244	-120.9
0.36	-9.211	-40.278	-110.3
0.37	-9.205	-38.200	-101.6
0.38	-9.200	-35.353	-100.8
0.39	-9.195	-32.178	-97.6
0.4	-9.189	-28.906	-90.9
0.41	-9.183	-25.638	-91.8
0.42	-9.178	-22.544	-94.6
0.43	-9.171	-19.792	-90.3
0.44	-9.165	-17.495	-85.2
0.45	-9.158	-15.747	-88.3
0.46	-9.151	-14.609	-94.6
0.47	-9.144	-14.058	-97.0
0.48	-9.138	-13.959	-91.0
0.49	-9.131	-14.139	-82.1
0.5	-9.124	-14.495	-84.7
0.51	-9.119	-15.025	-89.6
0.52	-9.113	-15.767	-88.4
0.53	-9.107	-16.719	-85.6
0.54	-9.102	-17.784	-83.2
0.55	-9.097	-18.797	-82.3
0.56	-9.092	-19.619	-83.2
0.57	-9.088	-20.217	-80.3
0.58	-9.084	-20.653	-77.0
0.59	-9.081	-21.019	-72.0
0.6	-9.077	-21.353	-60.4
0.61	-9.072	-21.664	-52.9
0.62	-9.069	-21.916	-39.6
0.63	-9.066	-22.031	-12.5
0.64	-9.063	-21.991	1.0
0.65	-9.061	-21.839	-4.4
0.66	-9.061	-21.631	-18.6
0.67	-9.059	-21.378	-43.4
0.68	-9.058	-21.055	-68.9
0.69	-9.054	-20.620	-83.9
0.7	-9.051	-20.056	-84.3
0.71	-9.047	-19.359	-82.2
0.72	-9.043	-18.581	-84.8
0.73	-9.039	-17.845	-87.4
0.74	-9.039	-17.269	-85.9
0.75	-9.041	-16.869	-83.9
0.76	-9.041	-16.567	-89.8
0.77	-9.037	-16.255	-17.2
