Interval=	0.01 s
ExcelDateTime=	3.9769402723814965e+004	17/11/2008 9:39:55.337613
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	2.000 mV
0.0	-7.689	-14.083	0.301
0.01	-7.671	-14.364	0.015
0.02	-7.652	-14.609	0.026
0.03	-7.634	-14.864	-0.093
0.04	-7.616	-15.036	-0.083
0.05	-7.597	-14.952	-0.106
0.06	-7.577	-14.530	-0.099
0.07	-7.559	-13.828	-0.086
0.08	-7.543	-12.953	-0.075
0.09	-7.527	-11.823	-0.072
0.1	-7.511	-9.863	-0.052
0.11	-7.495	-5.927	-0.038
0.12	-7.480	1.366	-0.024
0.13	-7.466	13.023	-0.019
0.14	-7.455	28.338	0.005
0.15	-7.446	42.386	0.032
0.16	-7.437	49.578	0.060
0.17	-7.429	51.080	0.089
0.18	-7.422	51.130	0.126
0.19	-7.415	50.994	0.156
0.2	-7.407	48.830	0.179
0.21	-7.402	41.236	0.188
0.22	-7.397	29.145	0.185
0.23	-7.392	17.083	0.144
0.24	-7.388	7.225	0.065
0.25	-7.383	-0.222	-0.015
0.26	-7.379	-5.470	-0.069
0.27	-7.373	-8.966	-0.104
0.28	-7.367	-11.225	-0.120
0.29	-7.363	-12.792	-0.135
0.3	-7.359	-14.214	-0.129
0.31	-7.355	-16.050	-0.130
0.32	-7.351	-18.928	-0.127
0.33	-7.346	-23.359	-0.125
0.34	-7.342	-29.294	-0.118
0.35	-7.338	-35.709	-0.118
0.36	-7.333	-40.875	-0.113
0.37	-7.328	-43.350	-0.119
0.38	-7.326	-42.730	-0.100
0.39	-7.324	-39.486	-0.094
0.4	-7.324	-34.488	-0.104
0.41	-7.325	-28.725	-0.095
0.42	-7.325	-23.144	-0.092
0.43	-7.325	-18.444	-0.094
0.44	-7.324	-15.016	-0.089
0.45	-7.323	-12.972	-0.090
0.46	-7.321	-12.169	-0.085
0.47	-7.319	-12.320	-0.088
0.48	-7.316	-13.114	-0.082
0.49	-7.313	-14.263	-0.088
0.5	-7.311	-15.527	-0.090
0.51	-7.309	-16.733	-0.087
0.52	-7.309	-17.773	-0.085
0.53	-7.308	-18.583	-0.086
0.54	-7.306	-19.106	-0.078
0.55	-7.305	-19.308	-0.088
0.56	-7.304	-19.194	-0.073
0.57	-7.303	-18.922	-0.066
0.58	-7.301	-18.819	-0.077
0.59	-7.301	-18.653	-0.074
0.6	-7.299	-18.005	-0.072
0.61	-7.299	-17.327	-0.077
0.62	-7.300	-16.970	-0.072
0.63	-7.301	-16.783	-0.072
0.64	-7.302	-16.736	-0.068
0.65	-7.303	-16.666	-0.062
0.66	-7.304	-16.370	-0.035
0.67	-7.306	-15.894	-0.022
0.68	-7.308	-15.358	0.006
0.69	-7.309	-14.886	0.030
0.7	-7.312	-14.564	0.027
0.71	-7.315	-14.345	0.017
0.72	-7.318	-14.166	0.013
0.73	-7.321	-14.014	-0.023
0.74	-7.322	-13.894	-0.062
0.75	-7.324	-13.770	-0.069
0.76	-7.326	-13.597	-0.060
0.77	-7.329	-13.367	-0.077
0.78	-7.332	-13.125	-0.089
0.79	-7.334	-12.928	-0.091
0.8	-7.336	-12.814	-0.092
0.81	-7.338	-12.811	-0.085
0.82	-7.341	-12.936	-0.129
0.83	-7.346	-13.180	-0.075
0.84	-7.349	-13.484	0.392
0.85	-7.350	-13.769	1.124
0.86	-7.351	-13.991	1.095
0.87	-7.353	-14.166	0.286
0.88	-7.351	-14.325	0.039
0.89	-7.350	-14.497	0.011
0.9	-7.349	-14.672	-0.096
0.91	-7.349	-14.752	-0.095
0.92	-7.349	-14.606	-0.115
0.93	-7.350	-14.177	-0.101
0.94	-7.352	-13.480	-0.090
0.95	-7.356	-12.525	-0.084
0.96	-7.358	-11.067	-0.068
0.97	-7.360	-8.292	-0.060
0.98	-7.361	-2.881	-0.049
0.99	-7.362	6.445	-0.032
1.0	-7.364	20.167	-0.015
1.01	-7.367	35.836	-0.007
1.02	-7.371	46.984	0.027
1.03	-7.374	50.764	0.054
1.04	-7.376	51.130	0.082
1.05	-7.378	51.131	0.112
