Interval=	0.01 s
ExcelDateTime=	3.9769395301916746e+004	17/11/2008 9:29:14.085607
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	20.000 mV	2.000 mV
0.0	-7.886	-10.061	-0.055
0.01	-7.882	-10.040	-0.062
0.02	-7.879	-10.005	-0.055
0.03	-7.876	-9.936	-0.062
0.04	-7.872	-9.806	-0.083
0.05	-7.868	-9.671	-0.086
0.06	-7.862	-9.596	-0.097
0.07	-7.857	-9.562	-0.082
0.08	-7.853	-9.565	-0.121
0.09	-7.851	-9.647	-0.096
0.1	-7.854	-9.755	0.306
0.11	-7.855	-9.890	0.941
0.12	-7.856	-10.098	0.967
0.13	-7.856	-10.273	0.293
0.14	-7.855	-10.384	0.037
0.15	-7.853	-10.506	0.000
0.16	-7.850	-10.592	-0.095
0.17	-7.848	-10.622	-0.076
0.18	-7.846	-10.688	-0.110
0.19	-7.844	-10.749	-0.092
0.2	-7.841	-10.648	-0.095
0.21	-7.840	-10.347	-0.089
0.22	-7.839	-9.824	-0.067
0.23	-7.839	-8.871	-0.052
0.24	-7.838	-7.023	-0.028
0.25	-7.835	-3.785	-0.046
0.26	-7.833	1.064	-0.033
0.27	-7.832	7.422	0.020
0.28	-7.832	14.196	0.011
0.29	-7.832	18.823	0.035
0.3	-7.831	20.321	0.090
0.31	-7.830	20.446	0.101
0.32	-7.830	20.274	0.129
0.33	-7.831	18.769	0.151
0.34	-7.831	14.713	0.169
0.35	-7.833	9.046	0.178
0.36	-7.833	3.525	0.125
0.37	-7.833	-1.152	0.070
0.38	-7.834	-4.852	0.009
0.39	-7.833	-7.635	-0.055
0.4	-7.831	-9.626	-0.084
0.41	-7.830	-10.982	-0.100
0.42	-7.829	-11.832	-0.116
0.43	-7.830	-12.349	-0.114
0.44	-7.831	-12.788	-0.119
0.45	-7.834	-13.372	-0.107
0.46	-7.836	-14.310	-0.104
0.47	-7.840	-15.783	-0.109
0.48	-7.843	-17.723	-0.107
0.49	-7.845	-19.455	-0.108
0.5	-7.847	-20.293	-0.104
0.51	-7.849	-20.450	-0.089
0.52	-7.850	-20.453	-0.088
0.53	-7.853	-20.324	-0.095
0.54	-7.856	-19.528	-0.088
0.55	-7.861	-17.776	-0.085
0.56	-7.865	-15.621	-0.090
0.57	-7.870	-13.639	-0.082
0.58	-7.875	-12.051	-0.079
0.59	-7.881	-10.988	-0.086
0.6	-7.886	-10.418	-0.077
0.61	-7.891	-10.224	-0.081
0.62	-7.897	-10.323	-0.082
0.63	-7.903	-10.619	-0.085
0.64	-7.909	-11.009	-0.085
0.65	-7.915	-11.464	-0.079
0.66	-7.921	-11.948	-0.080
0.67	-7.927	-12.358	-0.076
0.68	-7.934	-12.641	-0.081
0.69	-7.940	-12.804	-0.074
0.7	-7.947	-12.823	-0.070
0.71	-7.956	-12.718	-0.077
0.72	-7.964	-12.566	-0.070
0.73	-7.973	-12.416	-0.064
0.74	-7.981	-12.272	-0.056
0.75	-7.991	-12.111	-0.059
0.76	-8.001	-11.920	-0.073
0.77	-8.010	-11.702	-0.068
0.78	-8.019	-11.450	-0.054
0.79	-8.028	-11.236	-0.047
0.8	-8.037	-11.136	-0.056
0.81	-8.046	-11.091	-0.053
0.82	-8.056	-11.056	-0.047
0.83	-8.066	-10.994	-0.034
0.84	-8.078	-10.882	-0.011
0.85	-8.089	-10.749	0.013
0.86	-8.101	-10.556	0.037
0.87	-8.111	-10.339	0.022
0.88	-8.121	-10.254	0.014
0.89	-8.132	-10.260	0.022
0.9	-8.142	-10.246	-0.024
0.91	-8.152	-10.221	-0.052
0.92	-8.161	-10.194	-0.063
0.93	-8.169	-10.144	-0.075
0.94	-8.179	-10.033	-0.067
0.95	-8.188	-9.877	-0.082
0.96	-8.198	-9.759	-0.091
0.97	-8.208	-9.729	-0.077
0.98	-8.219	-9.781	-0.083
0.99	-8.231	-9.889	-0.133
1.0	-8.247	-10.004	0.045
1.01	-8.262	-10.116	0.630
1.02	-8.277	-10.236	1.114
1.03	-8.293	-10.300	0.681
1.04	-8.305	-10.326	0.079
1.05	-8.316	-10.411	0.051
1.06	-8.329	-10.518	-0.050
1.07	-8.342	-10.543	-0.096
1.08	-8.356	-10.523	-0.083
1.09	-8.369	-10.514	-0.108
1.1	-8.382	-10.467	-0.084
1.11	-8.395	-10.324	-0.081
1.12	-8.409	-10.028	-0.071
1.13	-8.421	-9.453	-0.066
1.14	-8.433	-8.336	-0.050
1.15	-8.444	-6.183	-0.030
1.16	-8.457	-2.416	-0.029
1.17	-8.471	3.120	-0.012
1.18	-8.485	9.980	0.020
1.19	-8.499	16.326	0.037
1.2	-8.514	19.696	0.034
1.21	-8.529	20.424	0.082
1.22	-8.544	20.421	0.139
1.23	-8.561	19.730	0.146
1.24	-8.578	16.779	0.157
1.25	-8.594	11.386	0.173
1.26	-8.612	5.459	0.160
1.27	-8.630	0.258	0.116
1.28	-8.649	-3.962	0.032
1.29	-8.666	-7.146	-0.026
1.3	-8.683	-9.431	-0.062
1.31	-8.699	-10.959	-0.091
1.32	-8.715	-11.847	-0.104
1.33	-8.732	-12.297	-0.129
1.34	-8.749	-12.609	-0.118
1.35	-8.765	-13.021	-0.109
1.36	-8.778	-13.622	-0.113
1.37	-8.791	-14.654	-0.106
1.38	-8.803	-16.429	-0.096
1.39	-8.813	-18.551	-0.098
1.4	-8.823	-19.986	-0.110
1.41	-8.832	-20.421	-0.092
1.42	-8.842	-20.449	-0.095
1.43	-8.853	-20.298	-0.096
1.44	-8.864	-19.487	-0.095
1.45	-8.874	-17.778	-0.082
1.46	-8.884	-15.669	-0.080
1.47	-8.894	-13.714	-0.092
1.48	-8.904	-12.146	-0.086
1.49	-8.913	-11.015	-0.086
1.5	-8.923	-10.303	-0.100
1.51	-8.934	-10.009	-0.077
1.52	-8.945	-10.085	-0.071
1.53	-8.956	-10.375	-0.075
1.54	-8.966	-10.781	-0.082
1.55	-8.976	-11.256	-0.102
1.56	-8.986	-11.671	-0.072
1.57	-8.994	-12.009	-0.075
1.58	-9.001	-12.331	-0.080
1.59	-9.006	-12.563	-0.067
1.6	-9.011	-12.654	-0.076
1.61	-9.016	-12.661	-0.069
1.62	-9.020	-12.588	-0.073
1.63	-9.023	-12.434	-0.084
1.64	-9.027	-12.247	-0.067
1.65	-9.029	-12.051	-0.066
1.66	-9.030	-11.866	-0.073
1.67	-9.030	-11.714	-0.061
1.68	-9.029	-11.543	-0.060
1.69	-9.028	-11.348	-0.058
1.7	-9.025	-11.194	-0.059
1.71	-9.021	-11.061	-0.050
1.72	-9.015	-10.918	-0.028
1.73	-9.008	-10.789	-0.024
1.74	-8.998	-10.679	-0.001
1.75	-8.984	-10.591	0.036
1.76	-8.969	-10.494	0.015
1.77	-8.952	-10.381	0.007
1.78	-8.933	-10.299	0.013
1.79	-8.912	-10.236	-0.028
1.8	-8.891	-10.155	-0.058
1.81	-8.868	-10.100	-0.061
1.82	-8.846	-10.076	-0.062
1.83	-8.823	-10.004	-0.082
1.84	-8.802	-9.888	-0.097
1.85	-8.781	-9.795	-0.092
1.86	-8.763	-9.714	-0.085
1.87	-8.747	-9.652	-0.090
1.88	-8.733	-9.678	-0.137
1.89	-8.722	-9.780	0.047
1.9	-8.714	-9.935	0.583
1.91	-8.706	-10.130	0.964
1.92	-8.696	-10.304	0.540
1.93	-8.684	-10.467	0.050
1.94	-8.672	-10.609	0.038
1.95	-8.662	-10.688	-0.042
1.96	-8.652	-10.776	-0.076
1.97	-8.643	-10.867	-0.083
1.98	-8.632	-10.878	-0.090
1.99	-8.622	-10.820	-0.079
2.0	-8.613	-10.703	-0.089
2.01	-8.603	-10.476	-0.071
2.02	-8.593	-10.081	-0.059
2.03	-8.582	-9.321	-0.041
2.04	-8.570	-7.821	-0.034
2.05	-8.559	-5.152	-0.026
2.06	-8.547	-1.016	-0.007
2.07	-8.536	4.551	0.024
2.08	-8.526	11.086	0.042
2.09	-8.514	16.874	0.058
2.1	-8.503	19.823	0.100
2.11	-8.492	20.409	0.125
2.12	-8.479	19.857	0.156
2.13	-8.465	17.222	0.178
2.14	-8.451	12.093	0.176
2.15	-8.436	6.069	0.153
2.16	-8.420	0.521	0.101
2.17	-8.404	-4.117	0.038
2.18	-8.387	-7.724	-0.034
2.19	-8.371	-10.300	-0.075
2.2	-8.354	-11.953	-0.101
2.21	-8.336	-12.898	-0.110
2.22	-8.320	-13.393	-0.118
2.23	-8.306	-13.699	-0.112
2.24	-8.294	-14.078	-0.110
2.25	-8.282	-14.808	-0.133
2.26	-8.270	-16.091	-0.111
2.27	-8.258	-17.844	-0.096
2.28	-8.246	-19.466	-0.110
2.29	-8.234	-20.284	-0.105
2.3	-8.223	-20.441	-0.093
2.31	-8.212	-20.238	-0.090
2.32	-8.201	-19.309	-0.093
2.33	-8.192	-17.559	-0.085
2.34	-8.181	-15.499	-0.088
2.35	-8.171	-13.555	-0.075
2.36	-8.159	-11.937	-0.090
2.37	-8.148	-10.721	-0.085
2.38	-8.137	-9.919	-0.074
2.39	-8.126	-9.543	-0.089
2.4	-8.113	-9.524	-0.059
2.41	-8.102	-9.739	-0.082
2.42	-8.091	-10.079	-0.093
2.43	-8.081	-10.476	-0.085
2.44	-8.069	-10.889	-0.086
2.45	-8.058	-11.288	-0.066
2.46	-8.047	-11.648	-0.085
2.47	-8.037	-11.933	-0.077
2.48	-8.027	-12.096	-0.071
2.49	-8.017	-12.146	-0.081
2.5	-8.006	-12.148	-0.071
2.51	-7.996	-12.122	-0.080
2.52	-7.987	-12.021	-0.073
2.53	-7.978	-11.866	-0.072
2.54	-7.970	-11.689	-0.072
2.55	-7.963	-11.498	-0.056
2.56	-7.957	-11.318	-0.067
2.57	-7.950	-11.163	-0.054
2.58	-7.944	-11.031	-0.061
2.59	-7.939	-10.899	-0.070
2.6	-7.933	-10.763	-0.048
2.61	-7.925	-10.636	-0.054
2.62	-7.918	-10.533	-0.036
2.63	-7.913	-10.481	0.003
2.64	-7.907	-10.441	0.009
2.65	-7.901	-10.351	0.038
2.66	-7.896	-10.256	0.026
2.67	-7.892	-10.189	0.018
2.68	-7.888	-10.125	0.023
2.69	-7.883	-10.054	-0.029
2.7	-7.879	-9.988	-0.043
2.71	-7.874	-9.938	-0.063
2.72	-7.869	-9.898	-0.084
2.73	-7.864	-9.832	-0.064
2.74	-7.859	-9.727	-0.057
2.75	-7.855	-9.657	-0.086
2.76	-7.851	-9.631	-0.082
2.77	-7.848	-9.641	-0.078
2.78	-7.844	-9.720	-0.144
2.79	-7.846	-9.822	0.059
2.8	-7.848	-9.901	0.626
2.81	-7.849	-10.006	1.057
2.82	-7.848	-10.147	0.634
2.83	-7.845	-10.257	0.067
2.84	-7.841	-10.329	0.026
2.85	-7.838	-10.429	-0.055
2.86	-7.834	-10.538	-0.089
2.87	-7.831	-10.614	-0.093
2.88	-7.830	-10.661	-0.105
2.89	-7.829	-10.604	-0.091
2.9	-7.828	-10.413	-0.090
2.91	-7.827	-10.134	-0.069
2.92	-7.828	-9.593	-0.067
2.93	-7.827	-8.395	-0.048
2.94	-7.825	-6.102	-0.039
2.95	-7.822	-2.332	-0.038
2.96	-7.819	3.016	-0.007
2.97	-7.817	9.544	0.005
2.98	-7.816	15.776	0.022
2.99	-7.816	19.448	0.060
3.0	-7.817	20.403	0.083
3.01	-7.817	20.410	0.112
3.02	-7.816	19.606	0.148
3.03	-7.816	16.524	0.164
3.04	-7.816	11.273	0.160
