Interval=	0.01 s
ExcelDateTime=	3.9769420703722273e+004	17/11/2008 10:05:48.801605
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	2.000 mV
0.0	-7.118	-11.983	-0.123
0.01	-7.139	-18.777	-0.092
0.02	-7.162	-27.144	-0.084
0.03	-7.183	-36.152	-0.086
0.04	-7.204	-43.977	-0.083
0.05	-7.223	-48.930	-0.092
0.06	-7.240	-50.666	-0.081
0.07	-7.256	-49.758	-0.072
0.08	-7.273	-46.566	-0.090
0.09	-7.288	-41.748	-0.085
0.1	-7.300	-36.320	-0.052
0.11	-7.312	-31.067	-0.065
0.12	-7.321	-26.527	-0.081
0.13	-7.329	-22.919	-0.064
0.14	-7.334	-20.323	-0.057
0.15	-7.337	-18.822	-0.070
0.16	-7.335	-18.348	-0.082
0.17	-7.327	-18.677	-0.086
0.18	-7.313	-19.563	-0.071
0.19	-7.291	-20.845	-0.077
0.2	-7.263	-22.375	-0.074
0.21	-7.231	-24.000	-0.050
0.22	-7.198	-25.547	-0.063
0.23	-7.167	-26.781	-0.033
0.24	-7.136	-27.670	-0.078
0.25	-7.106	-28.339	-0.080
0.26	-7.074	-28.802	-0.036
0.27	-7.043	-29.086	-0.050
0.28	-7.012	-29.266	-0.034
0.29	-6.981	-29.348	-0.037
0.3	-6.951	-29.355	0.018
0.31	-6.921	-29.261	0.058
0.32	-6.894	-29.073	-0.003
0.33	-6.868	-28.861	0.030
0.34	-6.843	-28.683	0.015
0.35	-6.821	-28.511	-0.056
0.36	-6.799	-28.222	-0.051
0.37	-6.780	-27.797	-0.052
0.38	-6.761	-27.213	-0.056
0.39	-6.742	-26.472	-0.083
0.4	-6.724	-25.689	-0.083
0.41	-6.705	-24.958	-0.068
0.42	-6.688	-24.402	-0.062
0.43	-6.671	-24.050	-0.080
0.44	-6.655	-23.814	-0.129
0.45	-6.638	-23.717	0.013
0.46	-6.619	-23.788	0.500
0.47	-6.601	-23.902	0.906
0.48	-6.585	-24.003	0.519
0.49	-6.572	-24.117	0.078
0.5	-6.558	-24.283	0.060
0.51	-6.544	-24.567	-0.018
0.52	-6.529	-24.994	-0.042
0.53	-6.514	-25.408	-0.085
0.54	-6.498	-25.575	-0.073
0.55	-6.482	-25.431	-0.049
0.56	-6.465	-24.953	-0.089
0.57	-6.447	-24.100	-0.055
0.58	-6.429	-22.963	-0.063
0.59	-6.410	-21.228	-0.018
0.6	-6.391	-17.800	0.006
0.61	-6.374	-11.247	-0.021
0.62	-6.359	-0.130	0.035
0.63	-6.344	16.211	0.019
0.64	-6.331	34.581	0.015
0.65	-6.321	47.030	0.101
0.66	-6.312	50.842	0.104
0.67	-6.304	51.125	0.078
0.68	-6.296	51.139	0.128
0.69	-6.289	51.139	0.163
0.7	-6.284	51.136	0.148
0.71	-6.279	51.105	0.129
0.72	-6.275	50.167	0.059
0.73	-6.271	45.305	0.006
0.74	-6.269	35.653	-0.062
0.75	-6.266	25.041	-0.097
0.76	-6.264	16.211	-0.078
0.77	-6.262	9.161	-0.112
0.78	-6.259	3.531	-0.093
0.79	-6.259	-1.244	-0.098
0.8	-6.259	-5.955	-0.119
0.81	-6.259	-11.330	-0.065
0.82	-6.258	-17.997	-0.098
0.83	-6.257	-26.089	-0.131
0.84	-6.257	-34.731	-0.069
0.85	-6.257	-42.403	-0.077
0.86	-6.257	-47.761	-0.089
0.87	-6.257	-50.273	-0.071
0.88	-6.257	-50.217	-0.073
0.89	-6.257	-48.020	-0.069
0.9	-6.258	-44.106	-0.063
0.91	-6.260	-39.138	-0.060
0.92	-6.261	-33.920	-0.067
0.93	-6.263	-29.119	-0.059
0.94	-6.264	-25.200	-0.070
0.95	-6.266	-22.464	-0.072
0.96	-6.269	-20.897	-0.050
0.97	-6.272	-20.286	-0.046
0.98	-6.274	-20.458	-0.058
0.99	-6.277	-21.300	-0.073
1.0	-6.280	-22.550	-0.058
1.01	-6.284	-23.884	-0.050
1.02	-6.288	-25.138	-0.076
1.03	-6.292	-26.303	-0.074
1.04	-6.296	-27.447	-0.063
1.05	-6.300	-28.492	-0.058
1.06	-6.303	-29.245	-0.028
1.07	-6.306	-29.734	-0.040
1.08	-6.309	-30.044	-0.075
1.09	-6.312	-30.105	-0.057
1.1	-6.316	-30.006	-0.043
1.11	-6.319	-29.905	-0.026
1.12	-6.322	-29.802	0.004
1.13	-6.326	-29.666	0.046
