Interval=	0.01 s
ExcelDateTime=	3.9769410811720234e+004	17/11/2008 9:51:34.132629
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	2.000 mV
0.0	-7.104	51.002	0.183
0.01	-7.106	49.100	0.151
0.02	-7.107	42.694	0.139
0.03	-7.109	32.858	0.065
0.04	-7.112	23.261	0.003
0.05	-7.114	15.344	-0.048
0.06	-7.116	9.023	-0.091
0.07	-7.118	4.163	-0.108
0.08	-7.120	0.473	-0.106
0.09	-7.122	-2.675	-0.117
0.1	-7.124	-5.755	-0.112
0.11	-7.125	-9.061	-0.112
0.12	-7.127	-12.981	-0.107
0.13	-7.129	-17.916	-0.126
0.14	-7.130	-24.172	-0.101
0.15	-7.132	-31.422	-0.098
0.16	-7.134	-38.516	-0.100
0.17	-7.136	-43.936	-0.085
0.18	-7.138	-46.478	-0.110
0.19	-7.140	-45.961	-0.096
0.2	-7.143	-42.983	-0.095
0.21	-7.146	-38.314	-0.090
0.22	-7.150	-32.923	-0.056
0.23	-7.155	-27.800	-0.083
0.24	-7.161	-23.475	-0.087
0.25	-7.167	-20.153	-0.074
0.26	-7.174	-18.023	-0.069
0.27	-7.181	-17.041	-0.081
0.28	-7.189	-16.788	-0.106
0.29	-7.196	-17.005	-0.083
0.3	-7.204	-17.714	-0.051
0.31	-7.212	-18.895	-0.083
0.32	-7.220	-20.381	-0.076
0.33	-7.228	-21.713	-0.070
0.34	-7.236	-22.525	-0.074
0.35	-7.244	-22.938	-0.077
0.36	-7.252	-23.122	-0.071
0.37	-7.259	-23.141	-0.056
0.38	-7.266	-23.006	-0.060
0.39	-7.273	-22.655	-0.065
0.4	-7.281	-22.152	-0.055
0.41	-7.289	-21.742	-0.045
0.42	-7.298	-21.580	-0.013
0.43	-7.306	-21.570	-0.010
0.44	-7.316	-21.480	0.040
0.45	-7.326	-21.250	0.052
0.46	-7.338	-20.898	0.026
0.47	-7.350	-20.305	0.038
0.48	-7.364	-19.586	-0.011
0.49	-7.379	-18.873	-0.057
0.5	-7.394	-18.128	-0.035
0.51	-7.409	-17.453	-0.074
0.52	-7.424	-16.817	-0.082
0.53	-7.439	-16.034	-0.075
0.54	-7.453	-15.123	-0.104
0.55	-7.466	-14.283	-0.099
0.56	-7.479	-13.858	-0.061
0.57	-7.494	-13.973	-0.133
0.58	-7.509	-14.336	-0.104
0.59	-7.524	-14.719	0.326
0.6	-7.538	-15.094	1.046
0.61	-7.554	-15.444	1.070
0.62	-7.571	-15.817	0.283
0.63	-7.588	-16.241	0.026
0.64	-7.604	-16.592	0.018
0.65	-7.621	-16.758	-0.078
0.66	-7.639	-16.720	-0.069
0.67	-7.656	-16.447	-0.093
0.68	-7.672	-15.838	-0.109
0.69	-7.686	-14.934	-0.110
0.7	-7.697	-13.988	-0.061
0.71	-7.709	-13.000	-0.082
0.72	-7.718	-11.380	-0.072
0.73	-7.728	-7.939	-0.025
0.74	-7.736	-1.166	-0.014
0.75	-7.745	10.175	-0.021
0.76	-7.755	26.105	-0.004
0.77	-7.766	41.592	0.024
0.78	-7.777	49.566	0.062
0.79	-7.789	51.088	0.066
0.8	-7.801	51.134	0.109
0.81	-7.813	51.139	0.155
0.82	-7.825	51.131	0.163
0.83	-7.838	50.895	0.169
0.84	-7.851	48.483	0.169
0.85	-7.864	41.450	0.120
0.86	-7.878	31.478	0.047
0.87	-7.892	22.023	-0.033
0.88	-7.904	14.153	-0.080
0.89	-7.916	7.847	-0.115
0.9	-7.928	2.875	-0.117
0.91	-7.938	-1.028	-0.107
0.92	-7.948	-4.197	-0.111
0.93	-7.959	-7.148	-0.116
0.94	-7.969	-10.459	-0.113
0.95	-7.980	-14.789	-0.120
0.96	-7.991	-20.544	-0.118
0.97	-8.002	-27.572	-0.098
0.98	-8.014	-35.192	-0.126
0.99	-8.024	-42.066	-0.104
1.0	-8.034	-46.608	-0.076
1.01	-8.042	-47.934	-0.124
1.02	-8.051	-46.175	-0.086
1.03	-8.061	-42.047	-0.096
1.04	-8.072	-36.577	-0.092
1.05	-8.083	-30.866	-0.066
1.06	-8.094	-25.798	-0.099
1.07	-8.104	-21.944	-0.089
1.08	-8.116	-19.330	-0.079
1.09	-8.127	-17.564	-0.105
1.1	-8.140	-16.609	-0.085
1.11	-8.151	-16.611	-0.084
1.12	-8.161	-17.372	-0.084
1.13	-8.172	-18.573	-0.078
1.14	-8.183	-19.891	-0.066
1.15	-8.194	-21.002	-0.077
1.16	-8.206	-21.880	-0.087
1.17	-8.217	-22.641	-0.093
1.18	-8.229	-23.252	-0.069
1.19	-8.241	-23.678	-0.061
1.2	-8.252	-23.795	-0.076
1.21	-8.262	-23.550	-0.072
1.22	-8.271	-23.088	-0.064
1.23	-8.281	-22.542	-0.040
1.24	-8.292	-22.095	-0.014
1.25	-8.303	-21.817	-0.003
1.26	-8.314	-21.583	0.038
1.27	-8.324	-21.306	0.029
1.28	-8.334	-20.897	0.021
1.29	-8.344	-20.391	-0.004
1.3	-8.354	-19.898	-0.048
1.31	-8.364	-19.252	-0.074
1.32	-8.374	-18.438	-0.061
1.33	-8.383	-17.630	-0.064
1.34	-8.391	-16.845	-0.090
1.35	-8.401	-16.089	-0.083
1.36	-8.412	-15.395	-0.073
1.37	-8.424	-14.861	-0.083
1.38	-8.434	-14.620	-0.088
1.39	-8.445	-14.725	-0.149
1.4	-8.456	-15.063	0.060
1.41	-8.466	-15.466	0.643
1.42	-8.478	-15.744	1.005
1.43	-8.490	-15.895	0.521
1.44	-8.504	-16.169	0.034
1.45	-8.516	-16.567	0.044
1.46	-8.528	-17.003	-0.033
1.47	-8.539	-17.484	-0.078
1.48	-8.548	-17.859	-0.071
1.49	-8.556	-17.939	-0.085
1.5	-8.563	-17.594	-0.068
1.51	-8.566	-16.923	-0.062
