Interval=	0.01 s
ExcelDateTime=	3.9770535271233697e+004	18/11/2008 12:50:47.434592
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	1000.0 µV
0.0	-9.789	-20.270	-1.6
0.01	-9.823	-19.130	-5.8
0.02	-9.857	-18.050	-6.7
0.03	-9.890	-17.128	8.8
0.04	-9.923	-16.336	7.8
0.05	-9.957	-15.336	-31.7
0.06	-9.991	-13.814	-61.9
0.07	-10.028	-12.169	-67.3
0.08	-10.065	-11.445	-44.9
0.09	-10.099	-12.027	-3.8
0.1	-10.131	-13.206	-8.3
0.11	-10.162	-14.772	2.4
0.12	-10.195	-16.886	123.5
0.13	-10.231	-18.834	198.2
0.14	-10.267	-19.936	79.2
0.15	-10.301	-20.488	-65.3
0.16	-10.328	-21.008	-95.9
0.17	-10.349	-21.428	-67.5
0.18	-10.366	-21.789	-27.2
0.19	-10.381	-22.081	-10.9
0.2	-10.398	-22.098	10.8
0.21	-10.421	-22.153	17.6
0.22	-10.450	-21.839	-27.3
0.23	-10.483	-19.822	-21.9
0.24	-10.516	-14.491	4.2
0.25	-10.545	-4.023	-16.6
0.26	-10.573	11.453	-3.2
0.27	-10.603	28.175	27.4
0.28	-10.636	41.155	36.0
0.29	-10.669	47.106	36.7
0.3	-10.704	45.072	34.6
0.31	-10.737	36.608	50.6
0.32	-10.768	24.463	65.9
0.33	-10.797	11.094	92.5
0.34	-10.828	-0.959	130.3
0.35	-10.858	-10.522	131.3
0.36	-10.886	-18.130	123.5
0.37	-10.913	-23.652	144.3
0.38	-10.938	-26.745	143.7
0.39	-10.969	-27.767	118.4
0.4	-11.006	-27.348	81.6
0.41	-11.049	-26.381	-5.8
0.42	-11.089	-25.553	-64.4
0.43	-11.118	-25.447	-63.0
0.44	-11.143	-26.369	-60.2
0.45	-11.166	-28.155	-72.2
0.46	-11.192	-30.642	-89.2
0.47	-11.218	-33.361	-80.4
0.48	-11.243	-35.552	-72.9
0.49	-11.267	-36.587	-76.9
0.5	-11.292	-35.969	-76.1
0.51	-11.318	-33.473	-70.4
0.52	-11.342	-29.428	-70.4
0.53	-11.368	-24.884	-67.3
0.54	-11.396	-20.809	-64.5
0.55	-11.423	-17.508	-82.6
0.56	-11.454	-15.555	-63.6
0.57	-11.488	-15.080	-23.8
0.58	-11.516	-15.386	-35.7
0.59	-11.536	-16.531	-68.9
0.6	-11.551	-18.609	-61.5
0.61	-11.568	-20.806	-40.8
0.62	-11.586	-22.545	-55.2
0.63	-11.609	-24.198	-61.2
0.64	-11.634	-26.163	-60.8
0.65	-11.661	-28.084	-62.6
0.66	-11.686	-29.286	-43.0
0.67	-11.710	-29.289	-37.1
0.68	-11.734	-28.431	-49.2
0.69	-11.759	-27.680	-56.3
0.7	-11.784	-27.406	-56.6
0.71	-11.809	-27.470	-23.1
0.72	-11.839	-27.642	2.4
0.73	-11.868	-27.459	-2.8
0.74	-11.889	-26.584	0.9
0.75	-11.906	-25.342	-21.6
0.76	-11.924	-24.059	-46.7
0.77	-11.946	-22.689	-49.9
0.78	-11.973	-21.608	-62.4
0.79	-11.998	-20.992	-67.6
0.8	-12.014	-20.764	-57.2
0.81	-12.028	-21.119	-10.4
0.82	-12.041	-21.514	55.4
0.83	-12.058	-21.345	109.7
0.84	-12.079	-21.013	109.6
0.85	-12.098	-21.084	0.8
0.86	-12.109	-21.905	-85.0
0.87	-12.116	-23.111	-72.4
0.88	-12.116	-23.530	-39.3
0.89	-12.108	-22.617	-35.7
0.9	-12.092	-21.153	-36.8
0.91	-12.077	-20.186	-17.4
0.92	-12.066	-19.803	-20.7
0.93	-12.060	-19.380	-31.5
0.94	-12.053	-18.061	-17.1
0.95	-12.038	-14.253	12.9
0.96	-12.010	-6.152	2.5
0.97	-11.971	5.889	-28.3
0.98	-11.929	18.906	-11.1
0.99	-11.887	29.742	15.5
1.0	-11.850	36.513	33.3
1.01	-11.816	38.289	44.1
1.02	-11.782	34.644	52.8
1.03	-11.745	26.345	78.5
1.04	-11.705	15.652	97.4
1.05	-11.663	5.153	96.8
1.06	-11.614	-3.264	107.1
1.07	-11.558	-9.014	127.8
1.08	-11.491	-12.294	141.9
1.09	-11.418	-13.930	143.7
1.1	-11.345	-15.484	117.9
1.11	-11.280	-17.419	58.2
1.12	-11.216	-18.814	-27.5
1.13	-11.146	-19.137	-86.4
1.14	-11.069	-19.117	-92.7
1.15	-10.989	-19.966	-75.6
1.16	-10.903	-21.738	-41.1
1.17	-10.811	-23.634	-33.3
1.18	-10.719	-25.061	-57.1
1.19	-10.629	-25.922	-67.4
1.2	-10.543	-26.028	-82.5
1.21	-10.459	-24.908	-84.5
1.22	-10.378	-22.616	-50.9
1.23	-10.296	-19.430	-44.3
1.24	-10.216	-15.994	-51.2
1.25	-10.134	-13.373	-26.8
1.26	-10.053	-11.925	-30.9
1.27	-9.972	-11.350	-58.1
1.28	-9.893	-11.495	-49.9
1.29	-9.814	-12.669	-25.6
1.3	-9.734	-14.952	-43.7
1.31	-9.652	-17.414	-72.2
1.32	-9.569	-19.006	-45.1
1.33	-9.485	-19.520	-27.1
1.34	-9.401	-19.563	-27.1
