Interval=	0.01 s
ExcelDateTime=	3.9770525854335690e+004	18/11/2008 12:37:13.814604
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	1000.0 µV
0.0	-8.986	49.747	15.0
0.01	-8.992	51.025	58.8
0.02	-8.999	49.948	115.7
0.03	-9.010	45.092	164.6
0.04	-9.021	36.161	185.8
0.05	-9.031	25.852	199.4
0.06	-9.039	15.934	190.3
0.07	-9.044	7.091	162.9
0.08	-9.048	-0.134	119.9
0.09	-9.054	-5.261	44.8
0.1	-9.063	-8.169	-18.9
0.11	-9.068	-9.731	-50.0
0.12	-9.065	-10.909	-76.9
0.13	-9.059	-11.473	-88.6
0.14	-9.051	-11.275	-85.5
0.15	-9.039	-11.644	-92.1
0.16	-9.024	-13.163	-99.4
0.17	-9.008	-14.617	-91.1
0.18	-8.992	-15.380	-78.8
0.19	-8.980	-15.997	-80.7
0.2	-8.968	-16.203	-89.9
0.21	-8.956	-15.109	-79.5
0.22	-8.941	-13.188	-73.2
0.23	-8.928	-11.548	-82.0
0.24	-8.915	-10.250	-75.6
0.25	-8.904	-9.008	-70.8
0.26	-8.893	-8.305	-77.7
0.27	-8.881	-8.966	-71.5
0.28	-8.869	-10.617	-60.3
0.29	-8.856	-11.358	-62.3
0.3	-8.842	-10.889	-74.2
0.31	-8.828	-11.291	-76.5
0.32	-8.814	-13.578	-71.1
0.33	-8.802	-16.198	-70.4
0.34	-8.791	-17.256	-71.3
0.35	-8.781	-17.197	-70.6
0.36	-8.770	-17.658	-67.8
0.37	-8.759	-18.873	-63.7
0.38	-8.748	-20.120	-60.8
0.39	-8.736	-21.138	-59.0
0.4	-8.726	-21.597	-60.7
0.41	-8.716	-21.323	-61.4
0.42	-8.706	-21.223	-65.7
0.43	-8.697	-21.938	-67.7
0.44	-8.689	-22.908	-58.6
0.45	-8.681	-23.611	-39.0
0.46	-8.672	-24.134	-21.0
0.47	-8.665	-24.205	-18.0
0.48	-8.656	-23.642	-13.3
0.49	-8.647	-22.938	-14.4
0.5	-8.638	-22.252	-31.2
0.51	-8.627	-21.745	-46.8
0.52	-8.618	-21.550	-60.0
0.53	-8.611	-21.091	-68.5
0.54	-8.606	-20.266	-61.2
0.55	-8.601	-19.859	-52.2
0.56	-8.592	-20.273	-45.6
0.57	-8.582	-20.870	9.0
0.58	-8.572	-20.847	143.7
0.59	-8.568	-20.570	222.0
0.6	-8.566	-20.552	88.6
0.61	-8.563	-20.334	-76.9
0.62	-8.558	-19.938	-99.7
0.63	-8.554	-20.042	-66.7
0.64	-8.546	-20.802	-53.9
0.65	-8.533	-21.817	-44.3
0.66	-8.520	-22.338	-37.8
0.67	-8.508	-21.875	-50.6
0.68	-8.499	-21.131	-55.8
0.69	-8.492	-20.925	-47.4
0.7	-8.487	-20.564	-30.8
0.71	-8.481	-18.092	-15.2
0.72	-8.474	-12.166	-19.4
0.73	-8.467	-3.011	-19.8
0.74	-8.460	8.633	-3.3
0.75	-8.453	22.031	13.1
0.76	-8.445	35.553	26.7
0.77	-8.438	45.788	50.3
0.78	-8.431	50.306	73.1
0.79	-8.426	50.942	95.4
0.8	-8.422	49.039	128.9
0.81	-8.419	42.669	157.5
0.82	-8.418	32.234	178.7
0.83	-8.416	21.006	184.7
0.84	-8.414	11.177	163.7
0.85	-8.412	3.370	131.8
0.86	-8.411	-2.506	70.1
0.87	-8.414	-6.608	-13.7
0.88	-8.419	-9.166	-61.8
0.89	-8.421	-10.800	-74.1
0.9	-8.419	-11.752	-84.5
0.91	-8.416	-11.767	-101.5
0.92	-8.412	-11.442	-112.8
0.93	-8.408	-12.117	-106.0
0.94	-8.404	-13.958	-102.8
0.95	-8.402	-15.698	-109.9
0.96	-8.402	-16.663	-104.8
0.97	-8.404	-17.406	-101.8
0.98	-8.405	-17.939	-104.0
0.99	-8.405	-17.355	-98.8
1.0	-8.404	-15.650	-91.9
1.01	-8.404	-13.920	-76.2
1.02	-8.404	-12.586	-67.3
1.03	-8.404	-11.403	-68.7
1.04	-8.405	-10.695	-82.6
1.05	-8.406	-10.673	-94.4
1.06	-8.406	-11.045	-88.9
1.07	-8.406	-11.720	-83.1
1.08	-8.404	-12.709	-69.8
1.09	-8.402	-13.972	-60.9
1.1	-8.400	-15.395	-73.8
1.11	-8.398	-16.652	-86.5
1.12	-8.396	-17.613	-90.2
1.13	-8.394	-18.645	-80.6
1.14	-8.393	-19.858	-70.8
1.15	-8.391	-21.045	-70.8
1.16	-8.389	-22.325	-69.0
1.17	-8.387	-23.569	-63.6
1.18	-8.386	-24.081	-64.6
1.19	-8.383	-23.827	-75.4
1.2	-8.381	-23.605	-81.7
1.21	-8.379	-23.580	-66.7
1.22	-8.377	-23.480	-61.8
1.23	-8.376	-23.527	-75.9
1.24	-8.374	-23.623	-64.6
1.25	-8.373	-23.383	-50.1
1.26	-8.371	-22.847	-60.7
1.27	-8.370	-22.300	-69.8
