Interval=	0.01 s
ExcelDateTime=	3.9770553655655604e+004	18/11/2008 13:17:15.848644
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	1000.0 µV
0.0	-8.743	-14.738	-8.1
0.01	-8.766	-13.745	-31.6
0.02	-8.789	-12.542	-46.7
0.03	-8.814	-12.080	-47.7
0.04	-8.840	-12.148	-51.3
0.05	-8.867	-12.028	-43.1
0.06	-8.894	-12.281	-26.3
0.07	-8.919	-13.258	-11.3
0.08	-8.944	-13.728	0.3
0.09	-8.968	-13.330	-1.1
0.1	-8.992	-13.178	-2.8
0.11	-9.015	-13.222	-6.1
0.12	-9.037	-12.455	-20.7
0.13	-9.058	-11.316	-39.4
0.14	-9.079	-11.133	-57.2
0.15	-9.100	-12.050	-56.1
0.16	-9.120	-13.036	-43.8
0.17	-9.139	-13.436	-33.7
0.18	-9.158	-13.600	13.3
0.19	-9.178	-13.758	157.1
0.2	-9.202	-13.509	263.3
0.21	-9.228	-12.459	150.9
0.22	-9.252	-10.864	-24.6
0.23	-9.270	-9.622	-86.9
0.24	-9.281	-9.303	-65.4
0.25	-9.289	-9.773	-39.7
0.26	-9.298	-10.583	-42.8
0.27	-9.308	-11.138	-42.9
0.28	-9.321	-11.420	-35.0
0.29	-9.335	-11.663	-34.4
0.3	-9.352	-10.886	-33.1
0.31	-9.367	-7.731	-20.9
0.32	-9.382	-2.483	-11.5
0.33	-9.398	3.433	-9.4
0.34	-9.418	8.439	5.2
0.35	-9.435	11.228	19.1
0.36	-9.449	11.614	21.8
0.37	-9.462	10.103	41.8
0.38	-9.475	7.369	71.9
0.39	-9.489	3.994	92.0
0.4	-9.499	0.178	116.6
0.41	-9.509	-3.669	145.1
0.42	-9.523	-6.855	180.8
0.43	-9.536	-9.030	213.7
0.44	-9.551	-10.373	224.2
0.45	-9.566	-11.183	215.5
0.46	-9.581	-11.436	184.2
0.47	-9.594	-11.131	124.4
0.48	-9.609	-10.673	46.0
0.49	-9.622	-10.236	-14.4
0.5	-9.631	-9.523	-61.1
0.51	-9.636	-8.606	-91.1
0.52	-9.642	-8.220	-86.2
0.53	-9.650	-8.809	-84.2
0.54	-9.661	-10.156	-91.9
0.55	-9.672	-11.934	-86.1
0.56	-9.683	-13.714	-76.3
0.57	-9.691	-14.680	-69.7
0.58	-9.703	-14.314	-62.8
0.59	-9.719	-12.920	-59.2
0.6	-9.736	-10.886	-52.3
0.61	-9.752	-8.736	-49.5
0.62	-9.768	-7.303	-54.6
0.63	-9.783	-6.541	-50.1
0.64	-9.800	-5.905	-42.4
0.65	-9.816	-5.913	-48.3
0.66	-9.831	-6.995	-53.0
0.67	-9.845	-8.488	-48.3
0.68	-9.859	-9.902	-55.6
0.69	-9.873	-11.020	-60.4
0.7	-9.885	-11.319	-52.3
0.71	-9.896	-10.786	-57.4
0.72	-9.908	-10.359	-58.8
0.73	-9.920	-10.097	-51.5
0.74	-9.933	-9.275	-67.5
0.75	-9.944	-8.334	-82.1
0.76	-9.957	-7.980	-72.3
0.77	-9.970	-8.297	-59.4
0.78	-9.982	-9.019	-58.0
0.79	-9.993	-9.813	-68.7
