Interval=	0.01 s
ExcelDateTime=	3.9770546627611111e+004	18/11/2008 13:07:08.6256
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	1000.0 µV
0.0	-8.909	-9.808	-5.1
0.01	-8.899	-3.250	-6.6
0.02	-8.889	4.522	-2.4
0.03	-8.879	11.638	11.9
0.04	-8.869	16.738	34.7
0.05	-8.859	19.239	34.0
0.06	-8.848	19.328	46.7
0.07	-8.836	17.695	80.7
0.08	-8.824	14.623	113.5
0.09	-8.815	9.953	145.6
0.1	-8.808	4.395	180.9
0.11	-8.803	-0.527	212.5
0.12	-8.801	-3.973	236.9
0.13	-8.799	-6.234	236.3
0.14	-8.800	-8.178	208.5
0.15	-8.802	-10.694	166.5
0.16	-8.804	-13.934	94.4
0.17	-8.808	-17.219	15.0
0.18	-8.813	-19.847	-36.3
0.19	-8.817	-21.222	-66.3
0.2	-8.818	-20.934	-78.3
0.21	-8.818	-19.363	-82.4
0.22	-8.818	-17.289	-91.0
0.23	-8.819	-14.942	-102.4
0.24	-8.818	-12.355	-105.2
0.25	-8.816	-10.033	-103.4
0.26	-8.814	-8.638	-100.2
0.27	-8.814	-8.352	-88.7
0.28	-8.816	-8.412	-85.0
0.29	-8.819	-8.048	-84.7
0.3	-8.822	-7.503	-83.6
0.31	-8.824	-7.167	-85.8
0.32	-8.826	-7.017	-75.5
0.33	-8.826	-7.347	-73.7
0.34	-8.825	-8.831	-73.3
0.35	-8.825	-11.430	-68.9
0.36	-8.826	-14.434	-73.1
0.37	-8.826	-17.653	-71.6
0.38	-8.825	-21.102	-63.1
0.39	-8.822	-24.128	-58.3
0.4	-8.820	-25.822	-66.4
0.41	-8.818	-25.830	-76.3
0.42	-8.817	-24.614	-73.6
0.43	-8.816	-23.033	-70.6
0.44	-8.816	-21.914	-69.3
0.45	-8.816	-21.980	-64.1
0.46	-8.816	-23.522	-64.2
0.47	-8.816	-26.303	-62.0
0.48	-8.816	-29.277	-56.2
0.49	-8.815	-30.894	-57.4
0.5	-8.814	-30.522	-57.8
0.51	-8.813	-28.814	-59.4
0.52	-8.811	-27.222	-59.0
0.53	-8.811	-26.805	-51.1
0.54	-8.809	-27.209	-42.5
0.55	-8.808	-27.794	-44.2
0.56	-8.806	-28.961	-20.0
0.57	-8.805	-31.383	10.7
0.58	-8.803	-34.764	8.6
0.59	-8.801	-38.275	-1.9
0.6	-8.798	-41.269	-29.5
