Interval=	0.01 s
ExcelDateTime=	3.9777521231175859e+004	25/11/2008 12:30:34.373595
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	1000.0 µV
0.0	-7.986	-0.456	1.3
0.01	-7.984	-4.138	12.9
0.02	-7.982	-7.677	49.4
0.03	-7.981	-10.489	69.7
0.04	-7.981	-12.481	78.2
0.05	-7.979	-13.472	81.1
0.06	-7.978	-13.380	69.1
0.07	-7.979	-12.609	42.6
0.08	-7.982	-11.584	14.3
0.09	-7.986	-10.358	-7.8
0.1	-7.991	-9.005	-24.2
0.11	-7.996	-8.308	-35.6
0.12	-8.002	-8.939	-33.9
0.13	-8.008	-10.531	-31.7
0.14	-8.010	-12.072	-43.8
0.15	-8.012	-12.905	-53.1
0.16	-8.014	-13.236	-50.6
0.17	-8.019	-13.338	-46.9
0.18	-8.026	-13.166	-41.3
0.19	-8.034	-12.819	-43.5
0.2	-8.044	-12.377	-52.7
0.21	-8.057	-11.709	-47.5
0.22	-8.071	-10.853	-37.5
0.23	-8.086	-9.908	-47.6
0.24	-8.101	-9.016	-52.0
0.25	-8.118	-8.530	-38.3
0.26	-8.134	-8.388	-36.9
0.27	-8.149	-8.070	-48.2
0.28	-8.164	-7.523	-47.7
0.29	-8.178	-7.333	-39.4
0.3	-8.191	-7.870	-39.1
0.31	-8.204	-8.917	-39.8
0.32	-8.217	-10.227	-42.0
0.33	-8.230	-11.830	-45.8
0.34	-8.242	-13.527	-41.4
0.35	-8.256	-14.678	-40.4
0.36	-8.269	-15.009	-43.8
0.37	-8.284	-14.897	-41.0
0.38	-8.301	-14.636	-39.8
0.39	-8.318	-14.253	-46.3
0.4	-8.335	-13.778	-43.2
0.41	-8.352	-13.208	-35.5
0.42	-8.368	-12.623	-37.4
0.43	-8.384	-12.217	-43.0
0.44	-8.399	-11.998	-45.3
0.45	-8.414	-11.809	-42.1
0.46	-8.429	-11.698	-38.9
0.47	-8.444	-11.806	-38.3
0.48	-8.459	-11.895	-33.2
0.49	-8.473	-11.680	-32.3
0.5	-8.486	-11.298	-37.8
0.51	-8.501	-10.950	-39.3
0.52	-8.515	-10.588	-35.7
0.53	-8.529	-10.156	-41.2
0.54	-8.544	-9.677	-35.0
0.55	-8.558	-9.166	-26.0
0.56	-8.573	-8.903	-39.3
0.57	-8.589	-9.328	-42.9
0.58	-8.605	-10.345	-32.4
0.59	-8.621	-11.495	-36.1
0.6	-8.639	-12.434	-39.9
