Interval=	0.01 s
ExcelDateTime=	3.9777519260643647e+004	25/11/2008 12:27:44.119611
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	1000.0 µV
0.0	-8.498	-7.781	-2.0
0.01	-8.499	-7.384	-26.3
0.02	-8.500	-7.320	-42.0
0.03	-8.499	-7.625	-38.6
0.04	-8.498	-8.300	-36.3
0.05	-8.497	-9.266	-32.0
0.06	-8.496	-10.477	-31.1
0.07	-8.495	-11.955	-41.3
0.08	-8.494	-13.575	-50.2
0.09	-8.492	-15.109	-43.1
0.1	-8.492	-16.416	-37.3
0.11	-8.491	-17.436	-44.7
0.12	-8.491	-18.191	-44.7
0.13	-8.489	-18.691	-33.7
0.14	-8.487	-18.877	-32.7
0.15	-8.484	-18.709	-36.5
0.16	-8.483	-18.241	-40.4
0.17	-8.482	-17.583	-40.6
0.18	-8.482	-16.848	-34.2
0.19	-8.481	-16.131	-33.7
0.2	-8.481	-15.502	-39.4
0.21	-8.481	-15.008	-38.0
0.22	-8.482	-14.672	-30.2
0.23	-8.484	-14.500	-34.2
0.24	-8.485	-14.497	-42.7
0.25	-8.486	-14.659	-33.4
0.26	-8.486	-14.953	-28.0
0.27	-8.486	-15.264	-34.8
0.28	-8.487	-15.539	-31.7
0.29	-8.488	-15.719	-27.6
0.3	-8.489	-15.717	-29.0
0.31	-8.489	-15.550	-26.3
0.32	-8.491	-15.236	-24.8
0.33	-8.492	-14.841	-28.6
0.34	-8.494	-14.503	-29.0
0.35	-8.495	-14.298	-23.6
0.36	-8.497	-14.234	-27.2
0.37	-8.499	-14.281	-34.0
0.38	-8.501	-14.417	-27.8
0.39	-8.503	-14.645	-25.0
0.4	-8.506	-14.914	-27.0
0.41	-8.508	-15.159	-22.2
0.42	-8.510	-15.372	-21.1
0.43	-8.512	-15.617	-20.5
0.44	-8.514	-16.031	-20.8
0.45	-8.517	-16.169	-24.1
0.46	-8.519	-15.927	-25.5
0.47	-8.523	-16.028	-23.2
0.48	-8.526	-16.163	-18.0
0.49	-8.529	-16.050	-18.9
0.5	-8.533	-16.005	-16.3
0.51	-8.537	-15.863	-15.3
0.52	-8.543	-15.730	-24.9
0.53	-8.549	-15.731	-22.9
0.54	-8.555	-15.683	-20.5
0.55	-8.561	-15.591	-26.8
0.56	-8.568	-15.547	-23.4
0.57	-8.575	-15.503	-15.7
0.58	-8.583	-15.438	-16.0
0.59	-8.592	-15.445	-19.3
0.6	-8.603	-15.500	-20.2
0.61	-8.615	-15.505	-13.3
0.62	-8.627	-15.491	-10.2
0.63	-8.640	-15.461	-14.8
0.64	-8.652	-15.403	-15.9
0.65	-8.666	-15.350	-13.1
0.66	-8.678	-15.283	-14.9
0.67	-8.690	-15.138	-19.8
0.68	-8.702	-14.923	-17.3
0.69	-8.714	-14.845	-16.7
0.7	-8.727	-14.763	-24.8
0.71	-8.741	-14.617	-20.5
0.72	-8.756	-14.705	-10.2
0.73	-8.771	-14.969	-7.1
0.74	-8.786	-15.369	-8.0
0.75	-8.803	-15.766	-6.4
0.76	-8.818	-15.788	0.8
0.77	-8.835	-15.525	9.3
0.78	-8.852	-15.333	25.4
0.79	-8.869	-15.280	31.4
0.8	-8.886	-15.330	29.6
0.81	-8.903	-15.498	22.2
0.82	-8.919	-15.684	0.8
0.83	-8.936	-15.728	-14.3
0.84	-8.952	-15.625	-21.5
0.85	-8.969	-15.397	-23.5
0.86	-8.985	-15.122	-20.3
0.87	-9.002	-14.914	-19.9
0.88	-9.019	-14.675	-27.3
0.89	-9.036	-14.478	-24.9
0.9	-9.052	-14.453	-23.1
0.91	-9.067	-14.552	-34.0
0.92	-9.081	-14.775	-28.6
0.93	-9.096	-14.986	-17.6
0.94	-9.113	-14.991	-20.1
0.95	-9.129	-14.781	-20.3
0.96	-9.144	-14.423	24.8
0.97	-9.156	-14.027	173.6
0.98	-9.168	-13.783	318.0
0.99	-9.182	-13.788	299.1
1.0	-9.197	-13.952	144.8
1.01	-9.213	-14.141	3.0
1.02	-9.229	-14.306	-37.8
1.03	-9.246	-14.464	-38.0
1.04	-9.262	-14.542	-36.2
1.05	-9.274	-14.602	-31.9
1.06	-9.283	-14.753	-26.6
1.07	-9.287	-14.836	-18.1
1.08	-9.291	-14.875	-24.5
1.09	-9.295	-15.027	-27.7
1.1	-9.299	-15.217	-21.9
1.11	-9.304	-15.302	-17.6
1.12	-9.309	-14.905	-14.6
1.13	-9.316	-13.086	-16.5
1.14	-9.324	-8.192	-19.0
1.15	-9.332	1.216	-16.3
1.16	-9.342	14.453	-9.7
1.17	-9.353	28.716	-3.4
1.18	-9.363	40.759	4.1
1.19	-9.373	48.109	4.9
1.2	-9.384	50.700	1.6
1.21	-9.395	50.464	5.8
1.22	-9.408	48.300	13.3
1.23	-9.421	43.863	21.5
1.24	-9.434	37.097	28.6
1.25	-9.447	28.942	32.9
1.26	-9.459	20.591	40.6
1.27	-9.471	12.619	59.3
1.28	-9.482	5.652	77.1
1.29	-9.492	0.055	83.3
1.3	-9.504	-4.245	82.7
1.31	-9.516	-7.108	92.4
1.32	-9.528	-8.408	97.8
1.33	-9.543	-8.361	71.9
1.34	-9.559	-7.334	39.6
1.35	-9.572	-5.867	16.1
1.36	-9.585	-4.611	0.0
1.37	-9.598	-4.044	-9.8
1.38	-9.611	-4.309	-22.4
1.39	-9.621	-5.683	-35.9
1.4	-9.631	-8.394	-39.3
1.41	-9.638	-11.678	-36.2
1.42	-9.646	-14.570	-39.4
1.43	-9.654	-16.528	-42.5
1.44	-9.664	-17.175	-40.8
1.45	-9.674	-16.675	-35.0
1.46	-9.685	-15.483	-31.2
1.47	-9.696	-13.853	-30.8
1.48	-9.707	-12.027	-27.1
1.49	-9.717	-10.261	-27.2
1.5	-9.728	-8.725	-32.7
1.51	-9.739	-7.577	-35.5
