Interval=	0.01 s
ExcelDateTime=	3.9777531045989592e+004	25/11/2008 12:44:42.373501
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	500.0 µV
0.0	-9.543	-18.577	5.5
0.01	-9.564	-18.988	2.3
0.02	-9.586	-18.914	-22.4
0.03	-9.607	-18.795	-51.2
0.04	-9.629	-18.838	-54.1
0.05	-9.649	-18.680	-32.6
0.06	-9.665	-18.455	-20.8
0.07	-9.675	-18.506	-36.1
0.08	-9.680	-18.708	-41.0
0.09	-9.684	-19.022	-31.0
0.1	-9.688	-19.620	-34.1
0.11	-9.693	-20.227	-33.1
0.12	-9.699	-20.502	-8.3
0.13	-9.704	-20.077	-12.8
0.14	-9.711	-17.881	-27.5
0.15	-9.718	-13.048	-18.0
0.16	-9.726	-3.858	-20.1
0.17	-9.736	12.586	-32.7
0.18	-9.745	33.133	-19.0
0.19	-9.756	47.017	-5.0
0.2	-9.766	50.916	-5.8
0.21	-9.777	51.128	1.8
0.22	-9.789	51.139	15.5
0.23	-9.801	51.139	15.3
0.24	-9.813	51.138	10.3
0.25	-9.823	51.127	5.1
0.26	-9.834	50.553	14.2
0.27	-9.844	46.328	43.8
0.28	-9.854	36.506	62.4
0.29	-9.862	24.550	67.4
0.3	-9.871	13.323	76.0
0.31	-9.880	3.513	81.1
0.32	-9.890	-3.694	96.6
0.33	-9.902	-7.917	101.5
0.34	-9.919	-9.370	51.9
0.35	-9.937	-8.625	10.7
0.36	-9.954	-7.028	13.4
0.37	-9.969	-5.958	3.5
0.38	-9.982	-5.756	-9.5
0.39	-9.995	-6.305	-14.2
0.4	-10.007	-8.073	-28.2
0.41	-10.018	-11.575	-55.8
0.42	-10.028	-16.334	-69.4
0.43	-10.038	-21.005	-44.7
0.44	-10.047	-24.103	-18.2
0.45	-10.056	-24.891	-27.1
0.46	-10.066	-23.558	-47.1
0.47	-10.076	-20.639	-49.3
0.48	-10.087	-16.848	-38.3
0.49	-10.097	-12.697	-42.8
0.5	-10.107	-8.586	-40.1
0.51	-10.118	-5.445	-28.3
0.52	-10.128	-3.675	-38.3
0.53	-10.137	-2.638	-47.8
0.54	-10.143	-2.255	-26.6
0.55	-10.147	-3.023	-34.2
0.56	-10.153	-4.811	-59.3
0.57	-10.158	-7.341	-42.5
0.58	-10.161	-10.495	-43.2
0.59	-10.164	-13.847	-61.2
0.6	-10.167	-17.086	-52.1
0.61	-10.172	-20.247	-45.3
0.62	-10.176	-23.023	-44.6
0.63	-10.181	-25.067	-47.9
0.64	-10.186	-26.470	-55.7
0.65	-10.189	-27.209	-63.4
0.66	-10.193	-27.102	-52.7
0.67	-10.196	-26.527	-54.7
0.68	-10.199	-25.994	-76.0
0.69	-10.201	-25.239	-70.7
0.7	-10.203	-24.213	-54.3
0.71	-10.203	-23.520	-66.4
0.72	-10.203	-23.205	-90.4
0.73	-10.201	-22.827	-93.9
0.74	-10.199	-22.338	-95.6
0.75	-10.196	-21.956	-96.1
0.76	-10.191	-21.550	-105.7
0.77	-10.186	-20.633	-127.3
0.78	-10.179	-19.398	-124.4
0.79	-10.172	-18.555	-134.6
0.8	-10.164	-18.222	-172.6
0.81	-10.159	-18.156	-189.7
0.82	-10.157	-18.194	-189.7
0.83	-10.154	-18.214	-223.7
0.84	-10.151	-18.047	-269.4
0.85	-10.146	-17.672	-269.2
0.86	-10.141	-17.433	-242.5
0.87	-10.136	-17.578	-237.9
0.88	-10.131	-18.022	-232.8
0.89	-10.126	-18.403	-217.4
0.9	-10.121	-18.297	-206.6
0.91	-10.115	-17.877	-202.6
0.92	-10.109	-17.770	-206.9
0.93	-10.104	-18.194	-203.9
0.94	-10.099	-18.938	-180.4
0.95	-10.094	-19.758	-159.5
0.96	-10.088	-20.316	-156.5
0.97	-10.082	-20.250	-157.4
0.98	-10.074	-19.856	-149.4
0.99	-10.064	-19.913	-134.2
1.0	-10.054	-20.520	-124.2
1.01	-10.044	-21.128	-119.5
1.02	-10.033	-21.388	-100.0
1.03	-10.023	-21.398	-118.7
1.04	-10.013	-21.425	-166.5
1.05	-10.003	-21.459	-187.1
1.06	-9.993	-21.284	-190.7
1.07	-9.983	-21.031	-171.4
1.08	-9.973	-20.961	-143.5
1.09	-9.963	-20.947	-127.8
1.1	-9.953	-20.878	-100.0
1.11	-9.943	-20.822	-79.4
1.12	-9.935	-20.688	-69.3
1.13	-9.928	-20.405	-35.8
1.14	-9.921	-20.113	6.7
1.15	-9.913	-19.886	-4.4
1.16	-9.904	-19.697	-34.0
1.17	-9.894	-19.602	-22.5
1.18	-9.883	-19.547	-13.6
1.19	-9.872	-19.383	-4.0
1.2	-9.862	-19.319	5.1
1.21	-9.854	-19.642	-17.0
1.22	-9.846	-19.919	-18.4
1.23	-9.837	-19.692	8.6
1.24	-9.827	-19.475	22.6
1.25	-9.816	-19.689	19.4
1.26	-9.803	-19.884	57.8
1.27	-9.790	-19.672	125.5
1.28	-9.779	-19.238	157.5
1.29	-9.774	-18.911	154.3
1.3	-9.771	-18.645	152.4
1.31	-9.763	-18.352	159.0
1.32	-9.749	-18.458	204.8
1.33	-9.731	-19.158	312.2
1.34	-9.711	-19.950	368.9
1.35	-9.693	-20.322	286.9
1.36	-9.676	-20.375	149.3
1.37	-9.658	-20.398	68.5
1.38	-9.637	-20.055	52.3
1.39	-9.614	-19.270	70.7
1.4	-9.591	-19.117	79.1
1.41	-9.569	-19.856	51.5
1.42	-9.545	-20.103	39.3
1.43	-9.517	-19.469	67.5
1.44	-9.486	-19.159	89.6
1.45	-9.454	-19.648	73.9
1.46	-9.422	-20.491	75.2
1.47	-9.393	-21.483	90.1
1.48	-9.367	-22.023	72.4
1.49	-9.342	-21.338	59.6
1.5	-9.317	-19.622	73.5
1.51	-9.293	-16.392	70.0
1.52	-9.269	-9.217	67.9
1.53	-9.247	4.080	91.6
1.54	-9.225	22.984	95.8
1.55	-9.203	40.750	76.0
1.56	-9.181	49.500	83.0
1.57	-9.159	51.088	99.5
1.58	-9.138	51.134	94.4
1.59	-9.118	51.139	93.3
1.6	-9.098	51.130	114.3
1.61	-9.079	50.952	131.8
1.62	-9.061	48.561	136.8
1.63	-9.042	40.886	139.2
1.64	-9.023	29.683	155.0
1.65	-9.004	18.145	163.0
1.66	-8.988	7.080	163.0
1.67	-8.974	-2.303	153.8
1.68	-8.964	-9.578	121.0
1.69	-8.954	-14.972	87.8
1.7	-8.943	-18.314	49.7
1.71	-8.929	-19.942	31.9
1.72	-8.916	-20.436	33.5
1.73	-8.904	-20.111	4.0
1.74	-8.890	-19.653	-10.0
1.75	-8.876	-20.919	4.8
1.76	-8.863	-24.928	-6.5
1.77	-8.850	-29.242	-27.0
1.78	-8.838	-31.031	-15.5
1.79	-8.827	-29.822	-9.4
1.8	-8.816	-26.647	-15.7
1.81	-8.806	-22.366	-6.4
1.82	-8.797	-17.081	2.3
1.83	-8.786	-11.378	-1.7
1.84	-8.776	-6.478	-1.4
1.85	-8.764	-2.638	5.6
1.86	-8.753	0.333	-5.0
1.87	-8.742	1.830	-12.8
1.88	-8.729	1.670	4.6
1.89	-8.716	0.394	0.7
