Interval=	0.01 s
ExcelDateTime=	3.9777527893884384e+004	25/11/2008 12:40:10.03161
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	500.0 µV
0.0	-10.017	-18.322	-6.8
0.01	-9.998	-18.391	-4.2
0.02	-9.977	-18.714	-23.8
0.03	-9.954	-18.598	-39.5
0.04	-9.929	-17.991	-28.8
0.05	-9.902	-17.688	-33.9
0.06	-9.875	-17.639	-39.4
0.07	-9.848	-17.269	-31.5
0.08	-9.822	-16.836	-22.6
0.09	-9.801	-16.570	-31.7
0.1	-9.783	-16.417	-34.4
0.11	-9.768	-16.378	-23.1
0.12	-9.751	-16.381	-1.5
0.13	-9.731	-16.491	92.1
0.14	-9.706	-16.675	233.3
0.15	-9.680	-16.744	267.4
0.16	-9.656	-16.920	141.8
0.17	-9.635	-17.286	-3.8
0.18	-9.614	-17.522	-49.7
0.19	-9.593	-17.641	-40.1
0.2	-9.572	-17.828	-28.5
0.21	-9.553	-18.233	-32.6
0.22	-9.531	-18.681	-44.3
0.23	-9.506	-18.898	-40.0
0.24	-9.477	-19.225	-28.9
0.25	-9.447	-19.897	-32.7
0.26	-9.419	-20.552	-24.5
0.27	-9.393	-20.698	-4.6
0.28	-9.368	-20.322	-8.3
0.29	-9.344	-19.455	-20.9
0.3	-9.322	-16.950	-23.3
0.31	-9.301	-10.489	-22.6
0.32	-9.280	2.709	-24.9
0.33	-9.261	22.703	-16.0
0.34	-9.242	41.283	10.4
0.35	-9.225	49.805	12.3
0.36	-9.209	51.114	-7.3
0.37	-9.195	51.136	-2.5
0.38	-9.181	51.139	19.4
0.39	-9.168	51.139	15.4
0.4	-9.154	51.138	8.0
0.41	-9.143	51.128	32.3
0.42	-9.132	50.464	63.8
0.43	-9.121	45.825	71.2
0.44	-9.109	35.067	74.2
0.45	-9.098	22.081	81.6
0.46	-9.086	10.616	90.3
0.47	-9.076	0.494	97.6
0.48	-9.068	-8.183	83.0
0.49	-9.063	-14.048	58.3
0.5	-9.059	-16.756	36.4
0.51	-9.053	-17.211	14.3
0.52	-9.046	-16.427	-1.9
0.53	-9.040	-15.520	-27.0
0.54	-9.034	-15.691	-47.1
0.55	-9.026	-17.652	-41.4
0.56	-9.018	-21.277	-55.0
0.57	-9.008	-25.463	-69.8
0.58	-9.000	-28.528	-52.1
0.59	-8.994	-29.452	-55.3
0.6	-8.988	-28.127	-58.6
0.61	-8.983	-24.859	-40.2
0.62	-8.978	-20.442	-39.3
0.63	-8.974	-15.631	-50.3
0.64	-8.971	-10.867	-52.8
0.65	-8.967	-6.603	-43.1
0.66	-8.964	-3.222	-37.0
0.67	-8.959	-1.011	-42.5
0.68	-8.954	-0.213	-40.7
0.69	-8.948	-0.741	-42.2
0.7	-8.942	-2.089	-41.5
0.71	-8.935	-4.008	-29.5
0.72	-8.928	-6.758	-41.9
0.73	-8.921	-10.339	-62.8
0.74	-8.914	-14.144	-44.8
0.75	-8.908	-17.794	-35.5
0.76	-8.902	-21.317	-46.9
0.77	-8.896	-24.498	-46.4
0.78	-8.889	-27.034	-40.8
0.79	-8.884	-28.836	-43.8
0.8	-8.878	-29.880	-50.3
0.81	-8.873	-30.209	-59.2
0.82	-8.867	-29.986	-57.7
0.83	-8.861	-29.192	-39.6
0.84	-8.856	-27.805	-27.0
0.85	-8.850	-26.202	-40.2
0.86	-8.845	-24.848	-56.7
0.87	-8.839	-23.847	-48.5
0.88	-8.834	-23.034	-40.7
0.89	-8.828	-22.405	-48.5
0.9	-8.822	-22.017	-47.6
0.91	-8.816	-21.717	-35.3
0.92	-8.810	-21.416	-29.1
0.93	-8.804	-21.238	-38.8
0.94	-8.797	-21.048	-41.7
0.95	-8.791	-20.456	-37.0
0.96	-8.785	-19.761	-36.6
0.97	-8.779	-19.400	-39.4
0.98	-8.773	-19.150	-35.0
0.99	-8.768	-18.939	-23.0
1.0	-8.763	-18.717	-22.5
1.01	-8.759	-18.492	-30.9
1.02	-8.754	-18.497	-31.9
1.03	-8.749	-18.617	-34.7
1.04	-8.743	-18.702	-33.8
1.05	-8.739	-18.489	-31.2
1.06	-8.735	-17.859	-34.1
1.07	-8.731	-17.341	-25.3
1.08	-8.726	-17.311	-20.0
1.09	-8.719	-17.756	-31.4
1.1	-8.713	-18.567	-23.0
1.11	-8.708	-19.464	-17.1
1.12	-8.704	-20.145	-27.0
1.13	-8.699	-20.644	-29.4
1.14	-8.694	-21.077	-31.5
1.15	-8.689	-21.441	-33.0
1.16	-8.686	-21.969	-27.1
1.17	-8.681	-22.589	-20.0
1.18	-8.676	-22.808	-17.2
1.19	-8.671	-22.453	-18.1
1.2	-8.666	-21.830	-20.1
1.21	-8.659	-21.395	-22.0
1.22	-8.654	-21.231	-20.5
