Interval=	0.01 s
ExcelDateTime=	3.9777559906349634e+004	25/11/2008 13:26:15.908609
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	500.0 µV
0.0	-9.606	-12.344	-2.0
0.01	-9.619	-12.156	-9.3
0.02	-9.633	-12.072	-23.8
0.03	-9.646	-12.145	-28.9
0.04	-9.660	-12.181	-21.7
0.05	-9.674	-12.217	-21.4
0.06	-9.687	-12.541	-19.0
0.07	-9.700	-12.947	-13.2
0.08	-9.713	-13.084	-16.3
0.09	-9.724	-13.081	-20.9
0.1	-9.736	-13.186	-21.4
0.11	-9.748	-13.248	-19.0
0.12	-9.761	-13.053	-16.8
0.13	-9.773	-12.814	-17.3
0.14	-9.784	-12.781	-12.8
0.15	-9.795	-12.805	-14.0
0.16	-9.806	-12.756	-21.0
0.17	-9.818	-12.627	-21.1
0.18	-9.828	-12.544	-23.3
0.19	-9.838	-12.600	-20.8
0.2	-9.849	-12.525	-18.1
0.21	-9.860	-12.355	-18.9
0.22	-9.871	-12.417	-14.9
0.23	-9.881	-12.516	-14.2
0.24	-9.890	-12.458	-22.8
0.25	-9.899	-12.450	-24.5
0.26	-9.909	-12.534	-14.8
0.27	-9.919	-12.720	-17.2
0.28	-9.929	-12.955	-22.7
0.29	-9.939	-12.961	-14.9
0.3	-9.947	-12.863	-16.9
0.31	-9.956	-12.927	-24.2
0.32	-9.964	-13.077	-19.7
0.33	-9.973	-13.178	-16.8
0.34	-9.980	-12.950	-17.9
0.35	-9.988	-12.466	-16.6
0.36	-9.995	-12.272	-9.8
0.37	-10.002	-12.292	-3.3
0.38	-10.008	-12.206	0.6
0.39	-10.015	-12.094	6.3
0.4	-10.022	-12.100	19.1
0.41	-10.029	-12.352	35.3
0.42	-10.037	-12.566	27.9
0.43	-10.045	-12.413	0.5
0.44	-10.053	-12.372	-21.2
0.45	-10.059	-12.636	-32.4
0.46	-10.066	-12.705	-26.8
0.47	-10.074	-12.716	-22.7
0.48	-10.081	-12.783	-32.0
0.49	-10.088	-12.631	-38.2
0.5	-10.094	-12.509	-36.6
0.51	-10.099	-12.517	-32.0
0.52	-10.103	-12.419	-32.8
0.53	-10.108	-12.313	-37.9
0.54	-10.113	-12.270	-31.4
0.55	-10.120	-12.217	-22.6
0.56	-10.130	-12.197	-27.2
0.57	-10.141	-12.064	-25.3
0.58	-10.149	-11.831	-11.3
0.59	-10.154	-11.888	85.5
0.6	-10.156	-12.184	251.2
0.61	-10.156	-12.470	312.5
0.62	-10.156	-12.644	216.6
0.63	-10.155	-12.573	51.6
0.64	-10.154	-12.450	-43.4
0.65	-10.152	-12.511	-46.6
0.66	-10.150	-12.666	-38.5
0.67	-10.144	-12.820	-45.2
0.68	-10.134	-12.847	-49.0
0.69	-10.118	-12.727	-41.6
0.7	-10.102	-12.745	-38.6
0.71	-10.088	-12.902	-34.1
0.72	-10.077	-12.705	-26.8
0.73	-10.067	-12.145	-25.2
0.74	-10.056	-11.873	-25.2
0.75	-10.044	-11.863	-30.6
0.76	-10.029	-11.339	-31.9
0.77	-10.012	-9.709	-23.9
0.78	-9.993	-6.620	-21.9
0.79	-9.974	-2.200	-22.2
0.8	-9.954	2.722	-13.1
0.81	-9.934	7.011	-1.7
0.82	-9.912	9.863	2.4
0.83	-9.891	10.944	-0.8
0.84	-9.868	10.181	-0.7
0.85	-9.845	7.922	11.1
0.86	-9.821	4.655	20.8
0.87	-9.797	0.773	26.2
0.88	-9.773	-3.166	30.8
0.89	-9.748	-6.689	44.4
0.9	-9.723	-9.653	65.6
0.91	-9.697	-11.947	72.6
0.92	-9.672	-13.380	77.6
0.93	-9.648	-13.897	94.0
0.94	-9.626	-13.764	111.6
0.95	-9.606	-13.267	121.3
0.96	-9.591	-12.506	115.0
0.97	-9.578	-11.652	83.6
0.98	-9.563	-10.759	45.0
0.99	-9.548	-9.828	20.9
1.0	-9.534	-9.134	2.8
1.01	-9.519	-8.956	-18.0
1.02	-9.504	-9.264	-34.9
1.03	-9.488	-9.836	-44.5
1.04	-9.472	-10.516	-51.4
1.05	-9.457	-11.241	-57.4
1.06	-9.443	-11.963	-55.5
1.07	-9.429	-12.553	-50.9
1.08	-9.414	-12.891	-55.5
1.09	-9.402	-12.995	-54.1
1.1	-9.389	-12.877	-45.6
1.11	-9.376	-12.434	-47.2
1.12	-9.363	-11.873	-45.3
1.13	-9.351	-11.550	-40.1
1.14	-9.339	-11.419	-37.8
1.15	-9.329	-11.328	-34.4
1.16	-9.317	-11.052	-36.6
1.17	-9.303	-10.269	-38.3
1.18	-9.288	-9.278	-41.0
1.19	-9.272	-8.820	-47.3
1.2	-9.257	-9.172	-50.9
1.21	-9.242	-10.134	-54.5
1.22	-9.228	-11.269	-51.0
1.23	-9.213	-12.109	-41.7
1.24	-9.199	-12.578	-40.7
1.25	-9.185	-13.077	-47.8
1.26	-9.171	-13.741	-50.5
1.27	-9.158	-14.295	-40.9
1.28	-9.143	-14.681	-41.2
1.29	-9.129	-14.667	-53.6
1.3	-9.114	-14.053	-47.2
1.31	-9.101	-13.320	-39.5
1.32	-9.087	-12.916	-49.5
1.33	-9.074	-12.673	-57.4
1.34	-9.063	-12.244	-51.2
1.35	-9.052	-11.561	-30.6
1.36	-9.041	-10.952	-33.7
1.37	-9.031	-10.714	-54.5
1.38	-9.019	-10.619	-51.7
1.39	-9.009	-10.416	-35.5
1.4	-8.998	-10.502	-31.1
1.41	-8.988	-10.984	-44.6
1.42	-8.978	-11.547	-45.5
1.43	-8.969	-12.244	-32.5
1.44	-8.959	-12.928	-32.4
1.45	-8.950	-13.367	-43.3
1.46	-8.942	-13.695	-41.9
1.47	-8.934	-13.866	-29.5
1.48	-8.926	-13.831	-30.8
1.49	-8.918	-13.706	-39.6
1.5	-8.909	-13.383	-35.1
1.51	-8.902	-12.769	-30.6
1.52	-8.894	-11.992	-36.7
1.53	-8.887	-11.263	-31.0
1.54	-8.879	-10.864	-24.3
1.55	-8.873	-10.898	-34.2
1.56	-8.867	-11.022	-37.2
1.57	-8.861	-11.030	-28.7
1.58	-8.855	-11.125	-25.2
1.59	-8.848	-11.491	-31.3
1.6	-8.841	-12.100	-37.0
1.61	-8.835	-12.611	-32.1
1.62	-8.828	-12.820	-26.4
1.63	-8.821	-13.011	-25.1
1.64	-8.814	-13.280	-25.5
1.65	-8.808	-13.497	-29.1
1.66	-8.803	-13.684	-27.6
1.67	-8.796	-13.769	-22.2
1.68	-8.791	-13.516	-26.6
1.69	-8.785	-12.955	-30.5
1.7	-8.779	-12.542	-23.7
1.71	-8.773	-12.430	-23.7
1.72	-8.768	-12.191	-30.5
1.73	-8.763	-11.805	-27.8
1.74	-8.758	-11.652	-20.6
1.75	-8.751	-11.784	-22.4
1.76	-8.745	-11.984	-33.9
