Interval=	0.01 s
ExcelDateTime=	3.9777678913085707e+004	25/11/2008 16:17:38.090605
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	200.0 mV	1000.0 µV
0.0	-9.973	-31.4	7.1
0.01	-10.007	-31.5	30.4
0.02	-10.041	-31.6	71.2
0.03	-10.074	-31.9	96.1
0.04	-10.108	-32.3	-20.1
0.05	-10.141	-32.8	-375.3
0.06	-10.172	-33.3	-660.9
0.07	-10.205	-33.5	-316.1
0.08	-10.239	-33.5	300.3
0.09	-10.273	-33.0	409.5
0.1	-10.305	-32.2	186.9
0.11	-10.333	-31.1	40.0
0.12	-10.358	-29.7	8.8
0.13	-10.381	-28.1	11.4
0.14	-10.404	-26.5	-1.4
0.15	-10.426	-24.6	-3.3
0.16	-10.448	-22.2	-9.9
0.17	-10.470	-17.5	-34.0
0.18	-10.494	-7.7	-48.5
0.19	-10.519	9.5	-69.4
0.2	-10.545	33.3	-112.7
0.21	-10.573	58.9	-152.0
0.22	-10.603	80.6	-168.6
0.23	-10.633	94.0	-186.5
0.24	-10.661	97.9	-213.5
0.25	-10.689	93.1	-217.8
0.26	-10.716	81.1	-201.8
0.27	-10.741	64.3	-166.5
0.28	-10.767	45.2	-120.0
0.29	-10.794	25.6	-86.5
0.3	-10.820	7.1	-37.8
0.31	-10.845	-9.3	12.7
0.32	-10.871	-22.8	23.0
0.33	-10.897	-33.2	28.3
0.34	-10.922	-41.1	31.5
0.35	-10.946	-46.9	16.7
0.36	-10.970	-51.4	20.4
0.37	-10.992	-55.4	33.3
0.38	-11.013	-58.8	26.7
0.39	-11.034	-60.6	10.1
0.4	-11.055	-59.9	1.7
0.41	-11.074	-56.1	-3.8
0.42	-11.091	-49.4	-5.3
0.43	-11.108	-40.5	-0.8
0.44	-11.124	-30.6	-10.1
0.45	-11.141	-20.9	-34.5
0.46	-11.158	-12.4	-44.3
0.47	-11.176	-5.7	-39.5
0.48	-11.194	-1.1	-64.4
0.49	-11.211	1.3	-82.3
0.5	-11.228	1.6	-57.9
0.51	-11.241	0.2	-51.9
0.52	-11.254	-2.5	-56.1
0.53	-11.264	-6.0	-44.5
0.54	-11.276	-9.8	-16.7
0.55	-11.286	-13.5	30.3
0.56	-11.296	-17.1	53.1
0.57	-11.304	-20.4	60.6
0.58	-11.311	-23.3	71.5
0.59	-11.320	-25.8	65.2
0.6	-11.329	-28.0	57.3
0.61	-11.338	-29.9	48.8
0.62	-11.344	-31.4	27.3
0.63	-11.348	-32.5	-77.8
0.64	-11.350	-33.4	-391.8
0.65	-11.349	-34.0	-624.9
0.66	-11.348	-34.2	-270.8
0.67	-11.348	-34.2	287.3
0.68	-11.349	-34.0	353.2
0.69	-11.351	-33.5	125.4
0.7	-11.347	-32.6	-1.7
0.71	-11.339	-31.6	-26.2
0.72	-11.326	-30.3	-3.1
0.73	-11.311	-28.7	18.4
0.74	-11.293	-27.0	6.8
0.75	-11.276	-24.8	-14.8
0.76	-11.260	-21.5	-37.8
0.77	-11.245	-15.1	-59.5
0.78	-11.233	-2.9	-84.1
0.79	-11.225	16.0	-115.7
0.8	-11.221	39.3	-154.0
0.81	-11.220	62.1	-188.5
0.82	-11.219	79.6	-200.4
0.83	-11.217	89.1	-203.4
0.84	-11.215	90.0	-201.3
0.85	-11.211	83.4	-178.7
0.86	-11.204	70.7	-149.6
0.87	-11.197	54.1	-108.5
0.88	-11.191	35.5	-69.5
0.89	-11.186	16.7	-46.5
0.9	-11.182	-0.6	-9.3
0.91	-11.179	-15.7	19.2
0.92	-11.179	-27.9	37.1
0.93	-11.178	-37.5	66.3
0.94	-11.175	-44.8	67.0
0.95	-11.171	-50.6	50.3
0.96	-11.163	-55.5	39.0
0.97	-11.153	-59.6	21.3
0.98	-11.140	-62.2	7.0
0.99	-11.124	-62.2	-0.1
1.0	-11.104	-59.2	4.3
1.01	-11.082	-53.2	8.2
1.02	-11.058	-44.9	-1.6
1.03	-11.035	-35.2	-11.2
1.04	-11.012	-25.3	-25.4
1.05	-10.989	-16.3	-38.1
