Interval=	0.01 s
ExcelDateTime=	3.9777670422518990e+004	25/11/2008 16:05:24.505641
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	200.0 mV	1000.0 µV
0.0	-11.108	-59.1	72.7
0.01	-11.107	-57.9	309.8
0.02	-11.108	-55.8	321.1
0.03	-11.106	-53.3	120.0
0.04	-11.099	-50.5	29.1
0.05	-11.084	-47.3	2.8
0.06	-11.061	-43.5	-2.2
0.07	-11.033	-39.3	20.9
0.08	-11.004	-34.7	24.6
0.09	-10.976	-29.2	-5.1
0.1	-10.948	-20.4	-36.1
0.11	-10.921	-3.3	-67.5
0.12	-10.896	27.0	-112.8
0.13	-10.873	69.0	-146.0
0.14	-10.851	112.9	-171.4
0.15	-10.828	146.4	-176.3
0.16	-10.804	162.4	-168.2
0.17	-10.778	160.3	-195.1
0.18	-10.748	143.8	-215.6
0.19	-10.715	117.1	-194.8
0.2	-10.683	84.5	-159.7
0.21	-10.653	49.9	-126.4
0.22	-10.623	16.5	-90.4
0.23	-10.593	-13.4	-36.1
0.24	-10.566	-38.2	19.8
0.25	-10.540	-57.8	38.2
0.26	-10.516	-72.6	37.6
0.27	-10.492	-83.6	45.7
0.28	-10.467	-92.1	40.2
0.29	-10.442	-99.0	33.7
0.3	-10.415	-104.2	37.6
0.31	-10.388	-105.9	30.6
0.32	-10.361	-102.2	11.8
0.33	-10.333	-92.2	-15.1
0.34	-10.305	-76.1	-48.4
0.35	-10.277	-55.5	-84.7
0.36	-10.250	-33.4	-112.3
0.37	-10.224	-13.1	-114.4
0.38	-10.199	2.9	-104.1
0.39	-10.172	13.7	-92.2
0.4	-10.146	19.5	-29.2
0.41	-10.120	21.1	41.9
0.42	-10.096	19.1	49.8
0.43	-10.071	14.3	49.8
0.44	-10.046	7.4	52.6
0.45	-10.021	-1.0	60.8
0.46	-9.994	-10.3	84.1
0.47	-9.969	-20.0	90.2
0.48	-9.947	-29.2	87.8
0.49	-9.922	-37.7	114.8
0.5	-9.894	-45.1	114.2
0.51	-9.867	-51.3	-72.6
0.52	-9.843	-56.0	-457.1
0.53	-9.819	-59.0	-525.7
0.54	-9.797	-60.3	64.7
0.55	-9.778	-60.2	549.6
0.56	-9.761	-58.7	414.1
0.57	-9.744	-56.2	132.4
0.58	-9.723	-52.6	29.0
0.59	-9.698	-48.2	32.3
0.6	-9.670	-43.1	33.7
0.61	-9.638	-37.7	15.3
0.62	-9.604	-32.2	-0.1
0.63	-9.569	-26.3	-28.1
0.64	-9.537	-17.6	-51.6
0.65	-9.507	-1.2	-57.7
0.66	-9.479	27.4	-80.4
0.67	-9.454	66.7	-113.4
0.68	-9.431	107.3	-138.8
0.69	-9.409	138.4	-163.8
0.7	-9.389	153.2	-201.3
0.71	-9.371	150.9	-223.7
0.72	-9.353	134.5	-206.5
0.73	-9.332	108.3	-176.2
0.74	-9.314	76.7	-150.4
0.75	-9.297	43.6	-107.4
0.76	-9.281	12.1	-56.1
0.77	-9.264	-15.8	-18.3
0.78	-9.249	-39.2	20.5
0.79	-9.235	-58.0	40.2
0.8	-9.221	-72.1	24.8
0.81	-9.207	-82.5	21.1
0.82	-9.192	-90.6	37.0
0.83	-9.178	-97.4	45.5
0.84	-9.162	-102.5	35.2
0.85	-9.148	-103.9	19.6
0.86	-9.134	-99.8	11.5
0.87	-9.119	-89.5	-8.9
0.88	-9.105	-73.6	-42.5
0.89	-9.092	-53.8	-77.8
0.9	-9.079	-32.8	-104.7
0.91	-9.068	-13.2	-109.3
0.92	-9.058	2.7	-101.0
0.93	-9.047	13.7	-70.7
0.94	-9.037	19.9	-16.3
0.95	-9.027	21.6	27.3
0.96	-9.016	19.7	52.3
0.97	-9.003	14.7	57.6
0.98	-8.989	7.3	62.8
0.99	-8.975	-1.4	78.0
1.0	-8.961	-10.8	84.6
1.01	-8.949	-20.2	108.9
1.02	-8.939	-29.4	138.0
1.03	-8.926	-37.8	147.3
1.04	-8.912	-45.1	122.3
1.05	-8.898	-51.1	-78.6
1.06	-8.889	-55.9	-461.2
1.07	-8.883	-59.1	-480.9
1.08	-8.878	-60.4	119.8
1.09	-8.876	-59.8	558.3
1.1	-8.874	-57.8	428.5
1.11	-8.873	-54.7	172.7
1.12	-8.867	-50.8	41.2
1.13	-8.858	-46.4	18.7
1.14	-8.845	-42.0	25.3
1.15	-8.829	-37.6	15.9
1.16	-8.813	-32.7	-0.1
1.17	-8.795	-26.7	-18.5
1.18	-8.781	-16.8	-11.2
1.19	-8.769	2.1	-13.1
1.2	-8.760	33.8	-51.9
1.21	-8.753	74.9	-101.4
1.22	-8.748	114.7	-161.8
1.23	-8.744	142.5	-198.3
1.24	-8.741	152.9	-201.1
1.25	-8.738	146.7	-194.4
1.26	-8.734	127.9	-163.5
1.27	-8.731	100.6	-136.8
1.28	-8.729	69.0	-119.0
1.29	-8.729	36.6	-89.9
1.3	-8.728	6.2	-68.7
1.31	-8.725	-20.6	-47.6
1.32	-8.723	-42.8	-16.4
1.33	-8.722	-60.3	25.9
1.34	-8.721	-73.3	54.8
1.35	-8.719	-82.8	52.7
1.36	-8.717	-90.0	43.8
1.37	-8.714	-96.0	33.4
1.38	-8.712	-100.1	10.7
1.39	-8.709	-100.4	2.3
1.4	-8.708	-95.5	-3.5
1.41	-8.707	-84.7	-25.8
1.42	-8.707	-68.8	-54.3
1.43	-8.708	-49.5	-94.6
1.44	-8.711	-29.1	-110.0
1.45	-8.716	-10.3	-98.7
1.46	-8.722	5.0	-99.7
1.47	-8.727	15.5	-70.2
1.48	-8.731	21.0	-6.1
1.49	-8.734	22.0	32.2
1.5	-8.736	19.4	55.0
1.51	-8.736	14.0	74.0
1.52	-8.733	6.6	84.8
1.53	-8.731	-2.2	113.0
1.54	-8.729	-11.5	112.7
1.55	-8.732	-20.9	88.4
1.56	-8.738	-30.0	104.2
1.57	-8.741	-38.6	141.5
1.58	-8.744	-46.1	99.6
1.59	-8.754	-52.1	-190.1
1.6	-8.774	-56.6	-521.1
1.61	-8.799	-59.4	-270.1
1.62	-8.828	-60.2	381.3
1.63	-8.857	-59.1	568.1
1.64	-8.886	-56.4	290.4
1.65	-8.913	-52.6	71.6
1.66	-8.937	-48.3	21.0
1.67	-8.953	-43.7	30.8
1.68	-8.958	-39.0	40.6
1.69	-8.954	-34.2	32.3
1.7	-8.947	-28.9	10.5
1.71	-8.943	-21.9	3.6
1.72	-8.946	-9.2	-16.3
1.73	-8.957	14.4	-67.2
1.74	-8.972	50.4	-103.3
1.75	-8.988	92.0	-133.6
1.76	-9.004	128.0	-165.4
1.77	-9.020	149.2	-175.6
1.78	-9.036	152.8	-172.7
1.79	-9.053	141.1	-177.1
1.8	-9.069	118.2	-170.7
1.81	-9.086	88.6	-145.4
1.82	-9.104	56.2	-127.4
1.83	-9.123	24.2	-102.6
1.84	-9.141	-4.9	-47.8
1.85	-9.157	-29.7	8.1
1.86	-9.175	-49.6	32.7
1.87	-9.194	-64.8	49.6
1.88	-9.212	-76.1	49.1
1.89	-9.229	-84.6	31.8
1.9	-9.244	-91.4	16.5
1.91	-9.260	-96.7	3.5
1.92	-9.277	-99.3	10.7
1.93	-9.294	-97.0	3.9
1.94	-9.313	-88.9	-20.0
1.95	-9.331	-75.0	-47.2
1.96	-9.350	-56.8	-80.3
1.97	-9.370	-36.4	-112.6
1.98	-9.390	-16.5	-132.7
1.99	-9.411	0.4	-113.1
2.0	-9.430	12.8	-64.7
2.01	-9.449	20.3	-10.2
2.02	-9.467	23.4	43.4
2.03	-9.485	22.6	82.2
2.04	-9.501	18.4	84.7
2.05	-9.517	11.4	79.4
2.06	-9.531	2.4	75.8
2.07	-9.546	-7.6	77.7
2.08	-9.562	-17.7	97.9
2.09	-9.578	-27.3	125.8
2.1	-9.592	-36.0	168.4
2.11	-9.604	-43.7	73.5
2.12	-9.618	-50.0	-305.8
2.13	-9.634	-54.6	-580.0
2.14	-9.650	-57.3	-173.9
2.15	-9.668	-58.0	468.7
2.16	-9.688	-56.6	542.1
2.17	-9.708	-53.9	257.2
2.18	-9.728	-50.3	90.1
2.19	-9.744	-46.2	41.8
2.2	-9.754	-41.7	10.5
2.21	-9.759	-37.2	3.7
