Interval=	0.01 s
ExcelDateTime=	3.9777697429519583e+004	25/11/2008 16:44:17.910492
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	200.0 mV	1000.0 µV
0.0	-8.733	-26.8	-0.8
0.01	-8.717	-23.8	-8.8
0.02	-8.698	-21.1	-2.6
0.03	-8.679	-18.1	1.2
0.04	-8.662	-12.7	-12.5
0.05	-8.647	-1.3	-37.5
0.06	-8.634	18.9	-61.8
0.07	-8.622	48.2	-58.9
0.08	-8.611	84.7	-83.7
0.09	-8.602	123.4	-141.3
0.1	-8.594	155.6	-173.0
0.11	-8.587	172.6	-176.6
0.12	-8.579	169.0	-148.6
0.13	-8.572	144.7	-106.3
0.14	-8.566	105.3	-62.3
0.15	-8.561	59.8	0.8
0.16	-8.556	15.2	64.9
0.17	-8.550	-24.3	89.6
0.18	-8.544	-56.2	80.5
0.19	-8.539	-79.7	71.6
0.2	-8.534	-95.0	72.3
0.21	-8.529	-103.5	77.8
0.22	-8.522	-106.7	77.2
0.23	-8.514	-105.9	72.7
0.24	-8.507	-101.7	90.4
0.25	-8.500	-94.3	96.2
0.26	-8.494	-84.1	55.4
0.27	-8.488	-71.8	25.8
0.28	-8.482	-58.4	36.3
0.29	-8.479	-45.2	42.0
0.3	-8.476	-32.9	29.0
0.31	-8.473	-22.0	13.0
0.32	-8.472	-13.0	36.0
0.33	-8.471	-6.3	39.4
0.34	-8.470	-2.3	-9.8
0.35	-8.469	-1.0	-16.9
0.36	-8.467	-2.3	-2.4
0.37	-8.465	-5.6	22.3
0.38	-8.462	-10.1	68.0
0.39	-8.460	-14.8	123.2
0.4	-8.458	-19.4	167.1
0.41	-8.456	-23.7	160.3
0.42	-8.454	-27.6	141.2
0.43	-8.453	-31.1	135.2
0.44	-8.451	-34.3	133.9
0.45	-8.449	-36.9	142.1
0.46	-8.445	-38.7	165.9
0.47	-8.442	-39.7	134.0
0.48	-8.443	-40.0	-132.3
0.49	-8.450	-39.4	-459.6
0.5	-8.461	-38.5	-234.7
0.51	-8.475	-37.4	344.3
0.52	-8.494	-36.1	474.2
0.53	-8.516	-34.3	239.9
0.54	-8.542	-32.2	98.5
0.55	-8.566	-29.9	83.8
0.56	-8.586	-27.7	87.6
0.57	-8.599	-25.5	79.6
0.58	-8.606	-23.4	56.2
0.59	-8.611	-21.2	33.5
0.6	-8.621	-17.6	27.8
0.61	-8.639	-10.2	11.9
0.62	-8.663	4.5	-3.3
0.63	-8.693	28.6	-24.5
0.64	-8.725	61.5	-65.9
0.65	-8.758	100.5	-107.0
0.66	-8.791	139.3	-148.2
0.67	-8.826	168.7	-173.9
0.68	-8.860	180.7	-159.7
0.69	-8.895	171.3	-120.8
0.7	-8.929	141.6	-69.9
0.71	-8.965	98.8	-12.1
0.72	-9.001	51.9	17.5
0.73	-9.034	7.2	24.9
0.74	-9.067	-31.6	32.0
0.75	-9.099	-62.1	50.4
0.76	-9.133	-83.2	68.2
0.77	-9.167	-95.7	84.3
0.78	-9.200	-101.4	123.1
0.79	-9.233	-102.9	134.7
0.8	-9.266	-101.7	98.2
0.81	-9.297	-98.2	57.6
0.82	-9.328	-92.0	42.3
0.83	-9.358	-83.2	45.0
0.84	-9.387	-71.9	55.5
0.85	-9.416	-58.7	70.9
0.86	-9.443	-45.1	47.8
0.87	-9.470	-32.5	4.8
0.88	-9.496	-21.6	-33.1
0.89	-9.523	-12.9	-66.0
0.9	-9.550	-6.7	-67.8
0.91	-9.577	-2.8	-59.6
0.92	-9.603	-1.2	-41.5
0.93	-9.628	-1.5	31.2
0.94	-9.652	-3.7	90.0
0.95	-9.676	-7.3	93.6
0.96	-9.697	-12.0	77.6
0.97	-9.719	-17.3	64.7
0.98	-9.740	-22.8	81.6
0.99	-9.761	-28.1	95.6
1.0	-9.784	-32.5	93.2
1.01	-9.807	-35.7	119.4
1.02	-9.830	-37.8	161.6
1.03	-9.853	-39.1	117.9
1.04	-9.874	-39.8	-154.8
1.05	-9.894	-39.9	-504.9
1.06	-9.914	-39.4	-318.9
1.07	-9.937	-38.5	286.4
1.08	-9.960	-37.4	463.9
1.09	-9.985	-35.9	230.2
1.1	-10.010	-33.9	81.8
1.11	-10.032	-31.5	73.6
1.12	-10.049	-28.9	72.4
1.13	-10.063	-26.2	36.6
1.14	-10.074	-23.9	13.4
1.15	-10.084	-22.0	8.6
1.16	-10.094	-20.1	-5.7
1.17	-10.106	-16.4	-26.4
1.18	-10.118	-8.2	-57.5
1.19	-10.134	7.4	-69.4
1.2	-10.150	31.6	-72.0
1.21	-10.168	63.6	-133.2
1.22	-10.186	100.0	-191.8
1.23	-10.202	134.6	-193.1
1.24	-10.216	158.6	-183.8
1.25	-10.228	165.8	-169.3
1.26	-10.240	153.5	-137.9
1.27	-10.254	123.4	-92.1
1.28	-10.270	81.9	-29.2
1.29	-10.284	37.3	28.5
1.3	-10.297	-4.5	60.6
1.31	-10.311	-39.9	65.3
1.32	-10.328	-67.3	64.8
1.33	-10.345	-86.6	73.3
1.34	-10.359	-98.6	76.3
1.35	-10.371	-104.5	67.5
1.36	-10.380	-105.6	66.9
1.37	-10.389	-103.0	69.6
1.38	-10.399	-97.1	72.6
1.39	-10.408	-87.9	76.9
1.4	-10.414	-75.8	45.8
1.41	-10.419	-62.2	5.9
1.42	-10.423	-48.6	-5.5
1.43	-10.428	-35.9	-25.1
1.44	-10.433	-24.6	-57.7
1.45	-10.437	-15.0	-76.7
1.46	-10.439	-7.3	-71.4
1.47	-10.439	-1.6	-21.6
1.48	-10.437	1.7	37.5
1.49	-10.432	2.5	59.7
1.5	-10.425	0.9	64.3
1.51	-10.418	-2.9	67.1
1.52	-10.409	-8.5	72.5
1.53	-10.398	-14.9	80.1
1.54	-10.386	-21.1	88.4
1.55	-10.376	-26.5	98.5
1.56	-10.368	-30.9	118.6
1.57	-10.357	-34.2	152.9
1.58	-10.343	-36.8	121.3
1.59	-10.331	-38.7	-122.7
1.6	-10.318	-40.1	-481.7
1.61	-10.302	-40.6	-383.3
1.62	-10.284	-40.0	203.4
1.63	-10.269	-38.4	466.8
1.64	-10.258	-36.5	291.7
1.65	-10.247	-34.2	106.8
1.66	-10.229	-31.9	29.4
1.67	-10.204	-29.6	30.9
1.68	-10.173	-27.5	42.7
1.69	-10.138	-25.6	33.5
1.7	-10.101	-23.8	9.9
