Interval=	0.01 s
ExcelDateTime=	3.9777689415562498e+004	25/11/2008 16:32:45.5046
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	200.0 mV	1000.0 µV
0.0	-10.422	-7.3	5.2
0.01	-10.402	-10.9	37.0
0.02	-10.382	-14.8	51.9
0.03	-10.363	-18.9	82.3
0.04	-10.346	-22.9	116.1
0.05	-10.327	-26.2	135.1
0.06	-10.304	-28.7	119.2
0.07	-10.280	-30.4	-42.3
0.08	-10.258	-31.5	-337.9
0.09	-10.234	-31.9	-414.2
0.1	-10.210	-31.7	57.0
0.11	-10.189	-31.2	499.7
0.12	-10.171	-30.5	391.8
0.13	-10.154	-29.7	141.9
0.14	-10.131	-28.5	47.5
0.15	-10.102	-27.0	55.2
0.16	-10.069	-25.4	86.4
0.17	-10.034	-23.8	55.4
0.18	-9.999	-22.2	20.8
0.19	-9.965	-20.2	-2.3
0.2	-9.933	-16.4	-43.2
0.21	-9.906	-8.3	-50.5
0.22	-9.883	6.4	-48.9
0.23	-9.861	28.1	-58.6
0.24	-9.842	55.1	-87.9
0.25	-9.822	85.7	-140.1
0.26	-9.805	115.0	-180.3
0.27	-9.787	135.1	-181.1
0.28	-9.771	139.4	-149.1
0.29	-9.754	126.0	-127.6
0.3	-9.738	97.4	-100.9
0.31	-9.724	59.2	-44.6
0.32	-9.710	18.3	0.4
0.33	-9.695	-19.6	19.5
0.34	-9.681	-50.4	35.9
0.35	-9.668	-71.4	51.9
0.36	-9.654	-82.3	73.3
0.37	-9.641	-85.3	75.7
0.38	-9.626	-84.1	56.0
0.39	-9.612	-81.3	69.2
0.4	-9.597	-77.7	89.8
0.41	-9.582	-72.9	63.5
0.42	-9.566	-66.4	29.8
0.43	-9.549	-58.1	-1.6
0.44	-9.531	-48.4	-29.0
0.45	-9.514	-38.2	-32.6
0.46	-9.498	-28.4	-29.9
0.47	-9.482	-19.5	-41.5
0.48	-9.467	-12.3	-53.6
0.49	-9.451	-6.9	-47.5
0.5	-9.433	-3.7	-28.8
0.51	-9.415	-2.7	4.3
0.52	-9.398	-3.3	40.3
0.53	-9.381	-5.3	77.5
0.54	-9.364	-8.4	115.5
0.55	-9.346	-11.9	120.7
0.56	-9.328	-15.7	92.8
0.57	-9.309	-19.3	92.6
0.58	-9.292	-22.7	109.8
0.59	-9.274	-25.9	121.1
0.6	-9.252	-28.7	124.7
0.61	-9.231	-30.9	9.1
0.62	-9.211	-32.3	-286.8
0.63	-9.191	-32.9	-397.6
0.64	-9.173	-32.8	71.4
0.65	-9.158	-32.1	533.0
0.66	-9.147	-31.0	435.3
0.67	-9.138	-29.7	162.6
0.68	-9.126	-28.5	32.6
0.69	-9.110	-27.2	26.6
0.7	-9.091	-25.8	46.6
0.71	-9.069	-24.2	31.7
0.72	-9.045	-22.6	41.3
0.73	-9.021	-20.5	47.3
0.74	-8.997	-16.9	6.6
0.75	-8.976	-9.8	-28.8
0.76	-8.958	3.1	-68.6
0.77	-8.942	22.5	-102.6
0.78	-8.928	47.4	-115.1
0.79	-8.913	76.1	-139.8
0.8	-8.900	105.1	-150.7
0.81	-8.888	127.1	-147.5
0.82	-8.875	135.0	-157.7
0.83	-8.862	125.9	-160.8
0.84	-8.851	100.8	-126.6
0.85	-8.842	64.5	-64.8
0.86	-8.832	24.1	-20.8
0.87	-8.823	-14.2	11.9
0.88	-8.813	-45.9	70.5
0.89	-8.803	-68.0	113.2
0.9	-8.793	-79.7	96.2
0.91	-8.783	-83.4	51.5
0.92	-8.773	-83.0	22.8
0.93	-8.761	-81.1	21.9
0.94	-8.749	-78.1	37.3
0.95	-8.738	-73.3	50.1
0.96	-8.726	-66.7	79.9
0.97	-8.714	-58.4	91.1
0.98	-8.703	-48.8	35.9
0.99	-8.693	-38.6	-32.5
1.0	-8.683	-28.8	-64.6
1.01	-8.674	-20.0	-77.1
1.02	-8.666	-12.7	-74.3
1.03	-8.658	-7.1	-27.2
1.04	-8.649	-3.6	7.1
1.05	-8.640	-2.2	18.3
1.06	-8.630	-2.6	57.9
1.07	-8.619	-4.8	70.6
1.08	-8.609	-8.1	59.0
1.09	-8.598	-12.0	72.1
1.1	-8.587	-16.0	100.9
1.11	-8.576	-19.7	141.1
1.12	-8.567	-23.2	144.8
1.13	-8.558	-26.2	116.8
1.14	-8.547	-28.7	137.8
1.15	-8.533	-30.8	118.8
1.16	-8.519	-32.4	-110.7
1.17	-8.509	-33.3	-416.6
1.18	-8.501	-33.4	-252.6
1.19	-8.495	-32.7	362.5
1.2	-8.491	-31.6	591.7
1.21	-8.488	-30.2	310.3
1.22	-8.483	-28.4	87.0
1.23	-8.474	-26.8	40.4
1.24	-8.461	-25.5	42.5
1.25	-8.446	-24.2	51.2
1.26	-8.427	-22.8	43.0
1.27	-8.407	-20.9	44.6
1.28	-8.389	-18.3	46.2
1.29	-8.373	-13.2	-4.3
1.3	-8.359	-3.2	-61.7
1.31	-8.348	13.5	-84.8
1.32	-8.339	36.1	-96.8
1.33	-8.331	63.2	-110.2
1.34	-8.323	92.2	-124.8
1.35	-8.316	117.7	-125.4
1.36	-8.309	132.0	-131.0
1.37	-8.302	130.1	-143.4
1.38	-8.297	111.5	-130.4
1.39	-8.295	79.4	-92.3
1.4	-8.294	40.0	-40.0
1.41	-8.292	0.2	8.4
1.42	-8.291	-34.5	34.4
1.43	-8.289	-60.3	64.6
1.44	-8.287	-75.6	102.0
1.45	-8.284	-81.7	82.8
1.46	-8.281	-82.5	46.1
1.47	-8.276	-81.2	27.2
1.48	-8.269	-78.7	30.5
1.49	-8.262	-74.6	42.3
1.5	-8.256	-68.8	60.8
1.51	-8.251	-61.1	70.4
1.52	-8.248	-51.9	20.0
1.53	-8.246	-41.7	-23.3
1.54	-8.245	-31.6	-43.8
1.55	-8.246	-22.4	-78.3
1.56	-8.249	-14.4	-91.1
1.57	-8.252	-8.2	-70.5
1.58	-8.254	-4.3	-21.8
1.59	-8.256	-2.5	11.7
1.6	-8.256	-2.5	34.8
1.61	-8.256	-3.9	67.4
1.62	-8.254	-6.7	83.3
1.63	-8.251	-10.6	93.1
1.64	-8.248	-14.8	103.1
