ABP[mmHg],FV[cm/s],EtCO2[mmHg]
6.1095,-0.61373,0.24369
12.439,4.748,0.24371
14.346,6.1806,0.24391
12.727,4.5933,0.24408
8.1837,1.5934,0.24423
2.1424,-3.8716,0.24446
-2.2315,-6.6705,0.24443
-0.7882,-3.618,0.24517
3.8273,0.66835,0.24372
5.7298,2.9681,0.24835
6.7087,4.9518,0.23709
5.9327,3.989,0.26077
3.2603,0.82971,0.67445
-0.58782,-2.2471,1.2233
0.078159,-1.5677,1.2572
6.424,5.158,1.242
12.009,10.458,1.2476
15.699,13.075,1.2459
16.611,13.704,1.2468
14.514,11.389,1.2467
10.22,7.1601,1.2469
5.1194,3.0421,1.2471
2.849,1.4532,1.2473
6.4163,4.6076,1.2474
10.878,9.1384,1.2476
12.334,10.723,1.2478
11.921,10.132,1.2479
9.2305,7.3698,1.2481
4.2643,3.4079,1.2483
-1.7566,-0.83272,1.2484
-5.701,-2.9757,1.2486
-3.9701,-0.32487,1.2488
1.7012,4.6495,1.2489
5.707,8.9056,1.2491
7.962,11.705,1.2493
7.5339,11.019,1.2494
4.4862,8.4641,1.2496
-1.3019,2.8046,1.2498
-4.8089,-0.58569,1.2499
-3.0085,1.8173,1.2501
2.7409,7.6263,1.2503
8.8099,12.864,1.2504
12.36,14.796,1.2506
13.664,13.886,1.2508
13.196,11.126,1.2509
9.8963,5.4462,1.2511
3.9689,-0.34648,1.2513
1.546,-2.1391,1.2513
3.1172,-1.1096,1.2521
4.9697,1.4235,1.2502
8.9307,5.3001,1.2571
13.636,8.8637,1.2366
14.252,10.062,1.2915
13.894,8.6287,1.68
11.757,6.9158,2.1908
7.2382,2.9953,2.2898
0.23478,-2.0482,2.24
-5.8654,-5.412,2.2562
-7.4249,-5.3097,2.2529
-5.6802,-2.0072,2.2533
-3.2252,2.6438,2.2533
-0.49173,6.8467,2.2579
1.2356,8.2003,2.23
0.89517,7.6576,2.3801
3.0371,7.8839,1.3038
3.4015,7.7386,0.3031
1.1002,6.5849,0.2617
0.88789,5.5268,0.25657
0.29964,3.8926,0.25321
-2.2067,1.5068,0.25579
-6.6905,-2.0638,0.25516
-11.578,-5.7577,0.25546
-13.877,-6.3758,0.25556
-12.349,-4.6233,0.25625
-9.3486,-0.82275,0.25405
-3.423,4.9588,0.26345
2.0981,10.022,0.23006
5.1372,12.166,0.339
7.0166,11.577,0.051715
6.58,8.4941,-1.4876
3.0644,2.9474,-3.3594
-1.7386,-2.4518,-3.9182
-6.6058,-7.1924,-3.7011
-10.235,-10.953,-3.7479
-10.208,-11.165,-3.7431
-5.9169,-7.1102,-3.7412
-2.172,-3.8616,-3.7432
1.2021,-1.5808,-3.7387
2.8085,-0.79704,-3.7523
1.3825,-2.9963,-3.703
-2.4172,-7.4674,-3.3472
-7.8619,-11.982,-2.7615
-12.236,-14.886,-2.7181
-12.817,-14.686,-2.7506
-9.092,-10.831,-2.7379
-5.0793,-6.2169,-2.7395
-2.7224,-3.1364,-2.7373
-1.3873,-2.1708,-2.3703
-2.3722,-4.2845,-1.7002
-6.1852,-8.6042,-1.7229
-11.267,-12.376,-1.7527
-15.456,-15.055,-1.7343
-13.904,-13.041,-1.7426
-8.6054,-7.2145,-1.7332
-4.5711,-2.1835,-1.7548
-2.0078,0.37108,-1.7024
-2.4573,-0.98032,-1.3067
-5.4385,-4.5635,-0.81659
-10.038,-9.0182,-0.70201
-13.144,-11.255,-0.74848
-12.323,-9.9256,-0.73744
-8.3634,-6.025,-0.7336
-3.9479,-1.0675,-0.7448
-1.0914,1.5438,-0.74756
-0.49757,0.90969,-0.25054
-1.7013,-1.0139,0.18191
-5.4627,-3.6179,0.28465
-10.115,-7.0073,0.2577
-12.235,-8.3993,0.26434
-9.7395,-4.718,0.26359
-3.0385,0.86023,0.26343
2.4126,6.4068,0.26273
6.4757,9.3585,0.27667
7.4056,8.8215,0.17741
6.2128,5.1628,0.71482
3.041,0.81351,1.3253
-2.002,-2.7484,1.2647
-6.2352,-6.4059,1.2572
-7.2641,-6.443,1.2685
-2.6583,-1.8842,1.264
2.212,3.4433,1.2657
4.5264,6.6911,1.2654
6.3009,7.6094,1.2657
5.623,5.9061,1.2658
2.8413,2.6939,1.266
-1.8692,-0.94446,1.2662
-6.0043,-3.8391,1.2663
-6.6838,-3.7409,1.2665
-2.4542,0.61688,1.2667
3.2148,5.6621,1.2668
6.0798,8.2913,1.267
6.8705,9.2082,1.2672
5.3168,6.1084,1.2673
1.8129,2.5112,1.2675
-4.2285,-2.5475,1.2677
-8.6528,-6.0164,1.2678
-6.5517,-3.3403,1.268
0.17392,2.9576,1.2682
6.1423,7.8761,1.2683
10.324,10.897,1.2685
12.209,9.4714,1.2687
10.961,6.1328,1.2689
7.2154,1.3537,1.269
2.1202,-3.8885,1.2692
-0.488,-4.8547,1.2694
0.90227,-1.851,1.2695
3.9516,1.3343,1.2697
8.174,5.1198,1.2699
13.219,8.9014,1.27
15.199,10.363,1.2702
14.301,8.4504,1.2703
10.595,4.2535,1.2706
5.2918,-0.39524,1.2706
-0.22147,-4.2234,1.2708
-5.1241,-6.8635,1.2716
-7.0941,-7.1095,1.2688
-5.2548,-3.6232,1.279
-1.211,1.161,1.2497
1.4013,3.6502,1.3212
1.1247,4.1994,1.2248
0.65403,4.2534,-0.071754
-2.9181,1.8574,-1.4487
-8.889,-3.2144,-1.8201
-13.063,-6.6401,-1.7008
-14.215,-6.5256,-1.7343
-12.307,-3.6902,-1.7244
-5.8764,2.467,-1.7286
-1.4414,6.3763,-1.7334
0.98341,8.4495,-1.6687
0.79763,7.9274,-2.2133
-2.8225,4.7281,-2.6807
-8.6676,-0.58852,-2.7308
-12.424,-4.2379,-2.7249
-11.633,-3.1736,-2.726
-8.5923,-0.27064,-2.7255
-2.3972,5.2793,-2.7254
3.422,9.2456,-2.7263
6.9191,9.6112,-2.718
7.0242,7.182,-2.7377
4.2424,2.6209,-2.346
-0.26641,-3.2161,-1.7155
-5.5323,-8.7858,-1.6803
-10.305,-12.864,-1.7423
-12.287,-14.267,-1.7189
-9.4281,-11.578,-1.7258
-3.874,-6.3658,-1.7225
-0.85408,-3.6769,-1.7228
0.93026,-2.2549,-1.7392
0.4223,-3.2379,-1.6351
-3.0026,-6.6079,-2.1925
-7.9842,-10.774,-2.745
-11.435,-13.659,-2.712
-10.983,-13.321,-2.7241
-6.8807,-8.9804,-2.7226
-0.45405,-2.9396,-2.7239
2.7214,0.35094,-2.7078
4.4519,1.1916,-2.8013
3.6252,-1.4616,-2.282
-0.1342,-6.1095,-1.7003
-5.2434,-10.302,-1.7251
-9.948,-13.802,-1.7251
-10.98,-15.17,-1.7192
-7.8362,-11.815,-1.721
-3.6992,-7.0726,-1.723
-0.32632,-3.8373,-1.7131
1.2727,-2.3302,-1.74
0.031778,-3.9397,-1.6925
-3.009,-8.3464,-1.255
-9.5977,-12.516,-0.80405
-14.948,-16.201,-0.69152
-16.16,-16.619,-0.72833
-12.579,-12.426,-0.7165
-6.8217,-6.6214,-0.7217
-3.7246,-2.3429,-0.71485
-2.2425,-1.0094,-0.72251
-2.8754,-2.0766,-0.7518
-6.6184,-5.8143,-0.21609
-12.035,-10.134,0.22015
-15.567,-12.591,0.29325
-15.251,-11.583,0.27881
-10.624,-6.5978,0.28286
-4.2396,-0.40408,0.28206
-1.3613,2.7533,0.28245
-0.56297,3.1443,0.28258
-2.5106,0.39169,0.28274
-7.4759,-4.9103,0.28292
-13.834,-10.007,0.28308
-18.434,-12.864,0.28325
-17.808,-12.175,0.28342
-12.407,-7.1968,0.28358
-8.648,-2.0548,0.28375
-5.838,0.55464,0.28392
-6.8308,0.25971,0.28409
-11.583,-4.0349,0.28425
-16.249,-8.3336,0.28442
-17.737,-9.0373,0.28459
-15.307,-6.4224,0.28476
-10.34,-1.2936,0.28492
-7.1479,1.5657,0.28509
-6.1432,3.1976,0.28526
-6.7,1.8228,0.28542
-9.5951,-2.0586,0.28559
-15.291,-7.159,0.28576
-19.636,-10.862,0.28593
-19.58,-10.692,0.28609
-16.129,-6.4248,0.28626
-9.1432,-0.045085,0.28643
-5.1472,2.6915,0.2866
-1.6471,3.7067,0.28676
0.3364,3.8269,0.28693
-0.48562,1.5564,0.2871
-4.18,-3.2671,0.28725
-9.2046,-8.2407,0.28748
-11.081,-9.4455,0.28745
-8.2331,-6.5838,0.28825
-3.8569,-2.7129,0.28642
2.8531,2.5106,0.29294
11.272,8.4713,0.27397
14.5,10.361,0.31522
15.04,8.7076,0.75215
13.64,4.8873,1.1654
10.689,0.1287,1.3205
